# Compiler-generated / unclaimed game bodies identified against
# our own base objects; interim store until VA_COMPGEN markers
# land in source. Generated by `homm2 audit unmatched-census
# --write-config`.
entry_rva,size,symbol,unit,source_object,evidence
0x15a3a,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0x15a50,5,?id@?$ctype@G@std@@$E,BASE/DIMMER,BASE/AudiereEffects,masked-exact
0x18630,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0x216ef,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0x21ee1,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0x24302,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0x25dc4,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0x2b801,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0x2b820,39,??_H@YGXPAXIHP6EX0@Z@Z,SOURCE/CMBTMGR,SOURCE/CMBTMGR,masked-exact
0x3274a,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0x332b1,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0x3675e,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0x37cef,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0x3b626,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0x49c12,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0x4afe6,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0x4bfd7,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0x60e30,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0x64ca9,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0x650f4,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0x65bd2,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0x70db1,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0x7202f,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0x72c8c,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0x7381e,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0x73d89,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0x75497,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0x79ae9,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0x79b85,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0x7ce7d,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0x7e191,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0x7e1b0,15,_$E17,BASE/AudiereMusic,BASE/AudiereMusic,masked-exact
0x7e1ce,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0x8c318,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0x8d032,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0x8e71c,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0x916a6,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0x924bf,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0x94522,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0x95d82,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0x9877b,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xa1888,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xa2246,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xa3fd8,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xa4728,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xac6c0,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xad48f,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xadf99,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xafbcb,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xb1cd5,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xb2b81,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xb32cc,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xb52fc,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xb5310,15,_$E17,BASE/AudiereMusic,BASE/AudiereMusic,masked-exact
0xb532e,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xb5376,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xb56f0,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xb6b00,44,??1AudiereSampleNode@@QAE@XZ,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xb6b60,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xb7ec0,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xb9030,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xba5a0,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xbb650,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xbb6d0,46,??_Gfont@@UAEPAXI@Z,BASE/FONT,BASE/FONT,masked-exact
0xbbf20,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xbd490,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xc0c80,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xc14a0,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xc1c40,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xc2540,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xc27b0,46,??_Gfont@@UAEPAXI@Z,BASE/FONT,BASE/FONT,masked-exact
0xc2ec0,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xc2fb0,46,??_Gfont@@UAEPAXI@Z,BASE/FONT,BASE/FONT,masked-exact
0xc3600,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xc3710,46,??_Gfont@@UAEPAXI@Z,BASE/FONT,BASE/FONT,masked-exact
0xc4f00,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xc5750,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xc5cb0,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xc5d20,46,??_Gfont@@UAEPAXI@Z,BASE/FONT,BASE/FONT,masked-exact
0xc6430,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xc6790,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xc6ad0,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xc6e80,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xcae80,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xcaf10,46,??_Gfont@@UAEPAXI@Z,BASE/FONT,BASE/FONT,masked-exact
0xcb080,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xcb0f0,46,??_Gfont@@UAEPAXI@Z,BASE/FONT,BASE/FONT,masked-exact
0xcb690,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xcba40,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xcc4c0,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xcc720,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xccf70,44,??1AudiereSampleNode@@QAE@XZ,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xccfa0,81,??4?$RefPtr@VOutputStream@audiere@@@audiere@@QAEAAV01@PAVOutputStream@1@@Z,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xcd030,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xcd050,44,??1AudiereSampleNode@@QAE@XZ,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xcd080,15,_$E17,BASE/AudiereMusic,BASE/AudiereMusic,masked-exact
0xcd100,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xcd170,15,_$E17,BASE/AudiereMusic,BASE/AudiereMusic,masked-exact
0xcd1f0,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xcda50,44,??1AudiereSampleNode@@QAE@XZ,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xcda80,81,??4?$RefPtr@VOutputStream@audiere@@@audiere@@QAEAAV01@PAVOutputStream@1@@Z,BASE/AudiereMusic,BASE/AudiereEffects,masked-exact
0xcdb10,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xce070,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xce190,46,??_Gfont@@UAEPAXI@Z,BASE/FONT,BASE/FONT,masked-exact
0xce230,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xce460,46,??_Gfont@@UAEPAXI@Z,BASE/FONT,BASE/FONT,masked-exact
0xce5e0,46,??_Gfont@@UAEPAXI@Z,BASE/FONT,BASE/FONT,masked-exact
0xce680,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xce700,46,??_Gfont@@UAEPAXI@Z,BASE/FONT,BASE/FONT,masked-exact
0xcfd90,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xcfe10,46,??_Gfont@@UAEPAXI@Z,BASE/FONT,BASE/FONT,masked-exact
0xd1ca0,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xd1d20,46,??_Gfont@@UAEPAXI@Z,BASE/FONT,BASE/FONT,masked-exact
0xd3440,46,??_Gfont@@UAEPAXI@Z,BASE/FONT,BASE/FONT,masked-exact
0xd34c0,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xd3550,46,??_Gfont@@UAEPAXI@Z,BASE/FONT,BASE/FONT,masked-exact
0xd3ff0,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xd45f0,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xd4840,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xd4940,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xd5250,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xd5a30,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xd6110,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xd6490,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
0xd68b0,18,_$E18,BASE/AudiereEffects,BASE/AudiereEffects,masked-exact
