# Whole-compiland owner ranges from retail NB09 sstModule; sizes are not symbols.
object	storage	rva	size	segment	section	provenance
SOURCE\SMACKMGR.c	text	0x1000	0x1910	1	.text	retail-nb09-sstModule
SOURCE\DRAWING.c	text	0x2910	0x3fa0	1	.text	retail-nb09-sstModule
SOURCE\Wsnetwin.c	text	0x68b0	0xfc0	1	.text	retail-nb09-sstModule
SOURCE\Overview.c	text	0x7870	0x3800	1	.text	retail-nb09-sstModule
EDITOR\mapcell.c	text	0xb070	0xcf0	1	.text	retail-nb09-sstModule
SOURCE\VIEW.c	text	0xbd60	0xb90	1	.text	retail-nb09-sstModule
SOURCE\Modem.c	text	0xc8f0	0xcf0	1	.text	retail-nb09-sstModule
SOURCE\CURSOR.c	text	0xd5e0	0x38b0	1	.text	retail-nb09-sstModule
SOURCE\SETUP.c	text	0x10e90	0x2460	1	.text	retail-nb09-sstModule
SOURCE\Netbios.c	text	0x132f0	0x610	1	.text	retail-nb09-sstModule
SOURCE\TOWNMGR.c	text	0x13900	0x83e0	1	.text	retail-nb09-sstModule
SOURCE\kbwin.c	text	0x1bce0	0x1360	1	.text	retail-nb09-sstModule
SOURCE\Castle.c	text	0x1d040	0x1d60	1	.text	retail-nb09-sstModule
SOURCE\dpnetwin.c	text	0x1eda0	0x1720	1	.text	retail-nb09-sstModule
SOURCE\SPELLS.c	text	0x204c0	0xa210	1	.text	retail-nb09-sstModule
SOURCE\COMMAND.c	text	0x2a6d0	0x7b60	1	.text	retail-nb09-sstModule
SOURCE\STRIP.c	text	0x32230	0x9d0	1	.text	retail-nb09-sstModule
SOURCE\TOWN.c	text	0x32c00	0x7c0	1	.text	retail-nb09-sstModule
SOURCE\Viewwrld.c	text	0x333c0	0x1e40	1	.text	retail-nb09-sstModule
SOURCE\NOOPT.c	text	0x35200	0x90	1	.text	retail-nb09-sstModule
SOURCE\wingraph.c	text	0x35290	0x2520	1	.text	retail-nb09-sstModule
SOURCE\PHILAI.c	text	0x377b0	0xfef0	1	.text	retail-nb09-sstModule
SOURCE\X_GLOBAL.c	text	0x476a0	0x70	1	.text	retail-nb09-sstModule
SOURCE\Campaign.c	text	0x47710	0x2870	1	.text	retail-nb09-sstModule
SOURCE\x_cdtest.c	text	0x49f80	0x440	1	.text	retail-nb09-sstModule
SOURCE\HEXCELL.c	text	0x4a3c0	0x500	1	.text	retail-nb09-sstModule
SOURCE\ARMY.c	text	0x4a8c0	0x9b00	1	.text	retail-nb09-sstModule
SOURCE\SWAPMGR.c	text	0x543c0	0x1f90	1	.text	retail-nb09-sstModule
SOURCE\ADVMGR.c	text	0x56350	0x16050	1	.text	retail-nb09-sstModule
SOURCE\HERO.c	text	0x6c3a0	0x4510	1	.text	retail-nb09-sstModule
SOURCE\GAME.c	text	0x708b0	0x15f10	1	.text	retail-nb09-sstModule
SOURCE\SPELLAI.c	text	0x867c0	0x3270	1	.text	retail-nb09-sstModule
SOURCE\HISCORE.c	text	0x89a30	0xc10	1	.text	retail-nb09-sstModule
SOURCE\comwin.c	text	0x8a640	0xcd0	1	.text	retail-nb09-sstModule
SOURCE\RECRUIT.c	text	0x8b310	0xd30	1	.text	retail-nb09-sstModule
SOURCE\ARMYGRP.c	text	0x8c040	0x8e0	1	.text	retail-nb09-sstModule
SOURCE\REQUEST.c	text	0x8c920	0x3400	1	.text	retail-nb09-sstModule
SOURCE\CMBTMGR.c	text	0x8fd20	0x6730	1	.text	retail-nb09-sstModule
SOURCE\KB.c	text	0x96450	0xc190	1	.text	retail-nb09-sstModule
SOURCE\SEARCH.c	text	0xa25e0	0xaa0	1	.text	retail-nb09-sstModule
SOURCE\REMOTE.c	text	0xa3080	0x19d0	1	.text	retail-nb09-sstModule
SOURCE\FINDPATH.c	text	0xa4a50	0xeb0	1	.text	retail-nb09-sstModule
SOURCE\FLY.c	text	0xa5900	0x12e0	1	.text	retail-nb09-sstModule
SOURCE\netwin.c	text	0xa6be0	0x1950	1	.text	retail-nb09-sstModule
SOURCE\EVENTS.c	text	0xa8530	0xea10	1	.text	retail-nb09-sstModule
SOURCE\Newgame.c	text	0xb6f40	0x4740	1	.text	retail-nb09-sstModule
SOURCE\X_CAMPGN.c	text	0xbb680	0x2570	1	.text	retail-nb09-sstModule
SOURCE\PATH.c	text	0xbdbf0	0x1750	1	.text	retail-nb09-sstModule
SOURCE\tradpost.c	text	0xbf340	0xd40	1	.text	retail-nb09-sstModule
SOURCE\x_arena.c	text	0xc0080	0x710	1	.text	retail-nb09-sstModule
SOURCE\AI.c	text	0xc0790	0x32de	1	.text	retail-nb09-sstModule
BASE\Misc.c	text	0xc3d10	0x32c0	1	.text	retail-nb09-sstModule
BASE\FONT.c	text	0xc6fd0	0xa50	1	.text	retail-nb09-sstModule
BASE\ICON.c	text	0xc7a20	0x580	1	.text	retail-nb09-sstModule
BASE\RESMGR.c	text	0xc7fa0	0x12d0	1	.text	retail-nb09-sstModule
BASE\MOUSEMGR.c	text	0xc9270	0x1160	1	.text	retail-nb09-sstModule
BASE\bmap2.c	text	0xca3d0	0x300	1	.text	retail-nb09-sstModule
BASE\WINMGR.c	text	0xca6d0	0xf60	1	.text	retail-nb09-sstModule
BASE\soundmgr.c	text	0xcb630	0x2520	1	.text	retail-nb09-sstModule
BASE\INPUTMGR.c	text	0xcdb50	0x1020	1	.text	retail-nb09-sstModule
BASE\WINDOW.c	text	0xceb70	0xf70	1	.text	retail-nb09-sstModule
BASE\Iconm2b.c	text	0xcfae0	0x270	1	.text	retail-nb09-sstModule
BASE\Icond2b.c	text	0xcfd50	0x270	1	.text	retail-nb09-sstModule
BASE\BITMAP.c	text	0xcffc0	0x5b0	1	.text	retail-nb09-sstModule
BASE\Icon2b.c	text	0xd0570	0x4f0	1	.text	retail-nb09-sstModule
BASE\ICONWDGT.c	text	0xd0a60	0x600	1	.text	retail-nb09-sstModule
BASE\TEXTWDGT.c	text	0xd1060	0x534	1	.text	retail-nb09-sstModule
BASE\BITS.c	text	0xd1594	0x7c	1	.text	retail-nb09-sstModule
BASE\EXEC.c	text	0xd1610	0x590	1	.text	retail-nb09-sstModule
BASE\Iconf2b.c	text	0xd1ba0	0x500	1	.text	retail-nb09-sstModule
BASE\BORDER.c	text	0xd20a0	0x490	1	.text	retail-nb09-sstModule
BASE\BASEMGR.c	text	0xd2530	0x50	1	.text	retail-nb09-sstModule
BASE\PALETTE.c	text	0xd2580	0x120	1	.text	retail-nb09-sstModule
BASE\Ripple.c	text	0xd26a0	0x240	1	.text	retail-nb09-sstModule
BASE\Blur.c	text	0xd28e0	0x6b0	1	.text	retail-nb09-sstModule
