# Compiler/linker allocations without a source DATA() definition.
name	object	rva	size	storage	alignment	section_ordinal	section_offset	scope	provenance
??_C@_07PCHH@Unknown?$AA@	BASE\BASEMGR.c	0x11fd34	0x8	data	0x4	3	0x0	external	candidate-coff-section-translation
??_7baseManager@@6B@	BASE\BASEMGR.c	0xeba70	0xc	rdata	0x8	4	0x0	external	candidate-coff-section-translation
??_7bitmap@@6B@	BASE\BITMAP.c	0xeba3c	0x4	rdata	0x4	4	0x0	external	candidate-coff-section-translation
??_7border@@6B@	BASE\BORDER.c	0xeba60	0xc	rdata	0x8	3	0x0	external	candidate-coff-section-translation
??_7button@@6B@	BASE\BUTTON.c	0xebaf0	0xc	rdata	0x8	4	0x0	external	candidate-coff-section-translation
$T33150	BASE\Blur.c	0xeba84	0x4	rdata	0x4	4	0x0	local	candidate-coff-section-translation
$SG4018	BASE\Bzip.c	0x120364	0x14	data	0x4	2	0x414	local	candidate-coff-section-translation
$SG4024	BASE\Bzip.c	0x120378	0x14	data	0x8	2	0x428	local	candidate-coff-section-translation
$SG4061	BASE\Bzip.c	0x12038c	0x8	data	0x4	2	0x43c	local	candidate-coff-section-translation
$SG4124	BASE\Bzip.c	0x120394	0x2c	data	0x4	2	0x444	local	candidate-coff-section-translation
$SG4161	BASE\Bzip.c	0x1203c0	0x18	data	0x8	2	0x470	local	candidate-coff-section-translation
$SG4181	BASE\Bzip.c	0x1203d8	0x8	data	0x8	2	0x488	local	candidate-coff-section-translation
$SG4217	BASE\Bzip.c	0x1203e0	0x8	data	0x8	2	0x490	local	candidate-coff-section-translation
$SG4219	BASE\Bzip.c	0x1203e8	0x4	data	0x8	2	0x498	local	candidate-coff-section-translation
$SG4221	BASE\Bzip.c	0x1203ec	0x4	data	0x4	2	0x49c	local	candidate-coff-section-translation
$SG4223	BASE\Bzip.c	0x1203f0	0x8	data	0x8	2	0x4a0	local	candidate-coff-section-translation
$SG4225	BASE\Bzip.c	0x1203f8	0x8	data	0x8	2	0x4a8	local	candidate-coff-section-translation
$SG4227	BASE\Bzip.c	0x120400	0x8	data	0x8	2	0x4b0	local	candidate-coff-section-translation
$SG4229	BASE\Bzip.c	0x120408	0x8	data	0x8	2	0x4b8	local	candidate-coff-section-translation
$SG4231	BASE\Bzip.c	0x120410	0x8	data	0x8	2	0x4c0	local	candidate-coff-section-translation
$SG4278	BASE\Bzip.c	0x120418	0x18	data	0x8	2	0x4c8	local	candidate-coff-section-translation
$SG4284	BASE\Bzip.c	0x120430	0x28	data	0x8	2	0x4e0	local	candidate-coff-section-translation
$SG4288	BASE\Bzip.c	0x120458	0x28	data	0x8	2	0x508	local	candidate-coff-section-translation
$SG4292	BASE\Bzip.c	0x120480	0x28	data	0x8	2	0x530	local	candidate-coff-section-translation
$SG4300	BASE\Bzip.c	0x1204a8	0x28	data	0x8	2	0x558	local	candidate-coff-section-translation
$SG4305	BASE\Bzip.c	0x1204d0	0x28	data	0x8	2	0x580	local	candidate-coff-section-translation
$SG4310	BASE\Bzip.c	0x1204f8	0x28	data	0x8	2	0x5a8	local	candidate-coff-section-translation
$SG4322	BASE\Bzip.c	0x120520	0x28	data	0x8	2	0x5d0	local	candidate-coff-section-translation
$SG4326	BASE\Bzip.c	0x120548	0x28	data	0x8	2	0x5f8	local	candidate-coff-section-translation
$SG4330	BASE\Bzip.c	0x120570	0x28	data	0x8	2	0x620	local	candidate-coff-section-translation
$SG4340	BASE\Bzip.c	0x120598	0x28	data	0x8	2	0x648	local	candidate-coff-section-translation
$SG4345	BASE\Bzip.c	0x1205c0	0x28	data	0x8	2	0x670	local	candidate-coff-section-translation
$SG4350	BASE\Bzip.c	0x1205e8	0x28	data	0x8	2	0x698	local	candidate-coff-section-translation
$SG4471	BASE\Bzip.c	0x120610	0x14	data	0x8	2	0x6c0	local	candidate-coff-section-translation
$SG4473	BASE\Bzip.c	0x120624	0x1c	data	0x4	2	0x6d4	local	candidate-coff-section-translation
$SG4608	BASE\Bzip.c	0x120640	0x14	data	0x8	2	0x6f0	local	candidate-coff-section-translation
$SG4613	BASE\Bzip.c	0x120654	0x14	data	0x4	2	0x704	local	candidate-coff-section-translation
$SG4619	BASE\Bzip.c	0x120668	0x14	data	0x8	2	0x718	local	candidate-coff-section-translation
$SG4652	BASE\Bzip.c	0x12067c	0xc	data	0x4	2	0x72c	local	candidate-coff-section-translation
$SG4664	BASE\Bzip.c	0x120688	0x38	data	0x8	2	0x738	local	candidate-coff-section-translation
$SG4672	BASE\Bzip.c	0x1206c0	0x4	data	0x8	2	0x770	local	candidate-coff-section-translation
$SG4677	BASE\Bzip.c	0x1206c4	0x4	data	0x4	2	0x774	local	candidate-coff-section-translation
$SG4684	BASE\Bzip.c	0x1206c8	0x1c	data	0x8	2	0x778	local	candidate-coff-section-translation
$SG4726	BASE\Bzip.c	0x1206e4	0xc	data	0x4	2	0x794	local	candidate-coff-section-translation
$SG4759	BASE\Bzip.c	0x1206f0	0x1c	data	0x8	2	0x7a0	local	candidate-coff-section-translation
$SG4846	BASE\Bzip.c	0x12070c	0x14	data	0x4	2	0x7bc	local	candidate-coff-section-translation
$SG4848	BASE\Bzip.c	0x120720	0x10	data	0x8	2	0x7d0	local	candidate-coff-section-translation
$SG4852	BASE\Bzip.c	0x120730	0x4	data	0x8	2	0x7e0	local	candidate-coff-section-translation
$SG4853	BASE\Bzip.c	0x120734	0x4	data	0x4	2	0x7e4	local	candidate-coff-section-translation
$SG4863	BASE\Bzip.c	0x120738	0x3c	data	0x8	2	0x7e8	local	candidate-coff-section-translation
$SG4865	BASE\Bzip.c	0x120774	0x4	data	0x4	2	0x824	local	candidate-coff-section-translation
$SG4887	BASE\Bzip.c	0x120778	0x4	data	0x8	2	0x828	local	candidate-coff-section-translation
$SG4892	BASE\Bzip.c	0x12077c	0x10	data	0x4	2	0x82c	local	candidate-coff-section-translation
$SG4894	BASE\Bzip.c	0x12078c	0x4	data	0x4	2	0x83c	local	candidate-coff-section-translation
$SG4896	BASE\Bzip.c	0x120790	0x4	data	0x8	2	0x840	local	candidate-coff-section-translation
$SG4898	BASE\Bzip.c	0x120794	0x4	data	0x4	2	0x844	local	candidate-coff-section-translation
$SG4900	BASE\Bzip.c	0x120798	0x4	data	0x8	2	0x848	local	candidate-coff-section-translation
$SG4902	BASE\Bzip.c	0x12079c	0x28	data	0x4	2	0x84c	local	candidate-coff-section-translation
$SG4915	BASE\Bzip.c	0x1207c4	0xa4	data	0x4	2	0x874	local	candidate-coff-section-translation
$SG4918	BASE\Bzip.c	0x120868	0x60	data	0x8	2	0x918	local	candidate-coff-section-translation
$SG4921	BASE\Bzip.c	0x1208c8	0x44	data	0x8	2	0x978	local	candidate-coff-section-translation
$SG4924	BASE\Bzip.c	0x12090c	0x64	data	0x4	2	0x9bc	local	candidate-coff-section-translation
$SG4927	BASE\Bzip.c	0x120970	0x58	data	0x8	2	0xa20	local	candidate-coff-section-translation
$SG4930	BASE\Bzip.c	0x1209c8	0x54	data	0x8	2	0xa78	local	candidate-coff-section-translation
$SG4933	BASE\Bzip.c	0x120a1c	0x30	data	0x4	2	0xacc	local	candidate-coff-section-translation
$SG4937	BASE\Bzip.c	0x120a4c	0x90	data	0x4	2	0xafc	local	candidate-coff-section-translation
$SG4939	BASE\Bzip.c	0x120adc	0x7c	data	0x4	2	0xb8c	local	candidate-coff-section-translation
$SG4943	BASE\Bzip.c	0x120b58	0x90	data	0x8	2	0xc08	local	candidate-coff-section-translation
$SG4947	BASE\Bzip.c	0x120be8	0x90	data	0x8	2	0xc98	local	candidate-coff-section-translation
$SG4957	BASE\Bzip.c	0x120c78	0x4	data	0x8	2	0xd28	local	candidate-coff-section-translation
$SG4958	BASE\Bzip.c	0x120c7c	0x4	data	0x4	2	0xd2c	local	candidate-coff-section-translation
$SG4959	BASE\Bzip.c	0x120c80	0x4	data	0x8	2	0xd30	local	candidate-coff-section-translation
$SG4967	BASE\Bzip.c	0x120c84	0x4	data	0x4	2	0xd34	local	candidate-coff-section-translation
