# Explicit reviewed allocations plus complete candidate-COFF topology groups.
name	object	rva	size	storage	alignment	section_offset	scope	provenance
??_C@_07PCHH@Unknown?$AA@	BASE\BASEMGR.c	0x11fd34	0x8	data	0x4	0x0	external	candidate-coff-section-translation
??_7baseManager@@6B@	BASE\BASEMGR.c	0xeba70	0xc	rdata	0x8	0x0	external	candidate-coff-section-translation
??_7bitmap@@6B@	BASE\BITMAP.c	0xeba3c	0x4	rdata	0x4	0x0	external	candidate-coff-section-translation
??_7border@@6B@	BASE\BORDER.c	0xeba60	0xc	rdata	0x8	0x0	external	candidate-coff-section-translation
?iLeftRightSave@@3HA	BASE\BUTTON.c	0x12125c	0x4	data	0x4	0x0	external	candidate-coff-section-translation
??_7button@@6B@	BASE\BUTTON.c	0xebaf0	0xc	rdata	0x8	0x0	external	candidate-coff-section-translation
$T32365	BASE\Blur.c	0xeba84	0x4	rdata	0x4	0x0	local	candidate-coff-section-translation
?crc32Table@@3PAIA	BASE\Bzip.c	0x11ff50	0x400	data	0x4	-	external	reviewed-required-initialized-storage
?words@@3PAIA	BASE\Bzip.c	0x120350	0x4	data	0x4	-	external	reviewed-required-initialized-storage
?zptr@@3PAHA	BASE\Bzip.c	0x120354	0x4	data	0x4	-	external	reviewed-required-initialized-storage
?ftab@@3PAHA	BASE\Bzip.c	0x120358	0x4	data	0x4	-	external	reviewed-required-initialized-storage
?block@@3PAEA	BASE\Bzip.c	0x12035c	0x4	data	0x4	-	external	reviewed-required-initialized-storage
?ll@@3PAEA	BASE\Bzip.c	0x120360	0x4	data	0x4	-	external	reviewed-required-initialized-storage
$T4296	BASE\Bzip.c	0xeba88	0x8	rdata	0x8	0x0	local	candidate-coff-section-translation
$T4297	BASE\Bzip.c	0xeba90	0x8	rdata	0x8	0x8	local	candidate-coff-section-translation
$T4298	BASE\Bzip.c	0xeba98	0x8	rdata	0x8	0x10	local	candidate-coff-section-translation
??_7dimmerWidget@@6B@	BASE\DIMMER.c	0xebae0	0xc	rdata	0x8	0x0	external	candidate-coff-section-translation
??_7font@@6B@	BASE\FONT.c	0xeb9e4	0x4	rdata	0x4	0x0	external	candidate-coff-section-translation
??_7icon@@6B@	BASE\ICON.c	0xeb9e8	0x4	rdata	0x4	0x0	external	candidate-coff-section-translation
??_7iconWidget@@6B@	BASE\ICONWDGT.c	0xeba40	0xc	rdata	0x8	0x0	external	candidate-coff-section-translation
?iLastBWOnScreenCheck@@3HA	BASE\INPUTMGR.c	0x134bc8	0x4	bss	0x4	0x0	external	candidate-coff-section-translation
?iCurSwapPalette@@3HA	BASE\INPUTMGR.c	0x11f980	0x4	data	0x4	-	external	reviewed-required-initialized-storage
?bLastMouseOffscreen@@3HA	BASE\INPUTMGR.c	0x11f984	0x4	data	0x4	-	external	reviewed-required-initialized-storage
?bLastOnscreenMouseColor@@3HA	BASE\INPUTMGR.c	0x11f988	0x4	data	0x4	-	external	reviewed-required-initialized-storage
?bInCheckChangeCursor@@3HA	BASE\INPUTMGR.c	0x11f98c	0x4	data	0x4	-	external	reviewed-required-initialized-storage
??_7inputManager@@6B@	BASE\INPUTMGR.c	0xeba30	0xc	rdata	0x8	0x0	external	candidate-coff-section-translation
