# Procedures absent from the original NB09 procedure records. Every span has
# executable entry/exit and instruction/data-boundary evidence. Exact names are
# retained when the reconstructed MSVC object emits them; blank names become the
# deterministic delink_proc_<RVA> identity.
rva,size,name,unit,provenance
0x37595,0x21a,?SetGraphicsType@@YIHH@Z,SOURCE/wingraph,disassembly-ret
0x47211,0x483,?EvaluateTownEvent@philAI@@QAEHHHHHPAH@Z,SOURCE/PHILAI,disassembly-ret
0xa7758,0x26e,?nb_thr_ctl@@YIXXZ,SOURCE/netwin,disassembly-ret
0xa79c6,0xbb,?nb_add_name@@YIXXZ,SOURCE/netwin,direct-rel32-entry
0xa7a81,0x1ca,?nb_add_name_done@@YGXPAUNetbiosControlBlock@@@Z,SOURCE/netwin,callback-disassembly
0xa7c4b,0xbe,?nb_recv_any@@YIGH@Z,SOURCE/netwin,direct-rel32-entry
0xa7d09,0x142,?nb_recv_any_done@@YGXPAUNetbiosControlBlock@@@Z,SOURCE/netwin,callback-disassembly
0xa7e4b,0xcf,?nb_call@@YIGHPAX@Z,SOURCE/netwin,direct-rel32-entry
0xa7f1a,0xcf,?nb_listen@@YIGHPAX@Z,SOURCE/netwin,direct-rel32-entry
0xa7fe9,0x130,?nb_call_done@@YGXPAUNetbiosControlBlock@@@Z,SOURCE/netwin,callback-disassembly
0xa8119,0x14f,?nb_arm_recv@@YIXH@Z,SOURCE/netwin,direct-rel32-entry
0xa8268,0xc2,?nb_close_session@@YIXH@Z,SOURCE/netwin,direct-rel32-entry
0xa832a,0x179,?nb_recv_complete@@YIXH@Z,SOURCE/netwin,direct-rel32-entry
0xa84a3,0x87,?nb_format_name@@YIXPADPAE@Z,SOURCE/netwin,direct-rel32-entry
0xdfca0,0xf,__c_exit,crt0dat,disassembly-ret
0xdfd50,0xb,__unlockexit,crt0dat,disassembly-ret
0xe1720,0xb,__flushall,fflush,disassembly-ret
0xe1af0,0x8cf,__output,output,disassembly-ret
0xe28b0,0x77,__cftoe,cvt,disassembly-ret
0xe2a20,0x68,__cftof,cvt,disassembly-ret
0xe2c00,0x65,__cfltcvt,cvt,disassembly-ret
0xe3160,0x20c,___crtLCMapStringW,aw_map,disassembly-ret
0xe33b0,0x22b,___crtLCMapStringA,aw_map,disassembly-ret
0xe362c,0x20,__fFATN2,87triga,disassembly-ret
0xe373b,0x48,__ctrandisp2,87cdisp,disassembly-ret
0xe3b6e,0x43,__ffexpm1,87tran,disassembly-ret
0xe3d40,0x14f,__XcptFilter,winxfltr,disassembly-ret
0xe4000,0x2a,__ismbbkana,ismbbyte,disassembly-ret
0xe4150,0x9b,__setargv,stdargv,disassembly-ret
0xe4770,0x223,__setmbcp,mbctype,disassembly-ret
0xe6420,0x31,__fpreset,ieee87,disassembly-ret
0xe8100,0x1a8,_raise,winsig,disassembly-ret
0xe99e0,0x2c,__set_errno,fpexcept,disassembly-ret
0xea4e0,0x3c,__itoa,xtoa,disassembly-ret
