# Reviewed relocation-alias selections consumed by vostok-delinker
# (--reloc-alias-manifest): sites whose data or function relocation must use a
# specific existing owner symbol and addend. Empty until aliases are reviewed in.
function_rva	target_rva	site_rva	owner	addend	occurrences
0x61cd6	0xf7c62	0x61cec	?gMinExpForLevel@@3PAFA	0xfffffffe	1
0x61d60	0xf7c62	0x61d88	?gMinExpForLevel@@3PAFA	0xfffffffe	1
0x64a9e	0xfed04	0x64ad8	?gSecondarySkillLevels@@3PAPADA	0xfffffffc	1
0x64a9e	0xfeeec	0x64b29	?cSecSkillDesc@@3PAY02PADA	0xfffffffc	1
0x68a09	0xfbf65	0x68af9	?gDwellingType@@3PAY0M@CA	0xffffffed	1
0x68b82	0xfed84	0x68be3	?gDwellingNames@@3PAY0M@PADA	0xffffffb4	1
0x68e12	0xfcc00	0x68fa9	?gHierarchyMask@@3PAY0M@KA	0xffffffb4	1
0x69105	0xfc300	0x69176	?gDwellingBaseResourceValues@@3PAY0M@HA	0xffffffb4	1
0xa43f9	0xfac5b	0xa442b	?gSpellLimits@@3PACA	0xffffffff	1
0xa43f9	0xfbf65	0xa45a5	?gDwellingType@@3PAY0M@CA	0xffffffed	1
0xb520b	0x11b7d8	0xb522b	?xStableText@@3PAPADA	0x18	1
0xca8b0	0x136c51	0xca8f8	?outName@@3PADA	0xfffffffd	1
