# Reviewed absolute-relocation sites for the stripped Gold 2.1 target.
# HMM2PL.exe carries no base-relocation directory (data directory 5 is 0/0), so
# the delinker cannot read DIR32 sites from the image. Every row here names the
# RVA of a 4-byte field that holds a linked target address; the delinker reads
# and classifies the target itself. Empty until sites are reviewed in.
site_rva	kind
0x1016	dir32
0x1246	dir32
0x129e	dir32
0x12b2	dir32
0x12bc	dir32
0x1c5c	dir32
0x1c67	dir32
0x1c70	dir32
0x1c79	dir32
0x1c84	dir32
0x1c91	dir32
0x1ca0	dir32
0x1cdc	dir32
0x1d1b	dir32
0x1d39	dir32
0x1d50	dir32
0x1d72	dir32
0x1db0	dir32
0x1dd8	dir32
0x1dfa	dir32
0x1e38	dir32
0x1e62	dir32
0x1e8a	dir32
0x1eac	dir32
0x1ece	dir32
0x1f1c	dir32
0x1f60	dir32
0x1f88	dir32
0x1fe9	dir32
0x2658	dir32
0x265c	dir32
0x2660	dir32
0x2664	dir32
0x2668	dir32
0x266c	dir32
0x2670	dir32
0x35db	dir32
0x54ee	dir32
0x54fc	dir32
0x550b	dir32
0x5524	dir32
0x5532	dir32
0x5538	dir32
0x5556	dir32
0x5566	dir32
0x556c	dir32
0x5573	dir32
0x5579	dir32
0x5580	dir32
0x5586	dir32
0x558c	dir32
0x5593	dir32
0x5599	dir32
0x55a7	dir32
0x55b1	dir32
0x55b7	dir32
0x55c7	dir32
0x561d	dir32
0x5705	dir32
0xa799	dir32
0xa7a0	dir32
0xa7d9	dir32
0xa7f9	dir32
0xa80c	dir32
0xa815	dir32
0xa828	dir32
0xac57	dir32
0xad52	dir32
0xad5c	dir32
0xad66	dir32
0xb2b3	dir32
0xb2d4	dir32
0xb2dd	dir32
0xb2f5	dir32
0xb2fe	dir32
0xb312	dir32
0xb326	dir32
0xb339	dir32
0xb34d	dir32
0xb385	dir32
0xb414	dir32
0xb48d	dir32
0xb49c	dir32
0xb4a2	dir32
0xb4b1	dir32
0xb4b6	dir32
0xb4ef	dir32
0xb56c	dir32
0xb57b	dir32
0xb580	dir32
0xb5b9	dir32
0xd126	dir32
0xd132	dir32
0xd137	dir32
0xd144	dir32
0xd159	dir32
0xd16e	dir32
0xd180	dir32
0xd192	dir32
0xd1a4	dir32
0xd1b9	dir32
0xd1ce	dir32
0xd1e3	dir32
0xd1ef	dir32
0xded5	dir32
0xdee4	dir32
0xdeed	dir32
0xdef3	dir32
0xdf7b	dir32
0xdfd2	dir32
0xdfee	dir32
0xe002	dir32
0xe025	dir32
0xed6b	dir32
0xed6f	dir32
0xed73	dir32
0xed77	dir32
0xed7b	dir32
0xed7f	dir32
0xed83	dir32
0xed87	dir32
0xed8b	dir32
0xed8f	dir32
0xed93	dir32
0xed97	dir32
0xed9b	dir32
0xed9f	dir32
0xeda3	dir32
0xeda7	dir32
0xedab	dir32
0x108c7	dir32
0x108cc	dir32
0x108d9	dir32
0x108df	dir32
0x10d54	dir32
0x10d5f	dir32
0x10e91	dir32
0x10ed9	dir32
0x10f18	dir32
0x10f5b	dir32
0x10fd0	dir32
0x11037	dir32
0x1104b	dir32
0x11052	dir32
0x1105c	dir32
0x11065	dir32
0x11081	dir32
0x11097	dir32
0x110a3	dir32
0x110c1	dir32
0x1110c	dir32
0x11125	dir32
0x11146	dir32
0x11151	dir32
0x1117b	dir32
0x1119b	dir32
0x111a2	dir32
0x111c9	dir32
0x112a4	dir32
0x112d2	dir32
0x112d9	dir32
0x12652	dir32
0x12659	dir32
0x1266d	dir32
0x1281f	dir32
0x12823	dir32
0x12827	dir32
0x1282b	dir32
0x1282f	dir32
0x12833	dir32
0x12837	dir32
0x1283b	dir32
0x129c0	dir32
0x12eea	dir32
0x12ef1	dir32
0x12f1c	dir32
0x12f9e	dir32
0x12fbc	dir32
0x12fea	dir32
0x1303c	dir32
0x13040	dir32
0x13044	dir32
0x13048	dir32
0x1304c	dir32
0x13050	dir32
0x13054	dir32
0x13098	dir32
0x130a0	dir32
0x132de	dir32
0x133a6	dir32
0x14105	dir32
0x14123	dir32
0x14158	dir32
0x14407	dir32
0x1440b	dir32
0x1440f	dir32
0x14413	dir32
0x1472f	dir32
0x14733	dir32
0x14737	dir32
0x1473b	dir32
0x1473f	dir32
0x14743	dir32
0x153af	dir32
0x153b3	dir32
0x153b7	dir32
0x153bb	dir32
0x153bf	dir32
0x153c3	dir32
0x153c7	dir32
0x153cb	dir32
0x153cf	dir32
0x153d3	dir32
0x153d7	dir32
0x153db	dir32
0x153df	dir32
0x153e3	dir32
0x153e7	dir32
0x153eb	dir32
0x153ef	dir32
0x153f3	dir32
0x15a19	dir32
0x15a26	dir32
0x15a2f	dir32
0x15a3e	dir32
0x17fe5	dir32
0x17ff2	dir32
0x18081	dir32
0x1808e	dir32
0x1860f	dir32
0x1861c	dir32
0x18625	dir32
0x18634	dir32
0x18fd5	dir32
0x18ff9	dir32
0x19027	dir32
0x19075	dir32
0x1f13a	dir32
0x1f99c	dir32
0x1f9a3	dir32
0x1f9d6	dir32
0x1fa3c	dir32
0x1fa40	dir32
0x1fa44	dir32
0x1fa48	dir32
0x1fa4c	dir32
0x1fab9	dir32
0x1fae6	dir32
0x1fb52	dir32
0x1fc5c	dir32
0x1fc60	dir32
0x1fc64	dir32
0x1fc68	dir32
0x1fc6c	dir32
0x1fc70	dir32
0x1fc74	dir32
0x1fc78	dir32
0x1fc7c	dir32
0x1fc80	dir32
0x1fc84	dir32
0x1fc88	dir32
0x1fc8c	dir32
0x1fc90	dir32
0x1fc94	dir32
0x20d08	dir32
0x211f9	dir32
0x2123f	dir32
0x21653	dir32
0x2165c	dir32
0x21665	dir32
0x2166e	dir32
0x21677	dir32
0x21680	dir32
0x21694	dir32
0x2169d	dir32
0x216af	dir32
0x216ce	dir32
0x216db	dir32
0x216e4	dir32
0x216f3	dir32
0x2178b	dir32
0x217e5	dir32
0x21ec0	dir32
0x21ecd	dir32
0x21ed6	dir32
0x21ee5	dir32
0x21f4b	dir32
0x220c1	dir32
0x2229a	dir32
0x222ac	dir32
0x22317	dir32
0x2235b	dir32
0x22365	dir32
0x22394	dir32
0x22398	dir32
0x2239c	dir32
0x223a0	dir32
0x223a4	dir32
0x223a8	dir32
0x223ac	dir32
0x223b0	dir32
0x223b4	dir32
0x223b8	dir32
0x223bc	dir32
0x223c0	dir32
0x223c4	dir32
0x223c8	dir32
0x223cc	dir32
0x223d0	dir32
0x223d4	dir32
0x223d8	dir32
0x223dc	dir32
0x223e0	dir32
0x223e4	dir32
0x223e8	dir32
0x223ec	dir32
0x22425	dir32
0x22517	dir32
0x22659	dir32
0x2266a	dir32
0x2266e	dir32
0x22672	dir32
0x22676	dir32
0x2267a	dir32
0x2267e	dir32
0x22682	dir32
0x22686	dir32
0x2268a	dir32
0x2268e	dir32
0x22692	dir32
0x22696	dir32
0x2269a	dir32
0x2269e	dir32
0x226a2	dir32
0x226a6	dir32
0x226aa	dir32
0x226ae	dir32
0x226b2	dir32
0x226b6	dir32
0x226ba	dir32
0x226be	dir32
0x226c2	dir32
0x226c6	dir32
0x226ca	dir32
0x226ce	dir32
0x242bf	dir32
0x242c3	dir32
0x242c7	dir32
0x242cb	dir32
0x242cf	dir32
0x242d3	dir32
0x242d7	dir32
0x242e1	dir32
0x242ee	dir32
0x242f7	dir32
0x24306	dir32
0x25da3	dir32
0x25db0	dir32
0x25db9	dir32
0x25dc8	dir32
0x26777	dir32
0x267e3	dir32
0x267ea	dir32
0x269e6	dir32
0x269ea	dir32
0x269ee	dir32
0x269f2	dir32
0x269f6	dir32
0x269fa	dir32
0x276f1	dir32
0x27874	dir32
0x2787c	dir32
0x27880	dir32
0x27884	dir32
0x27888	dir32
0x2788c	dir32
0x27890	dir32
0x27894	dir32
0x27898	dir32
0x2789c	dir32
0x27e86	dir32
0x27ec9	dir32
0x27f0c	dir32
0x27f35	dir32
0x2824e	dir32
0x282cd	dir32
0x282d6	dir32
0x282dd	dir32
0x282e8	dir32
0x282f2	dir32
0x2a0e0	dir32
0x2b240	dir32
0x2b25a	dir32
0x2b27d	dir32
0x2b2ae	dir32
0x2b2b4	dir32
0x2b2c7	dir32
0x2b2dd	dir32
0x2b2e3	dir32
0x2b2ea	dir32
0x2b2f4	dir32
0x2b309	dir32
0x2b365	dir32
0x2b372	dir32
0x2b384	dir32
0x2b394	dir32
0x2b3a6	dir32
0x2b3b6	dir32
0x2b3c7	dir32
0x2b3d7	dir32
0x2b3e9	dir32
0x2b3f9	dir32
0x2b40b	dir32
0x2b41b	dir32
0x2b433	dir32
0x2b43a	dir32
0x2b447	dir32
0x2b458	dir32
0x2b45f	dir32
0x2b46c	dir32
0x2b47d	dir32
0x2b484	dir32
0x2b491	dir32
0x2b4a2	dir32
0x2b4a9	dir32
0x2b4b6	dir32
0x2b4c7	dir32
0x2b4ce	dir32
0x2b4db	dir32
0x2b4ec	dir32
0x2b4f3	dir32
0x2b500	dir32
0x2b51a	dir32
0x2b7aa	dir32
0x2b7ae	dir32
0x2b7b2	dir32
0x2b7b6	dir32
0x2b7ba	dir32
0x2b7be	dir32
0x2b7c2	dir32
0x2b7c6	dir32
0x2b7ca	dir32
0x2b7ce	dir32
0x2b7d2	dir32
0x2b7d6	dir32
0x2b7e0	dir32
0x2b7ed	dir32
0x2b7f6	dir32
0x2b805	dir32
0x2d25b	dir32
0x2d26f	dir32
0x2d33d	dir32
0x2d34f	dir32
0x2dba4	dir32
0x2dbaa	dir32
0x2dbbd	dir32
0x2dbc3	dir32
0x2dbda	dir32
0x2dc0a	dir32
0x2dc1f	dir32
0x2dc29	dir32
0x2dc35	dir32
0x2dc48	dir32
0x2dc55	dir32
0x2dc85	dir32
0x2dcba	dir32
0x2dd5b	dir32
0x2dd96	dir32
0x2dda0	dir32
0x2ddaf	dir32
0x2dde9	dir32
0x2ddf6	dir32
0x2de12	dir32
0x2de1f	dir32
0x2de29	dir32
0x2de2f	dir32
0x2de41	dir32
0x2de45	dir32
0x2de49	dir32
0x2de4d	dir32
0x2de51	dir32
0x2de55	dir32
0x2de59	dir32
0x2de5d	dir32
0x2de61	dir32
0x2de65	dir32
0x2de69	dir32
0x2de6d	dir32
0x2de71	dir32
0x2de75	dir32
0x2de79	dir32
0x30a50	dir32
0x30a5a	dir32
0x30a90	dir32
0x30adf	dir32
0x30aed	dir32
0x30b00	dir32
0x30b2b	dir32
0x30b3e	dir32
0x30b51	dir32
0x30b66	dir32
0x30b9f	dir32
0x30bbc	dir32
0x30bc6	dir32
0x30bd2	dir32
0x312ad	dir32
0x312b1	dir32
0x312b5	dir32
0x312b9	dir32
0x312bd	dir32
0x312c1	dir32
0x312c5	dir32
0x31f35	dir32
0x31f62	dir32
0x31f6d	dir32
0x31f78	dir32
0x31f96	dir32
0x31f9f	dir32
0x31fa8	dir32
0x32367	dir32
0x323a2	dir32
0x32729	dir32
0x32736	dir32
0x3273f	dir32
0x3274e	dir32
0x32e8a	dir32
0x32e8e	dir32
0x32e92	dir32
0x32e96	dir32
0x32e9a	dir32
0x32eb1	dir32
0x32ec5	dir32
0x32ed3	dir32
0x32eda	dir32
0x32ee7	dir32
0x32ef5	dir32
0x32efc	dir32
0x32f09	dir32
0x32f10	dir32
0x32f1d	dir32
0x32f2e	dir32
0x32f5d	dir32
0x3305f	dir32
0x33080	dir32
0x33087	dir32
0x33095	dir32
0x330a5	dir32
0x330b2	dir32
0x330b9	dir32
0x330c7	dir32
0x33135	dir32
0x3314c	dir32
0x33183	dir32
0x33197	dir32
0x3319e	dir32
0x33290	dir32
0x3329d	dir32
0x332a6	dir32
0x332b5	dir32
0x351cf	dir32
0x351df	dir32
0x35282	dir32
0x35289	dir32
0x352f3	dir32
0x352fa	dir32
0x361ee	dir32
0x36201	dir32
0x36259	dir32
0x3626c	dir32
0x36290	dir32
0x3629c	dir32
0x362d1	dir32
0x362f4	dir32
0x36300	dir32
0x36314	dir32
0x363d8	dir32
0x36439	dir32
0x36460	dir32
0x364d2	dir32
0x364eb	dir32
0x364fc	dir32
0x36528	dir32
0x36559	dir32
0x365a9	dir32
0x365b9	dir32
0x365bf	dir32
0x365d3	dir32
0x36604	dir32
0x3662e	dir32
0x3663c	dir32
0x36652	dir32
0x36685	dir32
0x366c9	dir32
0x366d2	dir32
0x366db	dir32
0x366e2	dir32
0x366e7	dir32
0x366f8	dir32
0x36700	dir32
0x3670b	dir32
0x36714	dir32
0x36728	dir32
0x3673d	dir32
0x3674a	dir32
0x36753	dir32
0x36762	dir32
0x36774	dir32
0x367b3	dir32
0x367c8	dir32
0x367cf	dir32
0x367e4	dir32
0x36803	dir32
0x3683d	dir32
0x3684a	dir32
0x36850	dir32
0x36859	dir32
0x36b2a	dir32
0x36b34	dir32
0x36b3e	dir32
0x36b48	dir32
0x36b52	dir32
0x36b5c	dir32
0x36b66	dir32
0x36b70	dir32
0x36b7a	dir32
0x36b84	dir32
0x36b8e	dir32
0x36b98	dir32
0x36ba2	dir32
0x36bac	dir32
0x36bb6	dir32
0x36bc0	dir32
0x36bca	dir32
0x36bd4	dir32
0x36bde	dir32
0x36bf0	dir32
0x36bfa	dir32
0x36c02	dir32
0x36c09	dir32
0x36c10	dir32
0x36c1a	dir32
0x36c21	dir32
0x36c2b	dir32
0x36c32	dir32
0x36c3c	dir32
0x36c5f	dir32
0x36c67	dir32
0x36c7c	dir32
0x36c86	dir32
0x36c8f	dir32
0x36ca4	dir32
0x36cae	dir32
0x36cb7	dir32
0x36cbe	dir32
0x36cc4	dir32
0x36e00	dir32
0x36e06	dir32
0x36e13	dir32
0x36e19	dir32
0x36e29	dir32
0x36e2e	dir32
0x36e43	dir32
0x36e49	dir32
0x36e60	dir32
0x36e71	dir32
0x36f44	dir32
0x36f4b	dir32
0x36f6b	dir32
0x36f83	dir32
0x36f89	dir32
0x36f9b	dir32
0x36fa1	dir32
0x36fa6	dir32
0x36fb8	dir32
0x36fbd	dir32
0x36fc8	dir32
0x36fd9	dir32
0x36fe6	dir32
0x3700a	dir32
0x37016	dir32
0x37036	dir32
0x3703f	dir32
0x37049	dir32
0x37052	dir32
0x3705b	dir32
0x37069	dir32
0x37073	dir32
0x3707d	dir32
0x37092	dir32
0x3709b	dir32
0x370b6	dir32
0x370c5	dir32
0x370da	dir32
0x370e6	dir32
0x37109	dir32
0x3710e	dir32
0x37121	dir32
0x3712f	dir32
0x3713c	dir32
0x37142	dir32
0x37147	dir32
0x37154	dir32
0x37163	dir32
0x37167	dir32
0x3716b	dir32
0x3716f	dir32
0x37173	dir32
0x372d1	dir32
0x372d5	dir32
0x372d9	dir32
0x372dd	dir32
0x372ed	dir32
0x372f3	dir32
0x372fb	dir32
0x37301	dir32
0x37307	dir32
0x37310	dir32
0x37315	dir32
0x37339	dir32
0x37343	dir32
0x3734e	dir32
0x376db	dir32
0x376df	dir32
0x376e3	dir32
0x376e7	dir32
0x376eb	dir32
0x376ef	dir32
0x37cce	dir32
0x37cdb	dir32
0x37ce4	dir32
0x37cf3	dir32
0x37d24	dir32
0x37e38	dir32
0x38526	dir32
0x3852a	dir32
0x3852e	dir32
0x38532	dir32
0x38536	dir32
0x3853a	dir32
0x3853e	dir32
0x38542	dir32
0x38546	dir32
0x3854a	dir32
0x3854e	dir32
0x38552	dir32
0x38556	dir32
0x3855a	dir32
0x3855e	dir32
0x38562	dir32
0x3864e	dir32
0x38667	dir32
0x3867f	dir32
0x3868a	dir32
0x38d22	dir32
0x38d4b	dir32
0x38d86	dir32
0x38da6	dir32
0x38dab	dir32
0x38db8	dir32
0x38dbe	dir32
0x38df9	dir32
0x38e1d	dir32
0x38e22	dir32
0x38e2f	dir32
0x38e35	dir32
0x38ea7	dir32
0x38ed0	dir32
0x38ed6	dir32
0x38edb	dir32
0x38ee8	dir32
0x38eee	dir32
0x38fde	dir32
0x39031	dir32
0x3b605	dir32
0x3b612	dir32
0x3b61b	dir32
0x3b62a	dir32
0x41f13	dir32
0x41f85	dir32
0x42936	dir32
0x4293a	dir32
0x4293e	dir32
0x42942	dir32
0x42946	dir32
0x4294a	dir32
0x4294e	dir32
0x42aae	dir32
0x42ab2	dir32
0x42ab6	dir32
0x42aba	dir32
0x42abe	dir32
0x4348a	dir32
0x4354c	dir32
0x43572	dir32
0x43597	dir32
0x43ba6	dir32
0x43bab	dir32
0x43bc5	dir32
0x43c3a	dir32
0x43c3f	dir32
0x43c59	dir32
0x43cce	dir32
0x43cd3	dir32
0x43ced	dir32
0x43d75	dir32
0x43d7a	dir32
0x43d9c	dir32
0x43dbc	dir32
0x43e2a	dir32
0x43e31	dir32
0x43eb0	dir32
0x43f1e	dir32
0x43f37	dir32
0x43fa6	dir32
0x43fc4	dir32
0x43fc8	dir32
0x43fcc	dir32
0x43fd0	dir32
0x43fd4	dir32
0x43fd8	dir32
0x43fdc	dir32
0x43fe0	dir32
0x43fe4	dir32
0x43fe8	dir32
0x43fec	dir32
0x449f9	dir32
0x44a0b	dir32
0x44a23	dir32
0x44a29	dir32
0x44a2e	dir32
0x44a5c	dir32
0x4790b	dir32
0x4796c	dir32
0x47979	dir32
0x47ca6	dir32
0x47caa	dir32
0x47cae	dir32
0x47cb2	dir32
0x47cb6	dir32
0x47cba	dir32
0x47cbe	dir32
0x47cc2	dir32
0x47cc6	dir32
0x47cca	dir32
0x47cce	dir32
0x47cd2	dir32
0x47cd6	dir32
0x47e4f	dir32
0x47e53	dir32
0x47e57	dir32
0x47e5b	dir32
0x47e5f	dir32
0x47e87	dir32
0x47eb5	dir32
0x47ed2	dir32
0x47ee4	dir32
0x47f02	dir32
0x47f25	dir32
0x47f2f	dir32
0x47f3c	dir32
0x47f47	dir32
0x49bf1	dir32
0x49bfe	dir32
0x49c07	dir32
0x49c16	dir32
0x49d01	dir32
0x49d0b	dir32
0x4afc5	dir32
0x4afd2	dir32
0x4afdb	dir32
0x4afea	dir32
0x4bfb6	dir32
0x4bfc3	dir32
0x4bfcc	dir32
0x4bfdb	dir32
0x4c099	dir32
0x4c2c5	dir32
0x4c58a	dir32
0x4c5d0	dir32
0x4c63d	dir32
0x4d0ef	dir32
0x553eb	dir32
0x55403	dir32
0x55444	dir32
0x5544f	dir32
0x55455	dir32
0x55467	dir32
0x5546d	dir32
0x5547d	dir32
0x55483	dir32
0x55493	dir32
0x55499	dir32
0x554a8	dir32
0x554ae	dir32
0x554be	dir32
0x554c7	dir32
0x554cd	dir32
0x554dd	dir32
0x554e3	dir32
0x554f0	dir32
0x55509	dir32
