# SEH unwind funclets (destructor-call handlers of EH-compiled
# TUs). Names are the analysis placeholders until each funclet
# is attributed to its parent function. Generated by
# `homm2 audit unmatched-census --write-config`.
entry_rva,size,name
0xe7f60,11,Unwind@004e7f60
0xe7f6b,11,Unwind@004e7f6b
0xe7f76,11,Unwind@004e7f76
0xe7f8b,14,Unwind@004e7f8b
0xe7fa3,11,Unwind@004e7fa3
0xe7fae,11,Unwind@004e7fae
0xe7fb9,11,Unwind@004e7fb9
0xe7fc4,11,Unwind@004e7fc4
0xe7fcf,11,Unwind@004e7fcf
0xe7fe4,11,Unwind@004e7fe4
0xe7fef,11,Unwind@004e7fef
0xe7ffa,11,Unwind@004e7ffa
0xe8005,11,Unwind@004e8005
0xe801a,11,Unwind@004e801a
0xe8025,11,Unwind@004e8025
0xe8030,11,Unwind@004e8030
0xe803b,11,Unwind@004e803b
0xe8050,11,Unwind@004e8050
0xe805b,11,Unwind@004e805b
0xe8066,11,Unwind@004e8066
0xe807b,14,Unwind@004e807b
0xe8089,14,Unwind@004e8089
0xe8097,14,Unwind@004e8097
0xe80af,14,Unwind@004e80af
0xe80bd,14,Unwind@004e80bd
0xe80cb,14,Unwind@004e80cb
0xe80d9,14,Unwind@004e80d9
0xe80e7,14,Unwind@004e80e7
0xe80f5,14,Unwind@004e80f5
0xe8103,14,Unwind@004e8103
0xe8111,14,Unwind@004e8111
0xe8129,14,Unwind@004e8129
0xe8137,14,Unwind@004e8137
0xe8145,14,Unwind@004e8145
0xe8153,14,Unwind@004e8153
0xe8161,14,Unwind@004e8161
0xe816f,14,Unwind@004e816f
0xe8187,11,Unwind@004e8187
0xe819c,11,Unwind@004e819c
0xe81b1,11,Unwind@004e81b1
0xe81c6,11,Unwind@004e81c6
0xe81db,11,Unwind@004e81db
0xe81f0,11,Unwind@004e81f0
0xe8205,11,Unwind@004e8205
0xe8220,14,Unwind@004e8220
0xe8240,11,Unwind@004e8240
0xe824b,11,Unwind@004e824b
0xe8260,14,Unwind@004e8260
0xe826e,14,Unwind@004e826e
0xe827c,14,Unwind@004e827c
0xe82a0,11,Unwind@004e82a0
0xe82ab,11,Unwind@004e82ab
0xe82b6,11,Unwind@004e82b6
0xe82cb,11,Unwind@004e82cb
0xe82e0,11,Unwind@004e82e0
0xe8300,11,Unwind@004e8300
0xe830b,11,Unwind@004e830b
0xe8316,11,Unwind@004e8316
0xe832b,11,Unwind@004e832b
0xe8336,11,Unwind@004e8336
0xe834b,11,Unwind@004e834b
0xe8356,11,Unwind@004e8356
0xe8361,11,Unwind@004e8361
0xe8376,14,Unwind@004e8376
0xe8384,14,Unwind@004e8384
0xe8392,14,Unwind@004e8392
0xe83a0,14,Unwind@004e83a0
0xe83ae,14,Unwind@004e83ae
0xe83c6,14,Unwind@004e83c6
0xe83de,11,Unwind@004e83de
0xe83f3,11,Unwind@004e83f3
0xe8410,11,Unwind@004e8410
0xe8430,14,Unwind@004e8430
0xe8448,11,Unwind@004e8448
0xe845d,11,Unwind@004e845d
0xe8472,11,Unwind@004e8472
0xe8490,11,Unwind@004e8490
0xe84a5,14,Unwind@004e84a5
0xe84b3,14,Unwind@004e84b3
0xe84c1,14,Unwind@004e84c1
0xe84e0,11,Unwind@004e84e0
0xe84f5,11,Unwind@004e84f5
0xe8510,11,Unwind@004e8510
0xe8530,11,Unwind@004e8530
0xe853b,11,Unwind@004e853b
0xe8546,11,Unwind@004e8546
0xe8551,11,Unwind@004e8551
0xe855c,11,Unwind@004e855c
0xe8567,11,Unwind@004e8567
0xe8572,11,Unwind@004e8572
0xe857d,11,Unwind@004e857d
0xe8588,15,Unwind@004e8588
0xe8597,11,Unwind@004e8597
0xe85a2,11,Unwind@004e85a2
0xe85ad,11,Unwind@004e85ad
0xe85b8,11,Unwind@004e85b8
0xe85c3,11,Unwind@004e85c3
0xe85ce,11,Unwind@004e85ce
0xe85d9,14,Unwind@004e85d9
0xe85f1,14,Unwind@004e85f1
0xe8609,14,Unwind@004e8609
0xe8621,11,Unwind@004e8621
0xe862c,11,Unwind@004e862c
0xe8637,14,Unwind@004e8637
0xe8645,14,Unwind@004e8645
0xe8653,14,Unwind@004e8653
0xe8661,14,Unwind@004e8661
0xe866f,14,Unwind@004e866f
0xe867d,14,Unwind@004e867d
0xe868b,14,Unwind@004e868b
0xe8699,14,Unwind@004e8699
0xe86b1,14,Unwind@004e86b1
0xe86bf,14,Unwind@004e86bf
0xe86cd,14,Unwind@004e86cd
0xe86db,14,Unwind@004e86db
0xe86e9,14,Unwind@004e86e9
0xe86f7,14,Unwind@004e86f7
0xe8705,14,Unwind@004e8705
0xe8713,14,Unwind@004e8713
0xe8721,14,Unwind@004e8721
0xe872f,14,Unwind@004e872f
0xe873d,14,Unwind@004e873d
0xe874b,14,Unwind@004e874b
0xe8759,14,Unwind@004e8759
0xe8767,14,Unwind@004e8767
0xe8780,11,Unwind@004e8780
0xe8795,14,Unwind@004e8795
0xe87a3,14,Unwind@004e87a3
