# Ghidra function inventory for the stripped Gold 2.1 target.
# This image carries no CodeView stream, so these boundaries are ANALYSIS OUTPUT,
# not retail evidence: entry points and extents are Ghidra's opinion and every one
# of them is a claim still to be proven.
# Names are placeholders (FUN_*) except where analysis recognised one.
#
# thunk=1 forwards elsewhere and has no body worth reconstructing.
#
# chunks>1 is ALWAYS analysis error. VC6 emits contiguous functions, and reading
# the gap bytes out of the image confirms it: not one of the 76 gaps is padding.
# They hold real code, overwhelmingly inline SEH - the recurring `6a 01 58 c3`
# (push 1; pop eax; ret) is a filter returning EXCEPTION_EXECUTE_HANDLER, followed
# by `8b 65 e8` (mov esp,[ebp-18]) restoring the handler frame. Ghidra keeps those
# blocks out of the body it reports; the function itself is contiguous.
#
# So for 25 of the 26 affected rows the real extent is byte_size+total_gap, and
# byte_size undercounts. Six of them additionally have another entry point carved
# INSIDE the gap (0xd7d64 0xd90a8 0xdc19c 0xdc4cb 0xe0171 and 0xd84ad), which is
# the same SEH block promoted to a function of its own.
#
# 0xd84ad is different in kind and must not be used: its gap spans 0xd853e..0xdc0ad
# and swallows 105 other functions, __amsg_exit among them. The fragment 15,216
# bytes away is a separate function with its own prologue, not part of it.
entry_rva,byte_size,name,thunk,chunks,max_gap,total_gap,extent
0x1000,754,FUN_00401000,0,1,0,0,754
0x12f2,2389,FUN_004012f2,0,1,0,0,2389
0x1c47,952,FUN_00401c47,0,1,0,0,952
0x1fff,216,FUN_00401fff,0,1,0,0,216
0x20d7,1409,FUN_004020d7,0,1,0,0,1409
0x2674,347,FUN_00402674,0,1,0,0,347
0x27cf,3335,FUN_004027cf,0,1,0,0,3335
0x35d2,23,FUN_004035d2,0,1,0,0,23
0x35e9,3205,FUN_004035e9,0,1,0,0,3205
0x4308,830,FUN_00404308,0,1,0,0,830
0x4692,1304,FUN_00404692,0,1,0,0,1304
0x4baa,2313,FUN_00404baa,0,1,0,0,2313
0x54df,569,FUN_004054df,0,1,0,0,569
0x5718,1186,FUN_00405718,0,1,0,0,1186
0x5bba,47,FUN_00405bba,0,1,0,0,47
0x5be9,992,FUN_00405be9,0,1,0,0,992
0x5fc9,9310,FUN_00405fc9,0,1,0,0,9310
0x8427,133,FUN_00408427,0,1,0,0,133
0x84ac,3139,FUN_004084ac,0,1,0,0,3139
0x9363,4167,FUN_00409363,0,1,0,0,4167
0xa491,766,FUN_0040a491,0,1,0,0,766
0xa78f,205,FUN_0040a78f,0,1,0,0,205
0xa85c,658,FUN_0040a85c,0,1,0,0,658
0xaaee,350,FUN_0040aaee,0,1,0,0,350
0xac4c,294,FUN_0040ac4c,0,1,0,0,294
0xad72,1339,FUN_0040ad72,0,1,0,0,1339
0xb2ad,903,FUN_0040b2ad,0,1,0,0,903
0xb634,900,FUN_0040b634,0,1,0,0,900
0xb9b8,891,FUN_0040b9b8,0,1,0,0,891
0xbd33,1519,FUN_0040bd33,0,1,0,0,1519
0xc322,3579,FUN_0040c322,0,1,0,0,3579
0xd11d,220,FUN_0040d11d,0,1,0,0,220
0xd1f9,3281,FUN_0040d1f9,0,1,0,0,3281
0xdeca,256,FUN_0040deca,0,1,0,0,256
0xdfca,20,FUN_0040dfca,0,1,0,0,20
0xdfde,28,FUN_0040dfde,0,1,0,0,28
0xdffa,66,FUN_0040dffa,0,1,0,0,66
0xe03c,330,FUN_0040e03c,0,1,0,0,330
0xe186,494,FUN_0040e186,0,1,0,0,494
0xe374,842,FUN_0040e374,0,1,0,0,842
0xe6be,487,FUN_0040e6be,0,1,0,0,487
0xe8a5,487,FUN_0040e8a5,0,1,0,0,487
0xea8c,735,FUN_0040ea8c,0,1,0,0,735
0xedaf,587,FUN_0040edaf,0,1,0,0,587
0xeffa,139,FUN_0040effa,0,1,0,0,139
0xf085,645,FUN_0040f085,0,1,0,0,645
0xf30a,4788,FUN_0040f30a,0,1,0,0,4788
0x105be,45,FUN_004105be,0,1,0,0,45
0x105eb,694,FUN_004105eb,0,1,0,0,694
0x108a1,90,FUN_004108a1,0,1,0,0,90
0x108fb,831,FUN_004108fb,0,1,0,0,831
0x10d39,535,FUN_00410d39,0,1,0,0,535
0x10f50,963,FUN_00410f50,0,1,0,0,963
0x11313,514,FUN_00411313,0,1,0,0,514
0x11515,224,FUN_00411515,0,1,0,0,224
0x115f5,1032,FUN_004115f5,0,1,0,0,1032
0x119fd,1356,FUN_004119fd,0,1,0,0,1356
0x11f49,1102,FUN_00411f49,0,1,0,0,1102
0x12397,212,FUN_00412397,0,1,0,0,212
0x1246b,107,FUN_0041246b,0,1,0,0,107
0x124d6,93,FUN_004124d6,0,1,0,0,93
