# Import thunks (jmp [IAT]) resolved through the retail import
# directory. Cumulative. Generated by `homm2 audit unmatched-census --write-config`.
entry_rva,size,dll,symbol,iat_rva,coff
0xb559a,6,WSOCK32.dll,inet_addr,0xea31c,_inet_addr@4
0xb55a0,6,WSOCK32.dll,inet_ntoa,0xea2fc,_inet_ntoa@4
0xb55a6,6,WSOCK32.dll,gethostbyname,0xea2f0,_gethostbyname@4
0xb55ac,6,WSOCK32.dll,gethostname,0xea2e4,_gethostname@8
0xb55b2,6,WSOCK32.dll,ioctlsocket,0xea2e8,_ioctlsocket@12
0xb55b8,6,WSOCK32.dll,bind,0xea2ec,_bind@12
0xb55be,6,WSOCK32.dll,htonl,0xea2f4,_htonl@4
0xb55c4,6,WSOCK32.dll,htons,0xea2f8,_htons@4
0xb55ca,6,WSOCK32.dll,socket,0xea318,_socket@12
0xb55d0,6,WSOCK32.dll,WSAGetLastError,0xea300,_WSAGetLastError@0
0xb55d6,6,WSOCK32.dll,WSAStartup,0xea304,_WSAStartup@8
0xb55dc,6,WSOCK32.dll,WSACleanup,0xea308,_WSACleanup@0
0xb55e2,6,WSOCK32.dll,closesocket,0xea30c,_closesocket@4
0xb55e8,6,WSOCK32.dll,sendto,0xea310,_sendto@24
0xb55ee,6,WSOCK32.dll,recvfrom,0xea314,_recvfrom@24
0xb55f4,6,WING32.dll,WinGCreateBitmap,0xea3e4,_WinGCreateBitmap@12
0xb55fa,6,WING32.dll,WinGCreateDC,0xea3e0,_WinGCreateDC@0
0xb5600,6,WING32.dll,WinGRecommendDIBFormat,0xea3d0,_WinGRecommendDIBFormat@4
0xb5606,6,WING32.dll,WinGSetDIBColorTable,0xea3d4,_WinGSetDIBColorTable@16
0xb560c,6,WING32.dll,WinGStretchBlt,0xea3d8,_WinGStretchBlt@44
0xb5612,6,WING32.dll,WinGBitBlt,0xea3dc,_WinGBitBlt@36
0xb5618,6,NETAPI32.dll,Netbios,0xea1f8,_Netbios@4
0xe7c1a,6,KERNEL32.dll,RtlUnwind,0xea1d8
