domain	owner	storage	start	size	kind	identity	provenance
file	PE	file	0x0	0x400	headers	DOS+PE+section-table	retail-pe-headers
file	PE	.text	0x400	0xe9e00	section-text	.text	retail-pe-section-table
file	PE	.rdata	0xea200	0xe00	section-rdata	.rdata	retail-pe-section-table
file	PE	.data	0xeb000	0x37000	section-data	.data	retail-pe-section-table
file	PE	.idata	0x122000	0x1800	imports	.idata	retail-pe-section-table
file	PE	.rsrc	0x123800	0x2600	resources	.rsrc	retail-pe-section-table
file	PE	.reloc	0x125e00	0xee00	base-relocations	.reloc	retail-pe-section-table
file	LINK	overlay	0x134c00	0x110	misc	misc	retail-pe-debug-directory
file	LINK	overlay	0x134d10	0x2190	fpo	fpo	retail-pe-debug-directory
file	LINK	overlay	0x136ea0	0x4028c	codeview-nb09	codeview-nb09	retail-pe-debug-directory
loaded	PE	headers	0x0	0x400	headers	DOS+PE+section-table	retail-pe-headers
loaded	LINK	alignment	0x400	0xc00	virtual-padding	-	retail-section-alignment
loaded	PE	.text	0x1000	0xe9dd6	executable	.text	retail-pe-section-table
loaded	LINK	.text	0xeadd6	0x22a	virtual-padding	.text	retail-section-alignment
loaded	PE	.rdata	0xeb000	0xc9d	read-only-data	.rdata	retail-pe-section-table
loaded	LINK	.rdata	0xebc9d	0x363	virtual-padding	.rdata	retail-section-alignment
loaded	PE	.data	0xec000	0x37000	writable-data	.data initialized	retail-pe-section-table
loaded	PE	.bss	0x123000	0x164b0	loader-zero	.data virtual tail	retail-pe-section-table
loaded	LINK	.data	0x1394b0	0xb50	virtual-padding	.data	retail-section-alignment
loaded	PE	.idata	0x13a000	0x170c	imports	.idata	retail-pe-section-table
loaded	LINK	.idata	0x13b70c	0x8f4	virtual-padding	.idata	retail-section-alignment
loaded	PE	.rsrc	0x13c000	0x257c	resources	.rsrc	retail-pe-section-table
loaded	LINK	.rsrc	0x13e57c	0xa84	virtual-padding	.rsrc	retail-section-alignment
loaded	PE	.reloc	0x13f000	0xed74	base-relocations	.reloc	retail-pe-section-table
loaded	LINK	.reloc	0x14dd74	0x28c	virtual-padding	.reloc	retail-section-alignment
tu-data	SOURCE/Overview	rdata	0xeb058	0x8	constant	$T36566	candidate-coff-section-translation
tu-data	SOURCE/Overview	rdata	0xeb060	0x8	constant	$T36567	candidate-coff-section-translation
tu-data	SOURCE/Overview	rdata	0xeb068	0x8	constant	$T36568	candidate-coff-section-translation
tu-data	SOURCE/Overview	rdata	0xeb070	0x4	constant	$T36598	candidate-coff-section-translation
tu-data	SOURCE/Overview	rdata	0xeb074	0x4	constant	$T36599	candidate-coff-section-translation
tu-data	SOURCE/CURSOR	rdata	0xeb078	0x8	constant	$T36731	candidate-coff-section-translation
tu-data	SOURCE/TOWNMGR	rdata	0xeb080	0xc0	constant	_gTownObjectOrder$S37745	candidate-coff-section-translation
tu-data	SOURCE/TOWNMGR	rdata	0xeb140	0xc	allocation	??_7townManager@@6B@	candidate-coff-section-translation
tu-data	SOURCE/TOWNMGR	rdata	0xeb14c	0x4	padding	__homm2_pad_SOURCE_TOWNMGR_rdata_000eb14c	explicit-retail-zero-padding
tu-data	SOURCE/SPELLS	rdata	0xeb150	0x4	constant	$T38004	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb154	0x4	constant	$T38021	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb158	0x8	constant	$T38023	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb160	0x4	constant	$T38024	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb164	0x4	constant	$T38025	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb168	0x4	constant	$T38026	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb16c	0x4	constant	$T38027	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb170	0x4	constant	$T38028	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb174	0x4	constant	$T38029	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb178	0x4	constant	$T38030	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb17c	0x4	constant	$T38031	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb180	0x4	constant	$T38032	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb184	0x4	constant	$T38035	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb188	0x8	constant	$T38036	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb190	0x8	constant	$T38048	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb198	0x8	constant	$T38049	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb1a0	0x8	constant	$T38050	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb1a8	0x8	constant	$T38053	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb1b0	0x8	constant	$T38054	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb1b8	0x8	constant	$T38055	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb1c0	0x4	constant	$T38056	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb1c4	0x4	constant	$T38079	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb1c8	0x8	constant	$T38080	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb1d0	0x8	constant	$T38098	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb1d8	0x8	constant	$T38099	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb1e0	0x8	constant	$T38100	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb1e8	0x4	constant	$T38105	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb1ec	0x4	constant	$T38109	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb1f0	0x4	constant	$T38110	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb1f4	0x4	constant	$T38111	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb1f8	0x4	constant	$T38112	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb1fc	0x4	constant	$T38113	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb200	0x4	constant	$T38122	candidate-coff-section-translation
tu-data	SOURCE/SPELLS	rdata	0xeb204	0x4	padding	__homm2_pad_SOURCE_SPELLS_rdata_000eb204	explicit-retail-zero-padding
tu-data	SOURCE/COMMAND	rdata	0xeb208	0x8	constant	$T37899	candidate-coff-section-translation
tu-data	SOURCE/COMMAND	rdata	0xeb210	0x8	constant	$T37902	candidate-coff-section-translation
tu-data	SOURCE/COMMAND	rdata	0xeb218	0x8	constant	$T37903	candidate-coff-section-translation
tu-data	SOURCE/COMMAND	rdata	0xeb220	0x8	constant	$T37904	candidate-coff-section-translation
tu-data	SOURCE/COMMAND	rdata	0xeb228	0x8	constant	$T37905	candidate-coff-section-translation
tu-data	SOURCE/COMMAND	rdata	0xeb230	0x8	constant	$T37906	candidate-coff-section-translation
tu-data	SOURCE/COMMAND	rdata	0xeb238	0x8	constant	$T37974	candidate-coff-section-translation
tu-data	SOURCE/COMMAND	rdata	0xeb240	0x8	constant	$T37989	candidate-coff-section-translation
tu-data	SOURCE/COMMAND	rdata	0xeb248	0x8	constant	$T37990	candidate-coff-section-translation
tu-data	SOURCE/COMMAND	rdata	0xeb250	0x8	constant	$T37991	candidate-coff-section-translation
