rva,name,unit,size,kind
0x1000,?ConvertSmackerPalette@@YIXPAE@Z,SMACKMGR,0x4e,func
0x104e,?DoAdvance@@YIXPAUSmackTag@@HHHH@Z,SMACKMGR,0x21f,func
0x126d,?SmackManagerMain@@YIXXZ,SMACKMGR,0x118c,func
0x23f9,?ShutDownSmacker@@YIXXZ,SMACKMGR,0x56,func
0x244f,?PlaySmacker@@YIHH@Z,SMACKMGR,0x17f,func
0x25ce,?ExpansionCampaignRect@@YIHHH@Z,SMACKMGR,0x65,func
0x2633,?PointInRect@@YICHHPAUtag_rect@@@Z,SMACKMGR,0x89,func
0x26bc,?PrintSummaryInfo@@YIXPAUSmackSumTag@@@Z,SMACKMGR,0x251,func
0x2910,?NoShowCombatLog@combatManager@@QAEXPAD@Z,DRAWING,0x41,func
0x2951,?ClearCombatMessages@combatManager@@QAEXH@Z,DRAWING,0xda,func
0x2a2b,?CheckUpdateCombatMessages@combatManager@@QAEXXZ,DRAWING,0x5d,func
0x2a88,?CombatMessage@combatManager@@QAEXPADHHH@Z,DRAWING,0x3f8,func
0x2e80,?CombatMessage@combatManager@@QAEXH@Z,DRAWING,0x3fe,func
0x327e,?ResetLimitCreature@combatManager@@QAEXXZ,DRAWING,0x126,func
0x33a4,?UpdateCombatArea@combatManager@@QAEXXZ,DRAWING,0x6a,func
0x340e,?SetupGridForArmy@combatManager@@QAEXPAVarmy@@@Z,DRAWING,0x213,func
0x3621,?UpdateGrid@combatManager@@QAEHHH@Z,DRAWING,0x5fb,func
0x3c1c,?DrawBackground@combatManager@@QAEXXZ,DRAWING,0x364,func
0x3f80,?UpdateMouseGrid@combatManager@@QAEXHH@Z,DRAWING,0x64c,func
0x45cc,?DrawFrame@combatManager@@QAEXHHHHHHH@Z,DRAWING,0x173f,func
0x5d0b,?DrawSmallView@combatManager@@QAEXHH@Z,DRAWING,0xb99,func
0x68b0,?wsnet_init@@YIFXZ,Wsnetwin,0x5b5,func
0x6e65,?wsnet_term@@YIXXZ,Wsnetwin,0xd2,func
0x6f37,?wsSendMessage@@YIXHEGPAX@Z,Wsnetwin,0x1f5,func
0x712c,?wsnet_snd@@YIHHHPAX@Z,Wsnetwin,0x61,func
0x718d,?wsnet_rcv@@YIFFGPAX@Z,Wsnetwin,0xa7,func
0x7234,?wsProcessMessages@@YIXXZ,Wsnetwin,0xaf,func
0x72e3,?wsEvaluateMessage@@YIXKH@Z,Wsnetwin,0x37d,func
0x7660,?wsWaitForFirstGuest@@YIHXZ,Wsnetwin,0x2e,func
0x768e,?wsWaitForExtraGuests@@YIHXZ,Wsnetwin,0xb8,func
0x7746,?wsWaitForHost@@YIHXZ,Wsnetwin,0x126,func
0x7870,?SetupDynamicStuff@game@@QAEXHHH@Z,Overview,0x223e,func
0x9aae,?SetupNewOverviewType@game@@QAEXHH@Z,Overview,0x357,func
0x9e05,?SetupResources@game@@QAEXXZ,Overview,0x84,func
0x9e89,?Overview@game@@QAEXXZ,Overview,0x4c7,func
0xa350,?DoKnob@game@@QAEXXZ,Overview,0x31f,func
0xa66f,?OverviewHandler@@YIHAAUtag_message@@@Z,Overview,0x4fd,func
0xab6c,?ProcessIconSelect@game@@QAEHHH@Z,Overview,0x4fa,func
0xb070,??0fullMap@@QAE@XZ,mapcell,0x36,func
0xb0a6,??1fullMap@@QAE@XZ,mapcell,0x1e,func
0xb0c4,?Close@fullMap@@QAEXXZ,mapcell,0x81,func
0xb145,?Init@fullMap@@QAEXHH@Z,mapcell,0x53,func
0xb198,?ClearCellExtra@fullMap@@QAEXH@Z,mapcell,0xce,func
0xb266,?GetNewCellExtraIndex@fullMap@@QAEHXZ,mapcell,0x130,func
0xb396,?GetNewCellExtraOverlay@fullMap@@QAEPAUmapCellExtra@@HH@Z,mapcell,0x1d3,func
0xb569,?GetNewCellExtraObject@fullMap@@QAEPAUmapCellExtra@@HH@Z,mapcell,0x1d3,func
0xb73c,?Write@fullMap@@QAEXH@Z,mapcell,0x9e,func
0xb7da,?Read@fullMap@@QAEXHH@Z,mapcell,0x295,func
0xba6f,?ChangeTilesetIndex@fullMap@@QAEXPAVmapCell@@HHHHHH@Z,mapcell,0x2ea,func
0xbd60,?ViewGeneral@combatManager@@QAEHHHH@Z,VIEW,0x6d3,func
0xc433,?HandleViewGeneral@@YIHAAUtag_message@@@Z,VIEW,0x351,func
0xc784,?ViewArmy@combatManager@@QAEXPAVarmy@@H@Z,VIEW,0x165,func
0xc8f0,?ModemSetup@@YIXH@Z,Modem,0x24e,func
0xcb3e,?Dial@@YIJXZ,Modem,0x9e,func
0xcbdc,?Wait@@YIJXZ,Modem,0x54,func
0xcc30,?GUIModemCommand@@YIXPAD0@Z,Modem,0x79,func
0xcca9,?GUIModemCommandExec@@YICXZ,Modem,0x95,func
0xcd3e,?ModemCommand@@YIXPAD@Z,Modem,0x8e,func
0xcdcc,?GUIModemResponse@@YICPAD0@Z,Modem,0x82,func
0xce4e,?GUIModemResponseExec@@YICXZ,Modem,0xe2,func
0xcf30,?write_buffer@@YIHPADH@Z,Modem,0x4e,func
0xcf7e,?read_byte@@YIHXZ,Modem,0x47,func
0xcfc5,?write_byte@@YIXH@Z,Modem,0x27,func
0xcfec,?Connect@@YIXXZ,Modem,0x1bb,func
0xd1a7,?WaitForDirectConnect@@YIHXZ,Modem,0x211,func
0xd3b8,?ReadPacket@@YIDXZ,Modem,0x127,func
0xd4df,?WriteModemPacket@@YIXPADH@Z,Modem,0xff,func
0xd5e0,?StartCursor@advManager@@QAEXH@Z,CURSOR,0x138,func
0xd718,?StopCursor@advManager@@QAEXH@Z,CURSOR,0x11c,func
0xd834,?DrawCursor@advManager@@QAEXXZ,CURSOR,0x5f8,func
0xde2c,?DrawCursorShadow@advManager@@QAEXXZ,CURSOR,0x36c,func
0xe198,?GetCursorBaseFrame@advManager@@QAEHH@Z,CURSOR,0x85,func
0xe21d,?TurnTo@advManager@@QAEXH@Z,CURSOR,0x256,func
0xe473,?GetMoveShowIt@advManager@@QAEHPAVhero@@H@Z,CURSOR,0xac,func
0xe51f,?MoveHero@advManager@@QAEPAVmapCell@@HHPAH00H0H@Z,CURSOR,0x1234,func
0xf753,?CheckAdjacentMon@advManager@@QAEXPAH@Z,CURSOR,0x174,func
0xf8c7,?ValidMoveWithEvent@advManager@@QAEHPAVhero@@H@Z,CURSOR,0x14e,func
0xfa15,?ValidMove@advManager@@QAEHHH@Z,CURSOR,0x4f2,func
0xff07,?MoveOrigin@advManager@@QAEXHH@Z,CURSOR,0x24b,func
0x10152,?ProcessMapChange@advManager@@QAEXUSMapChange@@@Z,CURSOR,0x74f,func
0x108a1,?ProcessIncomingSingleMapChange@advManager@@QAEXPAUSMapChange@@@Z,CURSOR,0x1ba,func
0x10a5b,?ProcessIncomingGroupMapChange@advManager@@QAEXPAD@Z,CURSOR,0xce,func
0x10b29,?PurgeMapChangeQueue@advManager@@QAEXXZ,CURSOR,0x75,func
0x10b9e,?UnwindMapChangeQueue@advManager@@QAEXHH@Z,CURSOR,0x1d4,func
0x10d72,?SendMapChange@@YIXHCEEHEE@Z,CURSOR,0x11a,func
0x10e90,?SetupCampaignGame@game@@QAEHXZ,SETUP,0x2f,func
0x10ebf,?SetupBaud@game@@QAEHXZ,SETUP,0x141,func
0x11000,?SetupComPort@game@@QAEHXZ,SETUP,0x200,func
0x11200,?SetupHotSeatGame@game@@QAEHXZ,SETUP,0x238,func
0x11438,?SetupNetworkGame@game@@QAEHXZ,SETUP,0x127,func
0x1155f,?SetupNetworkGame2@game@@QAEHXZ,SETUP,0x236,func
0x11795,?SetupModemGame@game@@QAEHXZ,SETUP,0x317,func
0x11aac,?SetupMultiPlayerGame@game@@QAEHXZ,SETUP,0x257,func
0x11d03,?SetupGame@game@@QAEHXZ,SETUP,0x6c9,func
0x123cc,?PickLoadGame@game@@QAEHXZ,SETUP,0x2aa,func
0x12676,?SetupCampaignGameHandler@@YIHAAUtag_message@@@Z,SETUP,0x1e,func
0x12694,?SetupComPortHandler@@YIHAAUtag_message@@@Z,SETUP,0x13e,func
0x127d2,?SetupBaudHandler@@YIHAAUtag_message@@@Z,SETUP,0x13e,func
0x12910,?SetupHotSeatGameHandler@@YIHAAUtag_message@@@Z,SETUP,0x118,func
0x12a28,?SetupModemGameHandler@@YIHAAUtag_message@@@Z,SETUP,0x12e,func
0x12b56,?SetupMultiPlayerGameHandler@@YIHAAUtag_message@@@Z,SETUP,0x108,func
0x12c5e,?SetupNetworkGameHandler@@YIHAAUtag_message@@@Z,SETUP,0xd7,func
0x12d35,?SetupNetworkGame2Handler@@YIHAAUtag_message@@@Z,SETUP,0xf8,func
0x12e2d,?SetupGameHandler@@YIHAAUtag_message@@@Z,SETUP,0x14b,func
0x12f78,?ExpNewCampaignHandler@@YIHAAUtag_message@@@Z,SETUP,0xd7,func
0x1304f,?ExpLoadCampaignHandler@@YIHAAUtag_message@@@Z,SETUP,0xd7,func
0x13126,?ExpStdGameHandler@@YIHAAUtag_message@@@Z,SETUP,0xd7,func
0x131fd,?BaseSetupHandler@@YIHAAUtag_message@@@Z,SETUP,0xf0,func
