unit	location	macro	old_address	entity
BASE/DROPLIST_TYPES	include/BASE/DROPLIST_TYPES.h:12	SIZE		SDropListSourceFile
BASE/DROPLIST_TYPES	include/BASE/DROPLIST_TYPES.h:27	SIZE		SDropListSourceFiles
BASE/EXEC_TYPES	include/BASE/EXEC_TYPES.h:41	SIZE		SExecutiveText
BASE/INPUTMGR_TYPES	include/BASE/INPUTMGR_TYPES.h:17	SIZE		SInputManagerText
BASE/IconEntry	include/BASE/IconEntry.h:19	SIZE		IconEntry
BASE/MIDIWrap	include/BASE/MIDIWrap.h:15	SIZE		MIDIWrap
BASE/MIDI_TYPES	include/BASE/MIDI_TYPES.h:24	SIZE		SMidiText
BASE/MISC_TYPES	include/BASE/MISC_TYPES.h:29	SIZE		SMiscMemoryText
BASE/MISC_TYPES	include/BASE/MISC_TYPES.h:35	SIZE		SMiscInstallDefaultsText
BASE/MISC_TYPES	include/BASE/MISC_TYPES.h:41	SIZE		SMiscGameDefaultsText
BASE/MISC_TYPES	include/BASE/MISC_TYPES.h:50	SIZE		SMiscReadFileText
BASE/MISC_TYPES	include/BASE/MISC_TYPES.h:105	SIZE		SMiscReadRegistryText
BASE/MISC_TYPES	include/BASE/MISC_TYPES.h:115	SIZE		SMiscRemoteNameText
BASE/MISC_TYPES	include/BASE/MISC_TYPES.h:121	SIZE		SMiscWriteFileText
BASE/MISC_TYPES	include/BASE/MISC_TYPES.h:171	SIZE		SMiscWriteRegistryText
BASE/MISC_TYPES	include/BASE/MISC_TYPES.h:187	SIZE		SMiscCdText
BASE/MISC_TYPES	include/BASE/MISC_TYPES.h:204	SIZE		SMiscLogText
BASE/MISC_TYPES	include/BASE/MISC_TYPES.h:212	SIZE		SMiscPcxText
BASE/MISC_TYPES	include/BASE/MISC_TYPES.h:217	SIZE		SMiscFileText
BASE/MISC_TYPES	include/BASE/MISC_TYPES.h:228	SIZE		SMiscDataEntryText
BASE/MISC_TYPES	include/BASE/MISC_TYPES.h:245	SIZE		SMiscText
BASE/MOUSEMGR_TYPES	include/BASE/MOUSEMGR_TYPES.h:15	SIZE		SMouseManagerName
BASE/MOUSEMGR_TYPES	include/BASE/MOUSEMGR_TYPES.h:21	SIZE		SMouseManagerSourceFile
BASE/MOUSEMGR_TYPES	include/BASE/MOUSEMGR_TYPES.h:27	SIZE		SMouseManagerIconName
BASE/MOUSEMGR_TYPES	include/BASE/MOUSEMGR_TYPES.h:33	SIZE		SMouseManagerBitmapName
BASE/MOUSEMGR_TYPES	include/BASE/MOUSEMGR_TYPES.h:53	SIZE		SMouseManagerStrings
BASE/Misc	include/BASE/Misc.h:39	SIZE		MemEntry
BASE/Misc	include/BASE/Misc.h:67	SIZE		PCXHeader
BASE/SAMPLE_TYPES	include/BASE/SAMPLE_TYPES.h:14	SIZE		SSampleSourceFiles
BASE/TEXTWDGT_TYPES	include/BASE/TEXTWDGT_TYPES.h:17	SIZE		STextWidgetSourceFiles
BASE/TILESET_TYPES	include/BASE/TILESET_TYPES.h:16	SIZE		STilesetSourceFiles
BASE/WINMGR_TYPES	include/BASE/WINMGR_TYPES.h:23	SIZE		SWindowManagerText
BASE/baseManager	include/BASE/baseManager.h:54	SIZE		baseManager
BASE/bitmap	include/BASE/bitmap.h:52	SIZE		bitmap
BASE/border	include/BASE/border.h:34	SIZE		border
BASE/button	include/BASE/button.h:62	SIZE		button
BASE/dimmerWidget	include/BASE/dimmerWidget.h:27	SIZE		dimmerWidget
BASE/dropListWidget	include/BASE/dropListWidget.h:102	SIZE		dropListWidget
BASE/executive	include/BASE/executive.h:27	SIZE		executive
BASE/font	include/BASE/font.h:52	SIZE		font
BASE/heroWindowManager	include/BASE/heroWindowManager.h:57	SIZE		heroWindowManager
BASE/icon	include/BASE/icon.h:14	SIZE		SLimitData
BASE/icon	include/BASE/icon.h:66	SIZE		icon
BASE/iconWidget	include/BASE/iconWidget.h:50	SIZE		iconWidget
BASE/inputManager	include/BASE/inputManager.h:144	SIZE		inputManager
BASE/listBoxWidget	include/BASE/listBoxWidget.h:82	SIZE		listBoxWidget
BASE/message	include/BASE/message.h:206	SIZE		tag_messageKeyboardPayload
BASE/message	include/BASE/message.h:216	SIZE		tag_messageMousePayload
BASE/message	include/BASE/message.h:226	SIZE		tag_messageHoverPayload
BASE/message	include/BASE/message.h:232	SIZE		tag_messageWidgetData
BASE/message	include/BASE/message.h:245	SIZE		tag_messageWidgetPayload
BASE/message	include/BASE/message.h:264	SIZE		tag_messageExecutivePayload
BASE/message	include/BASE/message.h:274	SIZE		tag_messageUnknownPayload
BASE/message	include/BASE/message.h:284	SIZE		tag_messagePayload
BASE/message	include/BASE/message.h:290	SIZE		tag_message
BASE/mouseManager	include/BASE/mouseManager.h:63	SIZE		mouseManager
BASE/palette	include/BASE/palette.h:28	SIZE		palette
BASE/resourceManager	include/BASE/resourceManager.h:76	SIZE		resourceManager
BASE/sample	include/BASE/sample.h:16	SIZE		sample
BASE/sampleData	include/BASE/sampleData.h:32	SIZE		SamplePlaybackData
BASE/soundManager	include/BASE/soundManager.h:131	SIZE		soundManager
BASE/textEntryWidget	include/BASE/textEntryWidget.h:70	SIZE		textEntryWidget
BASE/textWidget	include/BASE/textWidget.h:41	SIZE		textWidget
BASE/tileset	include/BASE/tileset.h:18	SIZE		tileset
BASE/widget	include/BASE/widget.h:57	SIZE		widget
EDITOR/fullMap	include/EDITOR/fullMap.h:54	SIZE		fullMap
EDITOR/mapcell	include/EDITOR/mapcell.h:102	SIZE		mapCellExtra
EDITOR/mapcell	include/EDITOR/mapcell.h:145	SIZE		mapCell
SOURCE/ADVMGR_TYPES	include/SOURCE/ADVMGR_TYPES.h:21	SIZE		AdventureRemotePayload
SOURCE/ARMY	include/SOURCE/ARMY.h:159	SIZE		SMonFrameInfo
SOURCE/COMMAND	include/SOURCE/COMMAND.h:39	SIZE		CombatRemotePacket
SOURCE/CONFIG_TYPES	include/SOURCE/CONFIG_TYPES.h:127	SIZE		exeGfxConfig
SOURCE/CONFIG_TYPES	include/SOURCE/CONFIG_TYPES.h:128	SIZE		configStruct
SOURCE/CURSOR	include/SOURCE/CURSOR.h:105	SIZE		SMapChange
SOURCE/EVENTS_TYPES	include/SOURCE/EVENTS_TYPES.h:40	SIZE		combatRemoteData
SOURCE/EVENTS_TYPES	include/SOURCE/EVENTS_TYPES.h:41	SIZE		combatRemoteHeroFragment
SOURCE/ExpCampaign	include/SOURCE/ExpCampaign.h:149	SIZE		ExpCampaign
SOURCE/FINDPATH_TYPES	include/SOURCE/FINDPATH_TYPES.h:12	SIZE		SFindPathSourceLine
SOURCE/FINDPATH_TYPES	include/SOURCE/FINDPATH_TYPES.h:18	SIZE		SFindPathSourceLocation
SOURCE/GAME	include/SOURCE/GAME.h:69	SIZE		EventExtra
SOURCE/KB	include/SOURCE/KB.h:134	SIZE		SCampaignChoice
SOURCE/KB	include/SOURCE/KB.h:150	SIZE		SPlayerExit
SOURCE/KB	include/SOURCE/KB.h:291	SIZE		HighScoreEntry
SOURCE/KB	include/SOURCE/KB.h:405	SIZE		OldMainNetSetup
SOURCE/KB	include/SOURCE/KB.h:411	SIZE		OldMainNetBuffer
SOURCE/KB	include/SOURCE/KB.h:431	SIZE		KbRemotePacket
