# Game-side residue carved into address clusters for new-TU
# planning. Functions link in definition order, so one cluster
# is plausibly one TU's contribution. Generated by
# `homm2 audit unmatched-census --write-carving`.
cluster	start_rva	end_rva	functions	bytes	caller_units	suggested_home	named_functions
1	0xc3b20	0xc4b64	1	4164	BASE/FONT:1	new TU (callers span 1 units)	
2	0xd5220	0xd6107	5	3713	BASE/ICON:2	join BASE/ICON	
3	0xd6dfa	0xd7a99	9	2028	SOURCE/CMBTMGR:4,SOURCE/ADVMGR:3,SOURCE/ARMY:3,SOURCE/EVENTS:2	new TU (callers span 30 units)	__abnormal_termination
4	0xd83c0	0xd8beb	9	819	SOURCE/SPELLS:3,BASE/RESMGR:3,SOURCE/REQUEST:3,SOURCE/KB:3	new TU (callers span 12 units)	entry
5	0xded50	0xdf2c6	4	558		new TU (no claimed callers)	
6	0xc5c80	0xc5f26	4	497	BASE/Blur:1,SOURCE/DRAWING:1,SOURCE/CMBTMGR:1,BASE/WINDOW:1	new TU (callers span 10 units)	
7	0xcd000	0xcd256	5	373		new TU (no claimed callers)	
8	0xddf3b	0xde099	1	350		new TU (no claimed callers)	
9	0xdc852	0xdc978	3	294		new TU (no claimed callers)	
10	0xdc327	0xdc5b9	5	252		new TU (no claimed callers)	
11	0xdbde0	0xdbed3	2	243		new TU (no claimed callers)	__trandisp1,__trandisp2
12	0xd937c	0xd94da	2	235	BASE/Misc:2,BASE/RESMGR:1	join BASE/Misc	
13	0xd7d64	0xd7e2f	3	233	SOURCE/KB:1,BASE/Misc:1	new TU (callers span 2 units)	
14	0xdaee7	0xdafa8	3	193		new TU (no claimed callers)	
15	0xdcfaa	0xdd05b	1	177		new TU (no claimed callers)	
16	0xd32c0	0xd34b7	4	149	BASE/WINDOW:1	new TU (callers span 1 units)	
17	0xb6a90	0xb6b57	2	139	BASE/soundmgr:1	new TU (callers span 1 units)	
18	0xde5cc	0xde6da	4	139		new TU (no claimed callers)	__cintrindisp2,__cintrindisp1
19	0xe40a3	0xe412c	1	137		new TU (no claimed callers)	
20	0xb5660	0xb56e7	2	132	SOURCE/HISCORE:1,BASE/RESMGR:1,BASE/soundmgr:1,SOURCE/REQUEST:1	new TU (callers span 12 units)	
21	0xbf2f0	0xbf36b	1	123	BASE/Misc:1	new TU (callers span 1 units)	
22	0xdfd7b	0xdfdf6	1	123		new TU (no claimed callers)	
23	0xc35d0	0xc37f2	2	121	BASE/FONT:1	new TU (callers span 1 units)	
24	0x70d8a	0x70e27	3	119	SOURCE/KB:2	join SOURCE/KB	
25	0xc5720	0xc57ca	4	109	SOURCE/ADVMGR:2,BASE/Midi:2,BASE/soundmgr:1	new TU (callers span 3 units)	
26	0xb52d5	0xb5376	4	108		new TU (no claimed callers)	
27	0xda34c	0xda3d1	2	103		new TU (no claimed callers)	
28	0x79ac2	0x79b85	2	78		new TU (no claimed callers)	
29	0xcae50	0xcb077	2	78		new TU (no claimed callers)	
30	0xce040	0xce227	2	78		new TU (no claimed callers)	
31	0xd4810	0xd4937	2	78		new TU (no claimed callers)	
32	0xe1647	0xe1695	1	78		new TU (no claimed callers)	
33	0xdf9c7	0xdfa3c	2	70		new TU (no claimed callers)	
34	0xe7ecb	0xe7f11	1	70	BASE/Misc:1	new TU (callers span 1 units)	
35	0x7e16a	0x7e1ef	3	69		new TU (no claimed callers)	
36	0xe7587	0xe75c6	1	63		new TU (no claimed callers)	__mbsnbicoll
37	0xbcad0	0xbcb03	1	51	BASE/INPUTMGR:1	new TU (callers span 1 units)	
38	0xd6880	0xd68d7	2	46	SOURCE/Newgame:1,SOURCE/Overview:1,SOURCE/HERO:1,BASE/Textntry:1	new TU (callers span 44 units)	
39	0xe013d	0xe029c	3	46		new TU (no claimed callers)	
40	0xd9a73	0xd9a9d	1	42	BASE/Bzip:1	new TU (callers span 1 units)	
41	0xdb374	0xdb39d	1	41		new TU (no claimed callers)	
42	0x15a13	0x15a3a	1	39		new TU (no claimed callers)	
43	0x18609	0x18630	1	39		new TU (no claimed callers)	
44	0x216c8	0x216ef	1	39		new TU (no claimed callers)	
45	0x21eba	0x21ee1	1	39		new TU (no claimed callers)	
46	0x242db	0x24302	1	39		new TU (no claimed callers)	
47	0x25d9d	0x25dc4	1	39		new TU (no claimed callers)	
48	0x2b7da	0x2b801	1	39		new TU (no claimed callers)	
49	0x32723	0x3274a	1	39		new TU (no claimed callers)	
50	0x3328a	0x332b1	1	39		new TU (no claimed callers)	
51	0x36737	0x3675e	1	39		new TU (no claimed callers)	
52	0x37cc8	0x37cef	1	39		new TU (no claimed callers)	
53	0x3b5ff	0x3b626	1	39		new TU (no claimed callers)	
54	0x49beb	0x49c12	1	39		new TU (no claimed callers)	
55	0x4afbf	0x4afe6	1	39		new TU (no claimed callers)	
56	0x4bfb0	0x4bfd7	1	39		new TU (no claimed callers)	
57	0x60e09	0x60e30	1	39		new TU (no claimed callers)	
58	0x64c82	0x64ca9	1	39		new TU (no claimed callers)	
59	0x650cd	0x650f4	1	39		new TU (no claimed callers)	
60	0x65bab	0x65bd2	1	39		new TU (no claimed callers)	
61	0x72008	0x7202f	1	39		new TU (no claimed callers)	
62	0x72c65	0x72c8c	1	39		new TU (no claimed callers)	
63	0x737f7	0x7381e	1	39		new TU (no claimed callers)	
64	0x73d62	0x73d89	1	39		new TU (no claimed callers)	
65	0x75470	0x75497	1	39		new TU (no claimed callers)	
66	0x7ce56	0x7ce7d	1	39		new TU (no claimed callers)	
67	0x8c2f1	0x8c318	1	39		new TU (no claimed callers)	
68	0x8d00b	0x8d032	1	39		new TU (no claimed callers)	
69	0x8e6f5	0x8e71c	1	39		new TU (no claimed callers)	
70	0x9167f	0x916a6	1	39		new TU (no claimed callers)	
