# Buka VA claim queue, harvested from branch decomp-gold-2.1-buka-attempt-1 (its NEW_VA markers).
# Every row is a remap CLAIM from the previous attempt: the function's
# PoL-line reconstruction (pol_va) was located at buka_rva in this image.
# inventory compares against config/retail_functions.csv byte_size:
#   exact = Ghidra agrees on entry+size; size-differs:<n> = entry agrees,
#   size does not; absent = Ghidra lists no function at that entry.
# Claim a row by porting the body and marking it VA(0x<va>, 0x<size>).
unit	buka_rva	size	inventory	pol_va	signature
BASE/AudiereEffects	0xcc740	0x162	exact		void PurgeFinishedAudiereSamples(void)
BASE/AudiereEffects	0xcc8b0	0x3a	exact		AudiereSampleNode* FindAudiereSample(class sample* sampleResource)
BASE/AudiereEffects	0xcc8f0	0x39c	exact		void PlayAudiereSample(class sample* sampleResource, audiere::AudioDevicePtr device)
BASE/AudiereEffects	0xccc90	0x3c	exact		bool AudiereSamplePlaying(class sample* sampleResource)
BASE/AudiereEffects	0xcccd0	0x70	exact		void StopAudiereSample(class sample* sampleResource)
BASE/AudiereEffects	0xccd40	0x63	exact		void SetAudiereSampleVolume(class sample* sampleResource, i32 volume)
BASE/AudiereEffects	0xccdb0	0x62	exact		void WaitForAudiereSample(class sample* sampleResource)
BASE/AudiereEffects	0xcce20	0x77	exact		void StopAllAudiereSamples(void)
BASE/AudiereEffects	0xccea0	0x6b	exact		void SetAllAudiereSampleVolumes(i32 volume)
BASE/AudiereEffects	0xccf10	0x12	exact		void BeginAudiereSampleIteration(void)
BASE/AudiereEffects	0xccf30	0x12	exact		void EndAudiereSampleIteration(void)
BASE/AudiereEffects	0xccf50	0x11	exact		bool AudiereSampleIterationActive(void)
BASE/AudiereMusic	0xcd260	0x133	exact		void StopAudiereMusic(i32& currentTrack)
BASE/AudiereMusic	0xcd3a0	0x7	exact		bool AudiereMusicAvailable(void)
BASE/AudiereMusic	0xcd3b0	0x36	exact		bool AudiereMusicPlaying(void)
BASE/AudiereMusic	0xcd3f0	0x99	exact		bool StartupAudiereMusic(audiere::AudioDevicePtr device)
BASE/AudiereMusic	0xcd490	0x132	exact		void ResetAudiereMusic(void)
BASE/AudiereMusic	0xcd5d0	0xad	exact		void SetAudiereMusicVolume(i32 volume, i32 fading)
BASE/AudiereMusic	0xcd680	0x3c7	exact		void PlayAudiereMusic(
BASE/BASEMGR	0xc5cd0	0x4c	exact	0x004d2530	baseManager::baseManager(void)
BASE/BITMAP	0xc5f30	0x154	exact	0x004d0160	void bitmap::DrawToBufferCareful(i16 x, i16 y)
BASE/BITMAP	0xc6090	0x47	exact	0x004d0260	inline void bitmap::DrawToBuffer(i16 x, i16 y)
BASE/BITMAP	0xc60e0	0x3d	exact	0x004d02a0	void bitmap::DrawToScreen(i16 x, i16 y)
BASE/BITMAP	0xc6120	0x29	exact	0x004d02e0	void bitmap::GrabScreen(i16 x, i16 y)
BASE/BITMAP	0xc6150	0x36	exact	0x004d0310	inline void bitmap::GrabBitmap(class bitmap* src, i16 x, i16 y)
BASE/BITMAP	0xc6190	0x12f	exact	0x004d0340	void bitmap::GrabBitmapCareful(class bitmap* source, i16 x, i16 y)
BASE/BITMAP	0xc62c0	0xb6	exact	0x004d0430	void bitmap::CopyTo(
BASE/BITMAP	0xc6380	0x77	exact	0x004d0500	void bitmap::CopyToCareful(
BASE/BITS	0xc2ed4	0x2e	exact	0x004d1594	extern "C" i32 __cdecl BitTest(const void* bits, BitIndex bitIndex)
BASE/BITS	0xc2f02	0x20	exact	0x004d15c2	extern "C" void __cdecl BitSet(void* bits, BitIndex bitIndex)
BASE/BITS	0xc2f22	0x22	exact	0x004d15e2	extern "C" void __cdecl BitClear(void* bits, BitIndex bitIndex)
BASE/BORDER	0xcb0a0	0x48	exact	0x004d20a0	border::border(void) : widget(0, 0, 0, 0, 0, WIDGET_KIND_NONE)
BASE/BORDER	0xcb120	0xa8	exact	0x004d2130	border::border(
BASE/BORDER	0xcb1d0	0x7f	exact	0x004d21a0	inline border::~border()
BASE/BORDER	0xcb250	0x13c	exact	0x004d21e0	void border::Read(void)
BASE/BORDER	0xcb390	0x199	exact	0x004d22f0	MessageDispatchResult border::Main(struct tag_message& msg)
BASE/BORDER	0xcb570	0xec	exact	0x004d2480	void border::Draw(void)
