id	master_path	casts	address	outside	reviewed_file_sha256	evidence
include/EDITOR/fullMap.h:fullMap::Cell(mapCell * & cell,i32 x,i32 y)#1	include/EDITOR/fullMap.h	-	-	contract	4b5cfc554e5908827eddcedbafc9d3b93a8a050e9fac6625e80de268a249f879	Reviewed all five accessors: cells is one flat width*height allocation; Row/Column/GetCell/Cell return interior pointers, not fabricated row owners. Extra indexes the extras allocation. Coordinates, initialized storage and extra index remain caller preconditions; no claim that every caller is validated.
include/EDITOR/fullMap.h:fullMap::Column(i32 x)#1	include/EDITOR/fullMap.h	-	-	contract	4b5cfc554e5908827eddcedbafc9d3b93a8a050e9fac6625e80de268a249f879	Reviewed all five accessors: cells is one flat width*height allocation; Row/Column/GetCell/Cell return interior pointers, not fabricated row owners. Extra indexes the extras allocation. Coordinates, initialized storage and extra index remain caller preconditions; no claim that every caller is validated.
include/EDITOR/fullMap.h:fullMap::Extra(i32 i)#1	include/EDITOR/fullMap.h	-	-	contract	4b5cfc554e5908827eddcedbafc9d3b93a8a050e9fac6625e80de268a249f879	Reviewed all five accessors: cells is one flat width*height allocation; Row/Column/GetCell/Cell return interior pointers, not fabricated row owners. Extra indexes the extras allocation. Coordinates, initialized storage and extra index remain caller preconditions; no claim that every caller is validated.
include/EDITOR/fullMap.h:fullMap::GetCell(i32 x,i32 y)#1	include/EDITOR/fullMap.h	-	-	contract	4b5cfc554e5908827eddcedbafc9d3b93a8a050e9fac6625e80de268a249f879	Reviewed all five accessors: cells is one flat width*height allocation; Row/Column/GetCell/Cell return interior pointers, not fabricated row owners. Extra indexes the extras allocation. Coordinates, initialized storage and extra index remain caller preconditions; no claim that every caller is validated.
include/EDITOR/fullMap.h:fullMap::Row(i32 y)#1	include/EDITOR/fullMap.h	-	-	contract	4b5cfc554e5908827eddcedbafc9d3b93a8a050e9fac6625e80de268a249f879	Reviewed all five accessors: cells is one flat width*height allocation; Row/Column/GetCell/Cell return interior pointers, not fabricated row owners. Extra indexes the extras allocation. Coordinates, initialized storage and extra index remain caller preconditions; no claim that every caller is validated.
src/BASE/BITS.asm:BitClear#1	src/BASE/BITS.cpp	-	-	fixed	0badebebadfdc89abe835a04f9468f4c656b644d4365eccd24dd9cfc367cec02	H2BitTest/Set/Clear now access a single BitByte, never an unaligned four-byte tail. Baseline one-byte allocation reproduces ASan READ of size4 in H2BitSet; fixed ASan/UBSan test and bit_bounds CTest pass. Neighbor bytes preserved; bit index remains caller-bounded.
src/BASE/BITS.asm:BitSet#1	src/BASE/BITS.cpp	-	-	fixed	0badebebadfdc89abe835a04f9468f4c656b644d4365eccd24dd9cfc367cec02	H2BitTest/Set/Clear now access a single BitByte, never an unaligned four-byte tail. Baseline one-byte allocation reproduces ASan READ of size4 in H2BitSet; fixed ASan/UBSan test and bit_bounds CTest pass. Neighbor bytes preserved; bit index remains caller-bounded.
src/BASE/BITS.asm:BitTest#1	src/BASE/BITS.cpp	-	-	fixed	0badebebadfdc89abe835a04f9468f4c656b644d4365eccd24dd9cfc367cec02	H2BitTest/Set/Clear now access a single BitByte, never an unaligned four-byte tail. Baseline one-byte allocation reproduces ASan READ of size4 in H2BitSet; fixed ASan/UBSan test and bit_bounds CTest pass. Neighbor bytes preserved; bit index remains caller-bounded.
src/BASE/Bzip.cpp:DecodeData(char * dst,char * src,u32l srcLen)#1	src/BASE/Bzip2.cpp	replaced	-	-	e2ff5d1fccd5b95f3eb6b062273cd4703fc4e398cbe94df1560d7f75fc0fa8f4	All 23 legacy codec bodies are absent on master. Bzip2.cpp uses capacity-aware libbz2 wrappers; compression::Bzip2* tests pass. Remaining wrapper casts are libbz2 char-buffer/const API boundaries, not the old findings. docs/retail-divergences.md: Network-save compression.
src/BASE/Bzip.cpp:EncodeData(char * dst,char * src,u32l srcLen)#1	src/BASE/Bzip2.cpp	replaced	-	-	e2ff5d1fccd5b95f3eb6b062273cd4703fc4e398cbe94df1560d7f75fc0fa8f4	All 23 legacy codec bodies are absent on master. Bzip2.cpp uses capacity-aware libbz2 wrappers; compression::Bzip2* tests pass. Remaining wrapper casts are libbz2 char-buffer/const API boundaries, not the old findings. docs/retail-divergences.md: Network-save compression.
