unit	function	vs_2.0	detail	identifiers_changed
BASE/FONT	?LineWidth@font@@QAEHPAD@Z	body-changed	no 2.0 counterpart with an identical body	
BASE/MilesSound	?StopAllMilesSamples@@YIXXZ	body-changed	no 2.0 counterpart with an identical body	
BASE/WINDOW	?MoveWindow@heroWindow@@QAEXHH@Z	2.0 differs	slot remap -0x4->-0x18 -0x8->-0xc -0xc->-0x10 -0x10->-0x14 -0x14->-0x4 -0x18->-0x8 (1.0 agrees with 2.1)	
SOURCE/ADVMGR	?GetCursorSampleSet@advManager@@QAEXH@Z	2.0 identical	same frame in both retail builds	
SOURCE/AI	?GetWorstArmy@combatManager@@QAEHHH@Z	2.0 differs	slot remap -0xc->-0x14 -0x14->-0xc	
SOURCE/ARMYGRP	?GetMorale@armyGroup@@QAEHPAVhero@@PAVtown@@PAV1@@Z	2.0 differs	slot remap -0x4->-0x10 -0xc->-0x14 -0x10->-0xc -0x14->-0x18 -0x18->-0x4	
SOURCE/CMBTMGR	?GetGridIndex@combatManager@@QAEHHH@Z	2.0 differs	slot remap -0x4->-0x1c -0x8->-0xc -0xc->-0x14 -0x10->-0x18 -0x14->-0x4 -0x18->-0x8 -0x1c->-0x10	
SOURCE/COMMAND	?RightClick@combatManager@@QAEHH@Z	2.0 differs	slot remap -0xc->-0x10 -0x10->-0xc	
SOURCE/GAME	?CalcFileCRC@@YIHPAD@Z	2.0 differs	slot remap -0x4->-0xc -0x8->-0x4 -0xc->-0x10 -0x10->-0x8 (1.0 agrees with 2.1)	
SOURCE/GAME	?CompressTest2@@YIXXZ	2.0 differs	slot remap -0x4->-0x18 -0xc->-0x4 -0x10->-0x28 -0x14->-0x10 -0x18->-0xc -0x1c->-0x14 -0x20->-0x1c -0x24->-0x20 -0x28->-0x24 (1.0 agrees with 2.1)	
SOURCE/GAME	?CompressTest3@@YIXXZ	2.0 differs	slot remap -0x28->-0x2c -0x2c->-0x4 (1.0 agrees with 2.1)	
SOURCE/GAME	?CreateBoat@game@@QAEHHHH@Z	2.0 differs	slot remap -0x8->-0xc -0xc->-0x8	
SOURCE/KB	?CongratsWait@@YIXXZ	2.0 differs	slot remap -0x4->-0x8 -0x20->-0x24 -0x24->-0x4 (1.0 agrees with 2.1)	
SOURCE/PATH	?GetBestDirection@army@@QAEHHHH@Z	2.0 differs	slot remap -0x8->-0xc -0xc->-0x1c -0x10->-0x14 -0x14->-0x10 -0x18->-0x8 -0x1c->-0x18 (1.0 agrees with 2.1)	
SOURCE/PATH	?ValidMove@army@@QAEHHH@Z	2.0 differs	slot remap -0x4->-0x8 -0x8->-0x4 -0xc->-0x10 -0x10->-0xc	
SOURCE/PHILAI	?BuildBuilding@philAI@@QAEXPAVtown@@H@Z	2.0 identical	same frame in both retail builds	
SOURCE/PHILAI	?CombatMonsterEvent@philAI@@QAEHPAVhero@@HPAHPAVmapCell@@@Z	2.0 differs	slot remap -0x4->-0xc -0xc->-0x4 (1.0 agrees with 2.1)	
SOURCE/VIEW	?ViewArmy@combatManager@@QAEXPAVarmy@@H@Z	2.0 differs	slot remap -0x4->-0x8 -0x8->-0x4 -0xc->-0x18 -0x10->-0x20 -0x14->-0xc -0x18->-0x10 -0x1c->-0x14 -0x20->-0x1c	
