# Frame-size divergences (ours vs retail prologue) - task 17/18 work queue.
# Regenerated 2026-08-03 (post dead-local sweep). delta>0 = our frame is LARGER.
delta	ours	retail	rva	unit	function
2512	2512	0	0xd22a0	BASE/Textntry	?Main@textEntryWidget@@UAEHAAUtag_message@@@Z
716	728	12	0xbd650	BASE/Misc	?BaseFree@@YIXPAXPADH@Z
708	724	16	0xbd530	BASE/Misc	?BaseAlloc@@YIPAXIPADH@Z
508	508	0	0xbd7b0	BASE/Misc	?PrintMemoryLeaks@@YIXXZ
504	712	208	0xbfad0	BASE/Misc	?LogInt@@YIXPADHHHHHHH@Z
284	776	492	0xbf370	BASE/Misc	?SetupCDDrive@@YIHXZ
212	464	252	0x69899	SOURCE/KB	?CheckEndGame@@YIXHH@Z
200	212	12	0x73052	SOURCE/Modem	?ModemCommand@@YIXPAD@Z
200	1640	1440	0x8e836	SOURCE/REQUEST	?InitializeFiles@fileRequester@@QAEHPAD0H@Z
152	160	8	0xd4960	BASE/iconf2bc	?FlipIconToBitmapColorTable@@YIXPAVicon@@PAVbitmap@@HHHHHHHHHPAE@Z
120	152	32	0x2b527	SOURCE/CMBTMGR	?CombatSystemOptionsHandler@@YIHAAUtag_message@@@Z
112	112	0	0xbed60	BASE/Misc	?WritePrefsToFile@@YIXXZ
108	152	44	0x14e82	SOURCE/ADVMGR	?SystemOptionsHandler@@YIHAAUtag_message@@@Z
100	256	156	0x5fdd7	SOURCE/GAME	?SetupNewRumour@game@@QAEXXZ
100	108	8	0xc14c0	BASE/Icon2b	?IconToBitmap@@YIXPAVicon@@PAVbitmap@@HHHHHHHHH@Z
96	204	108	0xbedd0	BASE/Misc	?WritePrefsToRegistry@@YIXXZ
88	96	8	0xc0ca0	BASE/icon2bc	?IconToBitmapColorTable@@YIXPAVicon@@PAVbitmap@@HHHHHHHHHPAEH@Z
84	92	8	0xc1c60	BASE/Iconf2b	?FlipIconToBitmap@@YIXPAVicon@@PAVbitmap@@HHHHHHHHH@Z
80	88	8	0xc6af0	BASE/Icond2b	?DimIconToBitmap@@YIXPAVicon@@PAVbitmap@@HHHHHHHHH@Z
76	84	8	0xd64b0	BASE/Icondf2b	?FlipDimIconToBitmap@@YIXPAVicon@@PAVbitmap@@HHHHHHHHH@Z
64	88	24	0xce840	BASE/listbox	?Read@listBoxWidget@@QAEXXZ
60	356	296	0x44d73	SOURCE/EVENTS	?DoAIEvent@advManager@@QAEXPAVmapCell@@PAVhero@@HH@Z
60	116	56	0x8d1ac	SOURCE/REMOTE	?RemoteMain@@YIXH@Z
52	60	8	0xd6130	BASE/Iconmf2b	?FlipMonoIconToBitmap@@YIXPAVicon@@PAVbitmap@@HHHHHHHHH@Z
44	52	8	0x917d6	SOURCE/SEARCH	?SeedPosition@searchArray@@QAEXHHHHHHHHHHHH@Z
40	48	8	0xc67b0	BASE/Iconm2b	?MonoIconToBitmap@@YIXPAVicon@@PAVbitmap@@HHHHHHHHH@Z
40	72	32	0xcf310	BASE/listbox	?DrawLBStuff@listBoxWidget@@QAEXH@Z
36	60	24	0xd4180	BASE/WIDGET	?Main@widget@@UAEHAAUtag_message@@@Z
32	560	528	0x736ec	SOURCE/Modem	?WriteModemPacket@@YIXPADH@Z
32	40	8	0xd5a50	BASE/icon2by	?IconToBitmapYModify@@YIXPAVicon@@PAVbitmap@@HHHHHHHHHPAC@Z
28	212	184	0x35e9	SOURCE/ADVMGR	?ProcessSelect@advManager@@QAEHPAUtag_message@@PAPAVmapCell@@@Z
28	580	552	0x513cf	SOURCE/GAME	?RandomizeEvents@game@@QAEXXZ
28	36	8	0xd5270	BASE/iconf2by	?FlipIconToBitmapYModify@@YIXPAVicon@@PAVbitmap@@HHHHHHHHHPAC@Z
24	124	100	0x4a906	SOURCE/FINDPATH	?FindCombatPath@searchArray@@QAEHHHPAVarmy@@HH@Z
24	36	12	0xc03f0	BASE/Misc	?SRandom@@YIHHH@Z
24	44	20	0xc4e40	BASE/FONT	?LineWidth@font@@QAEHPAD@Z
24	48	24	0xcf860	BASE/listbox	?ProcessMouseMessage@listBoxWidget@@QAEHAAUtag_message@@@Z
24	48	24	0xcff40	BASE/droplist	?Read@dropListWidget@@QAEXXZ
20	148	128	0x20d7	SOURCE/ADVMGR	?DoAdvCommand@advManager@@QAEPAVmapCell@@XZ
20	96	76	0x27cf	SOURCE/ADVMGR	?Main@advManager@@UAEHAAUtag_message@@@Z
20	40	20	0x56c32	SOURCE/GAME	?NextPlayer@game@@QAEXXZ
20	132	112	0xb3e05	SOURCE/X_CAMPGN	?UpdateInfo@ExpCampaign@@QAEXH@Z
20	88	68	0xb74f0	BASE/WINMGR	?DoDialog@heroWindowManager@@QAEHPAVheroWindow@@P6IHAAUtag_message@@@ZH@Z
20	20	0	0xc2ce0	BASE/ICON	?FillToBuffer@icon@@QAEXHHHHHPAUSLimitData@@@Z
