tu	rva	function	callsites	old_metadata	recovered_file_and_lines	before_match	after_match	reloc_audit	source_sha_before	source_sha_after	disposition
BITMAP	0xd0040	bitmap::bitmap(short,short,short)	ALLOC	__FILE__/__LINE__	BITMAP.CPP:21	100.00	100.00	4/4 only-base=0	6799e935bfae8aa20a3a71a335935bb208dd162555251aa5912949ade8b681a8	b1d432d208b6577360c1546f46aa358a0d05746bc52d6e5d05e7a6cc2d54ef62	EXACT_PIN_HELD
BITMAP	0xd00a0	bitmap::bitmap(unsigned long)	ALLOC	__FILE__/__LINE__	BITMAP.CPP:37	100.00	100.00	16/16 only-base=0	6799e935bfae8aa20a3a71a335935bb208dd162555251aa5912949ade8b681a8	b1d432d208b6577360c1546f46aa358a0d05746bc52d6e5d05e7a6cc2d54ef62	EXACT_PIN_HELD
BITMAP	0xd0130	bitmap::~bitmap	FREE	__FILE__/__LINE__	BITMAP.CPP:51	100.00	100.00	4/4 only-base=0	6799e935bfae8aa20a3a71a335935bb208dd162555251aa5912949ade8b681a8	b1d432d208b6577360c1546f46aa358a0d05746bc52d6e5d05e7a6cc2d54ef62	EXACT_PIN_HELD
Blur	0xd28e0	DoBlur	ALLOC,ALLOC,ALLOC,FREE,FREE,FREE	__FILE__/__LINE__ x6	Blur.cpp:25,139,140,168,173,174	93.90	93.90	43/43 only-base=0	d578d9d66beaa59f5c38144e3d0fcfce90fa76b798bf114c177660a98559fd86	4a1615885b1332faa7692d762f18fdfa8e69b39234434ef506de068a9564d441	RETAINED_MAX_AND_RAW_STRUCTURE_PRESERVED
Bzip	0xd5270	FreeCompressStructures	FREE,FREE,FREE	BZFILE:0x461,0x462,0x463	Bzip.c:0x461,0x462,0x463	100.00	100.00	15/15 only-base=0	7865109a5db2f3b5903c6934a3f9beaf0ebd5995265809f12b68af196ed573cc	3d7d11f7d366080237a127c2c8ed16793759f6cd55c679bc812216703a52bd85	EXACT_PIN_HELD
Bzip	0xd5310	allocateCompressStructures	ALLOC,ALLOC,ALLOC	BZFILE:0x475,0x476,0x477	Bzip.c:0x475,0x476,0x477	100.00	100.00	15/15 only-base=0	7865109a5db2f3b5903c6934a3f9beaf0ebd5995265809f12b68af196ed573cc	3d7d11f7d366080237a127c2c8ed16793759f6cd55c679bc812216703a52bd85	EXACT_PIN_HELD
Bzip	0xd53e0	FreeDecompressStructures	FREE,FREE,FREE	BZFILE:0x489,0x48a,0x48b	Bzip.c:0x489,0x48a,0x48b	100.00	100.00	15/15 only-base=0	7865109a5db2f3b5903c6934a3f9beaf0ebd5995265809f12b68af196ed573cc	3d7d11f7d366080237a127c2c8ed16793759f6cd55c679bc812216703a52bd85	EXACT_PIN_HELD
Bzip	0xd5480	setDecompressStructureSizes	ALLOC,ALLOC,ALLOC	BZFILE:0x4a1,0x4a2,0x4a3	Bzip.c:0x4a1,0x4a2,0x4a3	98.06	98.06	16/16 only-base=0	7865109a5db2f3b5903c6934a3f9beaf0ebd5995265809f12b68af196ed573cc	3d7d11f7d366080237a127c2c8ed16793759f6cd55c679bc812216703a52bd85	BYTE_NEUTRAL
ICON	0xc7a20	icon::icon	ALLOC	explicit ICON.CPP:0x12	ICON.CPP:0x12	100.00	100.00	12/12 only-base=0	5bb2d62c889a08db02338242efa01e9bec05ac9129d4a37af0e7edfc8de89146	9f9708b31af193704cd24fdfade4ff296ad129f7a9baecd4e83cc61b3f1764f7	EXACT_PIN_HELD
ICON	0xc7ad0	icon::~icon	FREE	explicit ICON.CPP:0x1a	ICON.CPP:0x1a	100.00	100.00	4/4 only-base=0	5bb2d62c889a08db02338242efa01e9bec05ac9129d4a37af0e7edfc8de89146	9f9708b31af193704cd24fdfade4ff296ad129f7a9baecd4e83cc61b3f1764f7	EXACT_PIN_HELD
