# BASE/BITMAP bitmap::DrawToBufferCareful, RVA 0x000d0160
# Canonical source hash: 292de40d8431
# Generator: scripts/tu_state_noise.py schema 2, forest family, seed 0x424d4150,
# target insertion, declaration widths 10..64.
# The requested 3000-trial population run was intentionally stopped after 1152 compiled
# trials once the orbit had reached 18 states and exact had repeated. Trial 311 was then
# replayed alone and independently proved the retail 255-byte span and complete 7-site
# ordered relocation stream; the probe was discarded and the exact maximum retained.
# Occurrences include the canonical baseline observation for the baseline state only.
# Different state ids with the same score are distinct target byte streams.
state	representative_trial	occurrences	fuzzy	codeview_size	retail_byte_delta	relocations	relocation_state	permutation_sha	atoms
c1833780e8d395e1	2	704	82.530610	249	103	7	a02a143ae103115a	21777e7bc3507d6f	44
41017e96b30464ad	48	6	90.918365	255	43	7	ed336fe46bcaa14c	d6fee3dc0e9db154	228
415fc0cf7ef51238	82	35	61.826530	258	141	7	a725a1a940e85bb1	855dffe67a6d573b	144
4ded3d958b72685b	59	21	75.897960	249	130	7	a02a143ae103115a	d1d66841bbb8d5fd	52
5061f416c447307c	3	110	82.632650	249	103	7	a02a143ae103115a	6f98c6ea8118dc1b	48
53c04110c9e9eacc	232	3	75.897960	249	130	7	a02a143ae103115a	4a75bf6f63128458	84
572d54e5defcf2dd	8	63	82.632650	249	103	7	a02a143ae103115a	400fe34b64f6618d	68
57854697b6110e94	90	26	99.897960	255	1	7	ed336fe46bcaa14c	41ed78935f38ba0f	176
6041d7a92ab2d103	26	1	75.897960	249	130	7	a02a143ae103115a	cb1139c7792e0096	140
610940305a9b278b	103	2	75.887760	249	135	7	a02a143ae103115a	906cb073bce2aa0f	228
731a431a163b3919	127	13	75.836730	249	134	7	a02a143ae103115a	1f97574926289f16	104
7529226305da8cc0	4	38	82.530610	249	103	7	a02a143ae103115a	a2b2fc6f7b41aa21	52
b391793349634343	19	83	75.887760	249	135	7	a02a143ae103115a	6f88e11241b24f82	112
cac9361aa916e94a	89	4	75.897960	249	130	7	a02a143ae103115a	15ac5ec977a55981	172
dbc585c28147dc2c	5	8	61.775510	258	141	7	a725a1a940e85bb1	453ecaa4854a868b	56
e252c740a5f5ad79	96	7	75.836730	249	134	7	a02a143ae103115a	778d662c19ae171d	200
f393b34d89d7b87d	1	26	90.969390	255	43	7	ed336fe46bcaa14c	8360440578d0d07d	40
f7d977a6163d3dd6	311	3	100.000000	255	0	7	ed336fe46bcaa14c	06dd22659eca58a1	180
