# BASE/FONT clean-source OD_STEER migration.
# All six retained scalar-lvalue wrappers were removed from DrawBoundedString,
# LineLength, and LineWidth. LineWidth stayed live exact and required no probe.
# The other targets were sampled only until exact islands repeated, then their first
# exact representatives were replayed alone with exact size and ordered relocations.
target	source_hash	state	representative_trial	occurrences	fuzzy	codeview_size	retail_byte_delta	relocations	relocation_state	permutation_sha	atoms
LineLength	4702f87fc49b	79a5bd53f451be7e	15	6	58.927418	435	15	3	efff154bb06d31d6	3c00c37de22e952a	96
LineLength	4702f87fc49b	0756956be027c611	2	10	97.758064	435	12	3	efff154bb06d31d6	9037a734ba57b42e	44
LineLength	4702f87fc49b	240c0c1e658ffdd6	1	11	58.959680	435	9	3	efff154bb06d31d6	73294381a09048e9	40
LineLength	4702f87fc49b	487d9809fd3fb307	6	3	96.758064	435	18	3	efff154bb06d31d6	2957dce32833014f	60
LineLength	4702f87fc49b	62ec9d2b4245e698	23	5	99.951614	435	6	3	efff154bb06d31d6	59bf59101b5443d3	128
LineLength	4702f87fc49b	7e37b1d2efa28b13	4	13	100.000000	435	0	3	efff154bb06d31d6	aea5ec872bfa5e2d	52
DrawBoundedString	f827dcf88c44	cf2852d7347c9258	2	12	99.896550	787	4	5	5f18ec6a54324322	fe33b62afb10c363	44
DrawBoundedString	f827dcf88c44	745572fcd8618ab1	13	6	72.383620	787	6	5	5f18ec6a54324322	d69048282b07ce36	88
DrawBoundedString	f827dcf88c44	8ed9ffa772ea01d6	14	3	99.603450	787	13	5	5f18ec6a54324322	05f9991a6194d07d	92
DrawBoundedString	f827dcf88c44	9122ec100ba0283b	15	1	99.948270	787	2	5	5f18ec6a54324322	21bba765c580ab99	96
DrawBoundedString	f827dcf88c44	b83c49e1491f8d84	4	2	99.629310	787	7	5	5f18ec6a54324322	6a9737abd144ab82	52
DrawBoundedString	f827dcf88c44	b9b5e6bc8251957a	11	4	99.318960	787	10	5	5f18ec6a54324322	c8e10b656b65203c	80
DrawBoundedString	f827dcf88c44	c0b117a5995a1cf0	5	1	98.362070	787	25	5	5f18ec6a54324322	652404c36c348368	56
DrawBoundedString	f827dcf88c44	ce56f236802cc894	6	4	100.000000	787	0	5	5f18ec6a54324322	f807bfd38c3995fd	60
DrawBoundedString	f827dcf88c44	d4c8cb9670105df2	1	4	99.655174	787	11	5	5f18ec6a54324322	12c48fc9af5c1d79	40
LineWidth	1162d64b293d	live_exact	0	1	100.000000	196	0	1	retail	none	0
