state	base_checkpoint	source_sha256	text_sha256	objdiff_percent	candidate_size	candidate_relocs	retail_relocs	axis_and_outcome
fresh_role_shifted	38b2438	e8eb6bae0b9f033b244699829be101dbb02038555f9a80245c354604f5c79afb	fbe81a688624db4a2a459d6a4a6eb6a55bce24443e9e78a5fa24d018b96973c6	54.535713	0x4a3	79	83	REJECT: first independent clean-room body; public integer roles shifted and unwanted 0x10 frame
retail_roles	a45e64f	7614713fb78d9df6f1a88103d5edbf7364d54c6bb168bfda5a75018451fa5b37	4ce99ad3225e4a2375f969d6fbf93ca211a2a694337d9f90979684cce11328e4	56.326923	0x4a8	79	83	REJECT: corrected x/y/frame/clip/clipX/clipY/clipW/clipH/color roles; frame and divergent setup lifetimes remained
direct_fill_four_calls	38b2438	81e69063ec760bc97860bdca956eb202b209dc7e34c9a41de65b9f02c8ac3ff7	not-captured	52.164837	0x521	81	83	REJECT: four-call clipped fill with fillLength enlarged and regressed candidate
adjacent_setup_direct_fill	38b2438	54e09bbe9c7a94bbbe17725a7a407777d5e7cf767012c6f729190356c19668fe	not-captured	52.618134	0x525	81	83	REJECT: adjacent-decoder setup lifetimes plus direct fill still enlarged/regressed candidate
direct_fill_no_fill_length	38b2438	d9909691a26cd4ac12cd08210a4b55e35955f36c245574b7f65494551a1cc865	not-captured	53.538460	0x524	81	83	REJECT: removed fillLength but retained wrong clipped-fill source shape
retail_three_call_fill	38b2438	2edc3fee94ba1cb0328696d029079bd8e172888c12e8a099ff017487679fa643	not-captured	61.115383	0x4de	81	83	KEEP FOR STRUCTURE: retail three-call fill shape; separate entry-Y snapshot
direct_entry_y	38b2438	d46a4669bb8f0a4a5ade6bfbab97a18b10be90bb484bd8b6a9ded8c44e384589	not-captured	60.434067	0x4dc	81	83	REJECT: direct entry-Y use regressed the three-call-fill checkpoint
early_explicit_y	38b2438	6b83d3ed2c370e8c02faf87e32b55807003465c06f60be816a167856db528dd4	not-captured	60.447803	0x4df	81	83	REJECT: early explicit Y lifetime did not recover retail setup
declared_y_assigned_later	38b2438	49dc870d46882cd525c4a110fb452a0f47c6161c0afe012e8f1185c866ecdc04	not-captured	60.434067	0x4dc	81	83	REJECT: wider Y declaration with later assignment matched direct-entry-Y score only
correct_cnt2_publication	38b2438	cfd59b6a39b478010b8c1641ee4ed2fa0c73a1dc28e737613c2b3f97bf8dfb4e	not-captured	60.656593	0x4dc	81	83	KEEP FOR STRUCTURE: corrected gIcCnt2 publication roles
one_pass_literal	38b2438	83fa4a3cd30307d658f6bef8aaf75c65a91e579ea11ba9ce1a7f9517bcfc9ee3	not-captured	64.750000	0x4ec	82	83	KEEP FOR STRUCTURE: one-pass literal quadrant selector with common memcpy tail
pitch_before_clip	38b2438	7d8f4d039030616fbde99e8c5dc553c51cb746b762fda36d403d14163b0ffead	not-captured	65.804950	0x4ee	82	83	KEEP FOR STRUCTURE: retail-evidenced pitch lifetime before clip classification
split_entry_x_running_x	38b2438	252f876efd88f80aa47d3fb79e0144a8d333912177fa1236a7d1a94a3d56af3e	not-captured	69.167580	0x4e7	82	83	KEEP FOR STRUCTURE: split entry-X snapshot from running X
uninitialized_y_declaration	38b2438	3942b1afe1b157689ce3ed0eab8dc06071db2e4f582b285e1e7895e60d26e7f2	not-captured	69.167580	0x4e7	82	83	NO-OP: uninitialized Y declaration changed source hash but not score/size/relocations
dim_store_lifetimes	38b2438	1b431d7f2d44ef9b0760a646036a1cf4e46e1cfcf9d971316e2c09b207d87558	not-captured	71.118130	0x4fc	85	83	KEEP FOR STRUCTURE: corrected dim palette/destination/count publication lifetimes
entry_before_source_offset	38b2438	a18a251725bd018dcc4ec5a92e82919276aba68401962963844aba445b01cf25	not-captured	71.354390	0x4fc	85	83	KEEP FOR STRUCTURE: typed entry declaration before source-offset snapshot
literal_clip_order	38b2438	66dbe98b43dd4d3ac858145c0593e0cd835dcfc23bb8daf116cbd79756a9ac47	not-captured	72.107140	0x4fa	85	83	KEEP FOR STRUCTURE: retail literal clip-right/count operand ordering
semantic_scratch_names	38b2438	47f23063220343fc4bf5742242f3cf3fc2014466cc2061d5888ebea696f3d918	not-captured	72.107140	0x4fa	85	83	NO-OP: mechanical gIcon-to-gIc semantic names did not alter score/size/relocations
exact_preamble_typed_entry	a45e64f	ec6beeb17c9db42ba48d6cbd3fea9ed4a0d8bc4c4500eeba3cdf7dd1670db9f5	b134d637dfe087a246840e3b5bdcf6763940b605694dbc059e678c08d9a8bdd9	73.563190	0x4e9	83	83	REJECT FOR INTEGRATION: exact include/scratch declaration surface and typed IconEntry local; clean-room best but below retained 74.453300
byte_pointer_entry	a45e64f	4f6aa7f9c92bdd03e99841243edc76efb59ecc29d8f5a5d40f48a6c38fe53ca3	not-captured	72.079670	0x4e6	83	83	REJECT: unsigned-char entry local damaged setup register/push order
split_clip_right_declaration	a45e64f	e6c0b38688681a16cb2ac4bd907b850d9480522ab4ca41490009ae9291e018c9	b134d637dfe087a246840e3b5bdcf6763940b605694dbc059e678c08d9a8bdd9	73.563190	0x4e9	83	83	NO-OP: separate clipRight declaration and assignment emitted byte-identical .text to exact_preamble_typed_entry
