# BASE/Icon2b current-header compiler-state census, checkpoint 5feed25d
# Target: IconToBitmap, RVA 0xd0570, retail size 1261, live report score 69.041210%, candidate/retail relocations 80/83.
# Inputs: Icon2b.cpp SHA-256 604ffbd895d38de3d799831a748bf6e6462412aafd9be7b921533dad1b6dac8d; IconEntry.h 06883ae4959c1f6d73e64978fb09ac482d85419f8c4db1430042666bf6d5c568; IconRle.h d3d3675349926a628d129f08da025033609a82aa48d2e1409e1d81433f0ff22d; icon.h 29bd062bb90540a05c792b3d5851db1a863d70f7d7bc5ed12bb385e23a2a441d.
# Command: python3 scripts/tu_state_noise.py --source src/BASE/Icon2b.cpp --rva 0xd0570 --trials 64 --seed 0x49433242 --insertion top --max-declarations 96 --state-summary /tmp/icon2b-tu-states.json
# Outcome: 58 trials compiled. Together with the baseline they produced 59 observations, 17 distinct normalized text/relocation states, and seven normalized relocation streams.
# Comparison: every row was scored against retail and compared by function size, normalized .text identity, and the ordered relocation stream. Scores range from 68.516490% to 75.258240%; sizes range from 1224 to 1234 bytes. Fifteen states retain 80 relocations and two retain 79. None closes the retail 83-site stream.
# The state engine's baseline score is 68.972530%; the normal live report is quoted above. Treat the state-engine values only as identities within this controlled run, not as replacements for the live report.
# The best raw state is disposable trial 43 at 75.258240%, 1224 bytes, and 79 relocations. No declaration probe remains in source and no sub-100 score is recorded as a canonical maximum.
# Historical recovery: the July 14 clean-room transcript preserves source ec6beeb17c9db42ba48d6cbd3fea9ed4a0d8bc4c4500eeba3cdf7dd1670db9f5. Under checkpoint a45e64f it emitted 1257 bytes and all 83 retail relocations at 73.563190%.
# That historical source cannot be restored wholesale: its left-clipped fill arm overwrites the full run length with the visible length and then advances X by the clipped length. The current source correctly keeps the full run count separate from the visible memset count.
# Bounded current-header replay: the historical setup lifetime emitted 1254 bytes and 84 relocations (Pitch 2/3, X0 4/3, Y 10/8, Cnt2 4/5); the historical clipped-dim selector emitted 83 total but the wrong identities (ClipR 11/10, X0 2/3, Y 9/8, Cnt2 4/5). A current-Y alias and direct post-increment byte reads were emitted-code no-ops. All variants were restored.
state	text_sha	normalized_reloc_sha	objdiff_size	relocs	score	occurrences	trials	representative_family
79bc61b6dd7a94b7	247909307ed0523a	72f377aeee079e84	1233	80	68.972530	4	1,57,59	typedef
0816293d5a75626c	636414efaf4ab03c	1f0e15f8ea055116	1225	80	72.980770	4	13,23,31,33	typedef
0c6b8634136e9e4a	96b8bed05207185e	1f0e15f8ea055116	1225	80	75.079670	1	21	prototype
0e8b11ee7e837170	90bac94315ffd3fd	0c3f8c760f48e212	1232	80	68.516490	2	14,37	enum
140885e787c872e0	d78c50b636856c05	1202879a174d9c03	1234	80	69.747250	1	55	extern
2e54e77f16ffc706	882ebdf07bb2490f	1202879a174d9c03	1234	80	69.719780	2	26,50	enum
4d0c3b4d97f4db04	bc61da7ff147e173	0859bf28d4e7614f	1227	80	72.500000	1	60	mixed
5f6cbf0169f3daf8	cc090631acb98e1b	0859bf28d4e7614f	1227	80	72.796700	3	32,45,48	static-data
6b224ee9d52300d4	79135186a2dc2265	0859bf28d4e7614f	1227	80	72.824170	1	49	typedef
759b6fb1c3515251	48aa540cd2930731	dbd6b1af0ffe40c0	1224	79	75.258240	1	43	extern
776257a8962d7141	81369d9f53ebbe1e	3ecdc4ec6c8dc602	1226	80	73.293950	2	38,62	enum
bebdfc374bb6b478	4df012e296933aff	72f377aeee079e84	1233	80	69.000000	6	6,18,19,30,42,54	member
cccbf3c14f504126	7d897e683d533621	0c3f8c760f48e212	1232	80	68.516490	1	20	static-data
cf9f797bef60128f	af88327efb34d738	dbd6b1af0ffe40c0	1224	79	75.230770	4	2,9,44,61	enum
db8f43718bee006f	b8f861cd69b5a319	1f0e15f8ea055116	1225	80	73.994510	2	8,25	static-data
df0b4ce1ee472d23	5eb4b9cc64547545	3ecdc4ec6c8dc602	1226	80	74.063190	23	3,4,5,7,10,15,16,17,22,27,28,29,34,39,40,41,46,51,52,53,58,63,64	struct
e6f94a3f8ea01041	beaaaf71ca15723d	3ecdc4ec6c8dc602	1226	80	72.799450	1	56	static-data
