# schema_version	1
# base_checkpoint	8116876be8a54b191e027144012cf7726418b595
# corrected_owner_checkpoint	6a86651f544e766fdd9ffc2adad0f3bde1d718ce
# target_rva	0x004d1ba0 (normalized tool RVA 0x000d1ba0)
# target_size	0x4f1
# retained_source_sha256	6d75b7b03c1c1295c9ee896618abc9756d8df654f4b9f151dda5c3083aa4e730
# retained_object_sha256	002371f2a0896235494ec4a8a7b5bfac6fb146290d274b940aef666390badb96
# retained_text_sha256	0596f651ae42685c1cee0282b780756855c2d358883d82c85525618338006f3a
# target_object_sha256	1620109acfec9c11aca38897696b8ab056e7b87091fb9f4bda8f1be60e77f1ae
# target_text_sha256	dc51ac4ccfd5869d35741916dc42d83a184ddaf4238987fc68a233c57073b9a9
# predecessor_state	No preceding function exists in this translation unit.
# new_axis	Differentially align the retail Iconf2b decoder with retail/candidate iconf2bc and iconf2by, then transfer only common body ownership and branch-coalescing structure not covered by the prior include/declaration/setup/right-skip matrices.
# template_proof	Retail Iconf2b and iconf2bc share the same command dispatch, fill/dim body order, literal overlap gate, and three-stage [esp+0x10] right-skip spill. The sibling source carries a distinct current-Y fill lifetime and a clipped-literal copy-count snapshot; both were transferred and retained as the more probable shared template even though this TU optimizes them away.
# static_owner_proof	Ordered retail DIR32 relocations map entry/x0/xend/y/x/src/clipR/clipB/row/run/color/cnt2/dimLen/dimPal/cnt/dimDst/dst/skip to 0x534c78/68/a4/74/7c/80/9c/8c/90/64/98/94/70/84/6c/88/a0/60 respectively. The prior annotations assigned most roles to adjacent cells; the corrected DATA VAs now agree with every one of the 81 retail relocation occurrences.
# raw_audit	Retained candidate .text remains 0x4e5 versus retail 0x4f1; first unmasked divergence remains +0x1d and the decoder begins +0xe9 versus retail +0xe3. Retained .text SHA is unchanged from the 032a2b3 checkpoint.
# relocation_audit	Candidate/retail counts remain 82/81 with no wrong semantic owner after the DATA correction; the sole occurrence-count excess remains gFlipY 9/8.
# conclusion	The bounded shared-template family produced no executable-byte gain. It corrected the complete static scratch ownership model and retained two retail/sibling-evidenced source lifetimes. The target remains an unresolved residual, not a wall or permitted stop.
# permutation_policy	No regex or AST permuter used; AST remains premature at 86.5756%.
state	score_pct	candidate_size	base_relocs	target_relocs	disposition	new_template_axis_and_byte_evidence
canonical_032a2b3	86.5756	0x4e5	82	81	superseded_source_shape	Starting executable bytes before template alignment.
shared_fill_current_y	86.5756	0x4e5	82	81	retained_byte_identical	Separate currentY from the fill-left temporary exactly as iconf2bc; optimized text unchanged.
literal_nested_positive_gate	86.5756	0x4e5	82	81	rejected_byte_identical	Split the vertical literal gate into nested positive clauses; optimizer recoalesced the canonical CFG.
literal_global_y_gate	86.5756	0x4e5	82	81	rejected_byte_identical	Use the iconf2by-style direct global Y clauses; optimized instructions and relocation occurrences were unchanged.
literal_early_reject_gate	86.5756	0x4e5	82	81	rejected_byte_identical	Spell the retail failure branches as an early-reject OR; optimizer emitted the canonical positive-gate bytes.
shared_literal_copy_count	86.5756	0x4e5	82	81	retained_byte_identical	Snapshot cn into copyCount before publication/test as iconf2bc retail/source does; this TU coalesces the lifetimes but the source ownership is sibling-evidenced.
shared_selected_destination	85.78	NA	82	81	rejected	Carry one selectedDst plus right local across both literal arms as iconf2bc source does; allocation regressed and the variant was discarded.
corrected_static_owner_vas	86.5756	0x4e5	82	81	retained_semantic	Correct all 18 DATA annotations from ordered retail relocations; annotations are compiler-neutral and retained text is unchanged.
corrected_owner_physical_order	85.87	NA	82	81	rejected	Declare file statics in ascending corrected retail address order: skip/run/x0/cnt/dimLen/y/entry/x/src/dimPal/dimDst/clipB/row/cnt2/color/clipR/dst/xEnd.
corrected_owner_reverse_physical	84.59	NA	82	81	rejected	Use the bounded reverse order in case VC4.2 common allocation reversed declaration publication; allocation regressed further.
sibling_object_symbol_order	84.58	NA	82	81	rejected	Map iconf2bc object symbol-table roles onto the corrected Iconf2b owners: row/y/xEnd/run/skip/dst/cnt/cnt2/clipR/clipB/x/dimLen/dimDst/dimPal/color/src/x0/entry.
function_local_physical_order	84.33	NA	82	81	rejected	Move the corrected physical-order scratch block into function-local static ownership; both the declaration scope and allocation diverged.
function_local_retained_order	86.40	NA	82	81	rejected	Isolate scope from order by moving the retained declaration sequence into function-local static ownership; close but below the executable baseline.
sibling_object_bss_offset_order	84.35	NA	82	81	rejected	Map iconf2bc candidate BSS-offset order onto corrected roles: row/src/run/entry/dimDst/clipR/dimLen/x/y/clipB/dimPal/xEnd/x0/color/cnt2/skip/cnt/dst.
packed_scratch_record	84.59	NA	82	81	rejected	Model the contiguous 0x48-byte owner as one packed semantic record in a narrow header; register allocation regressed, so the header/type was removed.
canonical_corrected_owner_restored	86.5756	0x4e5	82	81	retained	Restore the integrated file-static declaration sequence and semantic currentY/copyCount lifetimes exactly.
# followup_checkpoint	708de328f95e858b083619e8fa6a0c10e2449a6c
# followup_trigger	38bfdbe introduced a real narrow dimPalette owner surface for icon2bc; test that dependency and isolated sibling-backed setup lifetimes without replaying the recorded owner/declaration-order families.
# followup_result	The narrow owner restored the retail ESI-source/EBX-X register roles but regressed fuzzy score and relocation count. Restored broad-header source live-rebuilds at 86.05%; retained source-hash maximum remains 86.5756%.
chained_x_direct_entry_y	84.80	NA	82	81	rejected	Combine both transformed-X subtractions and use entry->y directly at publication; allocation and setup regressed.
chained_x_delayed_entry_y	84.51	NA	82	81	rejected	Combine transformed-X while retaining a delayed raw entry-Y local; widened setup temporaries and regressed.
const_correct_entry_owner	86.05	0x4e5	82	81	rejected_byte_identical	Make the entry view and private owner pointer const-correct; executable bytes were identical to the current broad-header rebuild.
sibling_final_y_lifetime	79.99	NA	79	81	rejected	Transfer only iconf2bc's final-Y local after entry-X subtraction; frame grew from 0x8 to 0x10 and three retail relocations disappeared.
integer_pitch_lifetime	85.42	0x4e4	82	81	rejected	Use iconf2bc's int pitch type in isolation; shortened the function and regressed without producing the retail publication spill.
narrow_dim_palette_owner	84.60	0x4ef	84	81	rejected	Replace X_GLOBAL with the real dimPalette owner header; recovered ESI-source/EBX-X but added three relocation occurrences and retained the +0x1d first divergence.
canonical_broad_header_restored	86.05	0x4e5	82	81	retained_source	Restore the integrated source exactly; current compiler/header state rebuild is below the retained 86.5756 source-hash maximum.
# hybrid_checkpoint	5645ed8ad9b3d0b5a867fcb2ddf313f6e051081b
# hybrid_trigger	The direct dimPalette state recovered retail ESI-source/EBX-X but added three occurrences; isolate the responsible real dependency and the exact reload sites without replaying owner/declaration-order families.
# hybrid_relocation_proof	Under the narrow owner all 17 non-Y scratch owners match retail occurrence-for-occurrence. gFlipY alone is 11/8: one extra reload in setup (+0x89), clipped fill (+0x1be), and clipped dim (+0x2ed). There are no wrong target addresses.
# hybrid_result	CURSOR.h and hero.h independently restore the broad 82/81 allocation, so the unrelated X_GLOBAL dependency surface—not uDimPal ownership—dominates register allocation. Bounded nested gates improve narrow bytes but not the retained broad source.
dim_before_broad_xglobal	86.05	0x4e5	82	81	rejected_byte_identical	Declare the canonical dimPalette owner first, then retain X_GLOBAL for the rest of its surface; the broad dependency set fully dominates and emits canonical bytes.
