# SOURCE/RECRUIT recruitUnit::Open controlled typedef-state census
# checkpoint	41d8522a
# normalized_source_hash	0dc16a4b92ed
# command	python scripts/tu_state_noise.py --source src/SOURCE/RECRUIT.cpp --rva 0x8b49c --trials 128 --families typedef --seed 0x524f504e --record-max --state-summary /tmp/recruit-open-states.json
# identity	candidate-paired and data-canonicalized target text + objdiff boundary + ordered relocation stream, with only numeric $SG/$T counters folded by the census
# result	128 typedef trials produce two normalized target states; 14 trials reach exact closure and no generated declaration remains in source
state	state_identity	representative_trial	trial_occurrences	score	objdiff_size	text_sha	normalized_reloc_sha	diff_bytes_from_exact	trials_in_1_through_128
canonical-load-order	d5e37d154ce78dcb	1	114	99.987880	587	ac8c65733812e6e2	a921549b02030bba	2	1-7,9-15,17-23,25-32,34-39,41-49,51-55,57-71,73-79,81-87,89-96,98-103,105-113,115-119,121-128
exact-retail-load-order	63a4162855805a66	8	14	100.000000	587	39b07b66a5cffe99	a921549b02030bba	0	8,16,24,33,40,50,56,72,80,88,97,104,114,120
# The state cardinality is two. The canonical state has 115 observations when the unmodified baseline is included; the table counts only its 114 generated trials.
# Both states retain the retail 587-byte CodeView/objdiff boundary and complete retail 26-site ordered relocation stream. The raw retail COFF function extent is 588 bytes because it has one trailing alignment NOP outside the CodeView boundary.
# Canonical and exact differ only at the two local loads beginning at +0x155 and +0x158 in the gold/resource minimum. Canonical loads resourceMaximum from -0x4 into EAX and goldMaximum from -0x8 into ECX; exact and retail load goldMaximum into EAX and resourceMaximum into ECX. The comparison, selected value, frame, CFG, and semantics are unchanged.
# Reversing the symmetric ternary operands is byte-neutral under the canonical TU state, so the clearer established source spelling remains. This is a declaration-sensitive compiler evaluation-order choice rather than missing source structure.
# Trial 8 is the first exact representative. The generated typedef train is disposable and does not remain in RECRUIT.cpp; only Open's exact target evidence is relevant to its maximum.
# The exact state updates only the normalized-source-hash-scoped retained maximum from 99.9879% to 100.0000%. Live canonical score remains 99.987880%.
#
# Current-hash replay after compiler-generated-data modelling
# checkpoint	df45876f
# normalized_source_hash	e6ec0a1c1561
# command	python3 scripts/tu_state_noise.py --source src/SOURCE/RECRUIT.cpp --rva 0x8b49c --trials 128 --seed 0x524f504e --insertion target --families forest --max-declarations 64 --record-max
# result	baseline plus 128 forest trials again produce only two states: canonical ffc4f272a0126be2 occurs 112 times including baseline, while exact 2e35f4983e886c4e occurs 17 times; trial 4 is the exact representative
# Both states retain the retail 587-byte CodeView boundary and complete normalized 26-site relocation stream (9fedf7407ddbf72a). The only differences remain the two local displacement bytes at +0x157 and +0x15a: canonical loads resourceMaximum before goldMaximum, while exact and retail reverse those equivalent loads.
# This proves that the compiler-generated-data hash transition did not introduce a missing semantic structure in Open. The current-hash maximum is exact without retaining probe declarations.
