source_sha256	header_sha256	state	ctor_match	read_match	setup_match	all_textntry_scores	target_raw_outcome	sibling_outcome	disposition
ac8dd08884961ba6d73e8a312391cdeecac71ba132f5badef5f79201a63b34d8	8207f088751e59f5a467c7a7e582c4870d82c3fb4e060262d02d5e3a07a17517	canonical_d9694ae	98.652176	98.675500	100.000000	100.000000,unscored,unscored,98.652176,100.000000,98.675500,99.852940,99.992424,100.000000	CTOR_DELAYED_ICONFRAME_AND_READ_CMP_HEIGHT_REVERSAL	BASELINE	BASE
cc94cbaec5d0a5fe6301a24d4db83a1f7cf5788a9f7273907b5f61043c9bdf99	8207f088751e59f5a467c7a7e582c4870d82c3fb4e060262d02d5e3a07a17517	include_icon_after_resource_manager	98.652176	98.675500	100.000000	100.000000,unscored,unscored,98.652176,100.000000,98.675500,99.852940,99.992424,100.000000	BOTH_RESIDUALS_UNCHANGED	ALL_TEXTNTRY_REPORT_ENTRIES_PINNED	REVERTED_NO_EFFECT
2936bfe9e723622d88d545d44ef9899c39f2745f0b6f0aacbc4244d6d0182da7	8207f088751e59f5a467c7a7e582c4870d82c3fb4e060262d02d5e3a07a17517	include_icon_before_resource_manager	98.652176	98.675500	100.000000	100.000000,unscored,unscored,98.652176,100.000000,98.675500,99.852940,99.992424,100.000000	BOTH_RESIDUALS_UNCHANGED	ALL_TEXTNTRY_REPORT_ENTRIES_PINNED	REVERTED_NO_EFFECT
b064d2741becbbd307c456ef43344c8c185005cf32dfcb3528077fe22015b1e4	8207f088751e59f5a467c7a7e582c4870d82c3fb4e060262d02d5e3a07a17517	include_misc_before_resource_manager	98.652176	98.675500	100.000000	100.000000,unscored,unscored,98.652176,100.000000,98.675500,99.852940,99.992424,100.000000	BOTH_RESIDUALS_UNCHANGED	ALL_TEXTNTRY_REPORT_ENTRIES_PINNED	REVERTED_NO_EFFECT
63885c56f1ca89a5aa9a514733e01b619a55f12e9641a6e71a1edb60319d47fd	8207f088751e59f5a467c7a7e582c4870d82c3fb4e060262d02d5e3a07a17517	include_string_first_and_misc_before_resource_manager	98.652176	98.675500	100.000000	100.000000,unscored,unscored,98.652176,100.000000,98.675500,99.852940,99.992424,100.000000	BOTH_RESIDUALS_UNCHANGED	ALL_TEXTNTRY_REPORT_ENTRIES_PINNED	REVERTED_NO_EFFECT
e30a18ab5d7ac78f5950c9d19f756351cb061e7f68760860659ff5bbcd957997	3e51d0ace8b1ecb893cbd0af71f96cbf6b9d5e22893e63616bff97d8fc6aeee8	header_enum_enabled_local	98.652176	98.675500	99.932434	100.000000,unscored,unscored,98.652176,100.000000,98.675500,99.852940,99.992424,99.932434	BOTH_RESIDUALS_UNCHANGED	SETUP_RAW_EXACTNESS_REGRESSED	REJECT_SIBLING_REGRESSION
7afa7ec95af8994601fbc65e84c4d070d9d3e0a23f233c4c840d1b88947b87f9	8207f088751e59f5a467c7a7e582c4870d82c3fb4e060262d02d5e3a07a17517	semantic_constructor_parameter_names_in_definition	98.652176	98.675500	100.000000	100.000000,unscored,unscored,98.652176,100.000000,98.675500,99.852940,99.992424,100.000000	BOTH_RESIDUALS_UNCHANGED	ALL_TEXTNTRY_REPORT_ENTRIES_PINNED	REVERTED_NO_EFFECT
7afa7ec95af8994601fbc65e84c4d070d9d3e0a23f233c4c840d1b88947b87f9	f197b09b94f3f70cbd2c104201bde56b23d313b70ea0f27b1c0f4f6558c57d3e	semantic_constructor_parameter_names_in_definition_and_declaration	98.652176	98.675500	99.932434	100.000000,unscored,unscored,98.652176,100.000000,98.675500,99.852940,99.992424,99.932434	BOTH_RESIDUALS_UNCHANGED	SETUP_RAW_EXACTNESS_REGRESSED	REJECT_SIBLING_REGRESSION
d1b3b78b141a9c4e857e77678b418994678fd9bb361682a5721cecc5858ae47e	8207f088751e59f5a467c7a7e582c4870d82c3fb4e060262d02d5e3a07a17517	constructor_direct_icon_store	98.652176	98.675500	100.000000	100.000000,unscored,unscored,98.652176,100.000000,98.675500,99.852940,99.992424,100.000000	BOTH_RESIDUALS_UNCHANGED	ALL_TEXTNTRY_REPORT_ENTRIES_PINNED	REVERTED_NO_EFFECT
c8a6bd80312d6a60ce8fee8ab983aba2a7472dc0b40f55340e2a01e9090f23bf	8207f088751e59f5a467c7a7e582c4870d82c3fb4e060262d02d5e3a07a17517	constructor_direct_icon_and_rect_x_stores	98.652176	98.675500	100.000000	100.000000,unscored,unscored,98.652176,100.000000,98.675500,98.689080,99.992424,100.000000	BOTH_RESIDUALS_UNCHANGED	MAIN_REGRESSED	REJECT_SIBLING_REGRESSION
1ae75897229a2f661bead670e5d6972c7398573836fc31b983a7db7275d259c2	8207f088751e59f5a467c7a7e582c4870d82c3fb4e060262d02d5e3a07a17517	constructor_direct_rect_x_store	98.652176	98.675500	100.000000	100.000000,unscored,unscored,98.652176,100.000000,98.675500,99.852940,99.992424,100.000000	BOTH_RESIDUALS_UNCHANGED	ALL_TEXTNTRY_REPORT_ENTRIES_PINNED	REVERTED_NO_EFFECT
af7b3efb8af965b016ee24f2f4008bf5fac0e517a391c63e46a035f27930dd68	8207f088751e59f5a467c7a7e582c4870d82c3fb4e060262d02d5e3a07a17517	read_direct_literal_flag_stores	98.652176	96.523180	100.000000	100.000000,unscored,unscored,98.652176,100.000000,96.523180,99.852940,99.992424,100.000000	FLAG_STORES_HOISTED_BEFORE_RECTANGLE_STORES	ALL_OTHER_TEXTNTRY_REPORT_ENTRIES_PINNED	REJECT_TARGET_RAW_REGRESSION
80c6a85dab2ffcd08f8fad9e5f25855d15452d8f789851d020edf687d949032d	8207f088751e59f5a467c7a7e582c4870d82c3fb4e060262d02d5e3a07a17517	read_single_initialized_int_enabled	98.652176	96.523180	100.000000	100.000000,unscored,unscored,98.652176,100.000000,96.523180,98.689080,99.992424,100.000000	FLAG_STORES_HOISTED_BEFORE_RECTANGLE_STORES	MAIN_REGRESSED	REJECT_TARGET_AND_SIBLING_REGRESSION
4cbf2e145fd452783357a26c465e7045ce9b7a1b82a24c1fb6dc273f16977219	8207f088751e59f5a467c7a7e582c4870d82c3fb4e060262d02d5e3a07a17517	read_enabled_branch_before_height_store	--	--	--	--	SKIPPED_CLOSED_HEIGHT_AFTER_BRANCH_FAMILY	NOT_COMPILED	SKIPPED_KNOWN_FAMILY
28e1b7adc040a85a50b55562ee145c6920de059a8c681a1897882a6228d40d13	8207f088751e59f5a467c7a7e582c4870d82c3fb4e060262d02d5e3a07a17517	read_opposite_duplicated_condition_polarity	98.652176	98.675500	100.000000	100.000000,unscored,unscored,98.652176,100.000000,98.675500,99.852940,99.992424,100.000000	BOTH_RESIDUALS_UNCHANGED	ALL_TEXTNTRY_REPORT_ENTRIES_PINNED	REVERTED_NO_EFFECT
a246d616a0b39d7555eda0146168fed128d0584a9cfb50ff8eb0f6aebb3d4b77	8207f088751e59f5a467c7a7e582c4870d82c3fb4e060262d02d5e3a07a17517	combined_icon_include_direct_store_and_read_condition_polarity	98.652176	98.675500	100.000000	100.000000,unscored,unscored,98.652176,100.000000,98.675500,99.852940,99.992424,100.000000	BOTH_RESIDUALS_UNCHANGED	ALL_TEXTNTRY_REPORT_ENTRIES_PINNED	REVERTED_NO_EFFECT
a246d616a0b39d7555eda0146168fed128d0584a9cfb50ff8eb0f6aebb3d4b77	cb4c674eb345c894584b264e181a3953cb3f0332197881e594517d1a425f9b2a	combined_source_state_and_header_method_swap	98.652176	98.675500	100.000000	100.000000,unscored,unscored,98.652176,100.000000,98.675500,99.852940,99.992424,100.000000	BOTH_RESIDUALS_UNCHANGED	ALL_TEXTNTRY_REPORT_ENTRIES_PINNED	REVERTED_NO_EFFECT
