variant	source_sha256	widget_header_sha256	unit_fuzzy	ctor_fuzzy	main_fuzzy	exact_functions	masked_raw_pins	outcome
integration baseline	a01726c7fba2e267ba07ca78a46dc2cb155026f383f1de35c9f508fbe6c4d86e	4efb3f3b249740f0e5631bf988cc2e8e108e49985e35203427e47f14eabb5f4d	98.96740	96.82609	99.13333	4	ctor delta18 rel1/1; Main delta16 rel17/17; Dim delta0 rel2/2	REFERENCE
width-before-prev plus explicit left/owner lifetimes	4eee8180ae5baba90ca17c897285d0dff6f432b3685e6e35772ea43fbb35e03a	4efb3f3b249740f0e5631bf988cc2e8e108e49985e35203427e47f14eabb5f4d	99.11833	97.95652	99.20000	4	ctor delta10 rel1/1; Main delta12 rel17/17; Dim delta0 rel2/2	RETAIN improvements from audited AST/manual lifetime search
left-x-owner-y declaration order	7ad00e0492093397421a2c6cc619e70a52328fa4acb77cc29fc94b218be9387e	4efb3f3b249740f0e5631bf988cc2e8e108e49985e35203427e47f14eabb5f4d	99.11833	97.95652	99.20000	4	Main delta12 rel17/17; Dim delta0 rel2/2	REJECT no byte change
left-x-y-owner declaration order	fea7df9c160200959790a9ee9971350742d975070e2365cc0bdaa6c7203db49f	4efb3f3b249740f0e5631bf988cc2e8e108e49985e35203427e47f14eabb5f4d	99.11833	97.95652	99.20000	4	Main delta12 rel17/17; Dim delta0 rel2/2	REJECT no byte change
four separate bounds checks	5b3f9619b48a1bac2000b6089e6ace7ee08de8080bbfb58b57f6200bd1aeb39a	4efb3f3b249740f0e5631bf988cc2e8e108e49985e35203427e47f14eabb5f4d	97.79630	97.95652	99.20000	3	Main delta12 rel17/17; Dim delta25 rel2/2	REJECT perturbs exact successor through combined TU state
header enums replace TU-local flag/command/message macros	50c477a687b8896a5a2af8dd895a0f06fd1e62f63cc430283d0186781443f142	4efb3f3b249740f0e5631bf988cc2e8e108e49985e35203427e47f14eabb5f4d	99.11833	97.95652	99.20000	4	ctor delta10 rel1/1; Main delta12 rel17/17; Dim delta0 rel2/2	RETAIN byte-neutral semantic cleanup
named default-constructor flags	e9271fd688bfc769abfd6db15b8430941655a5ad8f5ca74ecb6c77a7dd873215	4efb3f3b249740f0e5631bf988cc2e8e108e49985e35203427e47f14eabb5f4d	99.11833	97.95652	99.20000	4	default ctor delta0 rel1/1; Main delta12 rel17/17; Dim delta0 rel2/2	RETAIN byte-neutral named constants
replace KB include with carcass types only	f1c125452fb7829e5a7aad0729ca126b91a301a3aa7de8c24b4f6e54bf40af02	4efb3f3b249740f0e5631bf988cc2e8e108e49985e35203427e47f14eabb5f4d	build failure	-	-	-	gpWindowManager declaration absent	REJECT owner global is declared by KB header
final documented source	8337bc33368f5cb334ec9903643adef5328cdf0ec7e1edfb0b02db3bdeaac253	4efb3f3b249740f0e5631bf988cc2e8e108e49985e35203427e47f14eabb5f4d	99.11833	97.95652	99.20000	4	ctor delta10 rel1/1; default ctor/dtor/Open/Dim exact; Main delta12 rel17/17	RETAIN canonical best
remove bitmap include	76c07cf248a65688d9fb52038bc0c29565cb33c4b552da78e6fed29ce4ebb03d	4efb3f3b249740f0e5631bf988cc2e8e108e49985e35203427e47f14eabb5f4d	94.39365	97.95652	95.31333	3	Main delta418 rel17/17; Dim delta39 rel2/2	REJECT bitmap declaration state is required
bmap2 before bitmap include	3cab05169d0b2865f9d551ac07ce3a9b0a9a85cbb5cacf76e979f0f355e22352	4efb3f3b249740f0e5631bf988cc2e8e108e49985e35203427e47f14eabb5f4d	99.11833	97.95652	99.20000	4	canonical raw pins	REJECT no byte change
KB before bitmap includes	537060186302bd0b59a6c2d2ec058b1997a334d8f09a4560786bdddf2887de48	4efb3f3b249740f0e5631bf988cc2e8e108e49985e35203427e47f14eabb5f4d	99.11833	97.95652	99.20000	4	canonical raw pins	REJECT no byte change
KB before hero-window includes	008ef095c1a3bc370d57b50af99f4e7a16da094dee1c50ddec00717638089c9d	4efb3f3b249740f0e5631bf988cc2e8e108e49985e35203427e47f14eabb5f4d	99.11833	97.95652	99.20000	4	canonical raw pins	REJECT no byte change
destructor explicit return	4147c8d325b47fd632484912c2c2e7e9a7d207ceffa3073b4d2eae008a8a1605	4efb3f3b249740f0e5631bf988cc2e8e108e49985e35203427e47f14eabb5f4d	99.11833	97.95652	99.20000	4	dtor delta0; canonical Main/Dim pins	REJECT no byte change
destructor and Close explicit returns	e1ffaf723473b37b61278315bdb904ab5816bcc4ce9e392fd34085456658ed7b	4efb3f3b249740f0e5631bf988cc2e8e108e49985e35203427e47f14eabb5f4d	99.11833	97.95652	99.20000	4	dtor delta0; Close delta0; canonical Main/Dim pins	REJECT no byte change
Open return false	b92b6453e514530ee130a77b1ca11c699c9a5f362d53c804084dba75edd1b02e	4efb3f3b249740f0e5631bf988cc2e8e108e49985e35203427e47f14eabb5f4d	build failure	-	-	-	MSVC 4.2 has no bool keyword	REJECT language-version mismatch
Open return 0L	b62141dd945625205d8471a107e368ac11e3531b02f5a4e0b57f1cc7b2cf9d43	4efb3f3b249740f0e5631bf988cc2e8e108e49985e35203427e47f14eabb5f4d	99.11833	97.95652	99.20000	4	Open delta0; canonical Main/Dim pins	REJECT no byte change
