descriptor_sha256	scope	variant	focused_scores	raw_result	disposition
65bddd280d264eddb4b817ce9a0c208330e629780b0c8d91898c62a2a97f1a4b	heroWindowManager+GAME+SPELLS	rename field_0x5e to m_lastHoverId at preserved +0x5e layout	WINMGR 92.68; ViewSpellsHandler 99.75; ViewSpecialHandler 98.62	byte-neutral owner/use-site rename after combined-root rebuild; SIZE remains 0x62	RETAIN retail-evidenced semantic member name
f910ac5064fe74eb99cf96f69b56a341bf2cec1b090f181e6a08c092a9206c89	heroWindowManager::Main	reverse result and window cursor declaration order	97.50	no emitted change	REJECT no gain
fa2eeffdc31ba27204781484cccc0d2a7f6086c7d88fb4dc92e1f8a2ada1f64c	heroWindowManager::Open	explicit openMode parameter lifetime	94.14	no emitted change	REJECT no gain
b80f7046fb411d52085ab2f4634b0ce9c15b151d213f8a66186e8691c69c4629	CycleColors	explicit destination pointer with indexed loop bound	90.66	wrong index termination and schedule	REJECT regression from 91.52
4aea4b74504328b9fabea78269e0e55a21cd96bc0e2a3b15ac2e39d5270187f8	CycleColors	explicit destination pointer with pointer-termination loop	89.96	allocator returned to ECX index / ESI destination with worse schedule	REJECT regression
4202aa5cb24064a95735b1406152fcfd663bef9f3d3297c22f96d0fb3eb3fae2	heroWindowManager::AddWindow	canonical cached head and direct tail links	92.16	0xb3 base / 0xbc retail	REJECT source ordering not retail
ee1f910fde3509abff33de5c21ed8ab2fd2e7c204a6dd79d427c9976e94f78eb	heroWindowManager::AddWindow	uncached head with cached tail	93.80	head block improved; tail still scheduled differently	REJECT superseded
a9a7e5f5b73158e02dd61aeb526aa13928a8655333c21f3cca1feb1f0f17d06f	heroWindowManager::AddWindow	next-before-prev head order and direct tail links	97.00	tail block exact; head still reloads through window	REJECT superseded
f4a8457ee6b30a6552796b7cb8ed01e4a4709d63709957081131a045155bd70d	heroWindowManager::AddWindow	explicit second head snapshot with direct tail links	97.35	0xb6/0xbc; first raw +0x0d; delta 155; rel 1/1	RETAIN retail link structure
08e3d00b097c3080dd222cba4acebfb3b4255f3af8c18724d6d3fd6cbb5f16ee	heroWindowManager::RemoveWindow	branch-local previous-window lifetimes	90.10	introduced LEA and larger tail-branch divergence	REJECT restore shared previous pointer
324d5969b03cf952a93d9102761c46bacc94c54c85b9eecb251742dc70f43be8	heroWindowManager::SaveFizzleSource	originalX snapshot clipping	78.49	0xc7 base / 0xc0 retail; first raw +0x07; delta 137	REJECT decompiler-only lifetime
f3b467cb103f247492915b46f3671ed2692412cda028afd6ccf2efcb6586f952	heroWindowManager::SaveFizzleSource	direct width += x clipping	95.35	0xc0/0xc0; first raw +0x18; delta 21; rel 5/5	RETAIN structural clipping recovery
905ee26774d16d00e4eb95a72a5412e0ac6773abf11611ac96e330c32763e22b	heroWindowManager::FizzleForward	originalX and originalY snapshot clipping	90.14	0x41c base / 0x402 retail code; first raw +0x04; delta 747	REJECT decompiler-only lifetimes
8a65680b99a97c9275e0e90d3093f5b30a101046c266244deeb5e9a757c6bd33	heroWindowManager::FizzleForward	direct width += x and height += y clipping	91.61	0x418 base / 0x402 retail code; first raw +0x18; delta 564; rel 33/33	RETAIN structural clipping recovery
