unit,function,role,rva
BASE/Icon2b,IconToBitmap,row,0x00134c20
BASE/Icon2b,IconToBitmap,pitch,0x00134c24
BASE/Icon2b,IconToBitmap,color,0x00134c28
BASE/Icon2b,IconToBitmap,dim_palette,0x00134c2c
BASE/Icon2b,IconToBitmap,run,0x00134c30
BASE/Icon2b,IconToBitmap,loop_count,0x00134c34
BASE/Icon2b,IconToBitmap,source,0x00134c38
BASE/Icon2b,IconToBitmap,destination,0x00134c3c
BASE/Icon2b,IconToBitmap,clip_right,0x00134c40
BASE/Icon2b,IconToBitmap,clip_bottom,0x00134c44
BASE/Icon2b,IconToBitmap,left,0x00134c48
BASE/Icon2b,IconToBitmap,dim_length,0x00134c4c
BASE/Icon2b,IconToBitmap,y,0x00134c50
BASE/Icon2b,IconToBitmap,x,0x00134c54
BASE/Icon2b,IconToBitmap,entry,0x00134c58
BASE/Icon2b,IconToBitmap,span_count,0x00134c5c
BASE/icon2bc,IconToBitmapColorTable,row,0x00134cbc
BASE/icon2bc,IconToBitmapColorTable,pitch,0x00134ca8
BASE/icon2bc,IconToBitmapColorTable,color,0x00134ce4
BASE/icon2bc,IconToBitmapColorTable,dim_palette,0x00134cc0
BASE/icon2bc,IconToBitmapColorTable,run,0x00134ce8
BASE/icon2bc,IconToBitmapColorTable,loop_count,0x00134cd0
BASE/icon2bc,IconToBitmapColorTable,source,0x00134cd8
BASE/icon2bc,IconToBitmapColorTable,literal_source,0x00134ccc
BASE/icon2bc,IconToBitmapColorTable,destination,0x00134cd4
BASE/icon2bc,IconToBitmapColorTable,clip_right,0x00134cc8
BASE/icon2bc,IconToBitmapColorTable,clip_bottom,0x00134cc4
BASE/icon2bc,IconToBitmapColorTable,left,0x00134ce0
BASE/icon2bc,IconToBitmapColorTable,dim_length,0x00134cdc
BASE/icon2bc,IconToBitmapColorTable,y,0x00134cb4
BASE/icon2bc,IconToBitmapColorTable,x,0x00134cb0
BASE/icon2bc,IconToBitmapColorTable,entry,0x00134cb8
BASE/icon2bc,IconToBitmapColorTable,span_count,0x00134cac
BASE/Iconf2b,FlipIconToBitmap,row,0x00134c90
BASE/Iconf2b,FlipIconToBitmap,color,0x00134c98
BASE/Iconf2b,FlipIconToBitmap,dim_palette,0x00134c84
BASE/Iconf2b,FlipIconToBitmap,run,0x00134c64
BASE/Iconf2b,FlipIconToBitmap,loop_count,0x00134c6c
BASE/Iconf2b,FlipIconToBitmap,source,0x00134c80
BASE/Iconf2b,FlipIconToBitmap,source_skip,0x00134c60
BASE/Iconf2b,FlipIconToBitmap,destination,0x00134ca0
BASE/Iconf2b,FlipIconToBitmap,dim_destination,0x00134c88
BASE/Iconf2b,FlipIconToBitmap,clip_right,0x00134c9c
BASE/Iconf2b,FlipIconToBitmap,clip_bottom,0x00134c8c
BASE/Iconf2b,FlipIconToBitmap,left,0x00134c68
BASE/Iconf2b,FlipIconToBitmap,right,0x00134ca4
BASE/Iconf2b,FlipIconToBitmap,dim_length,0x00134c70
BASE/Iconf2b,FlipIconToBitmap,y,0x00134c74
BASE/Iconf2b,FlipIconToBitmap,x,0x00134c7c
BASE/Iconf2b,FlipIconToBitmap,entry,0x00134c78
BASE/Iconf2b,FlipIconToBitmap,span_count,0x00134c94
BASE/iconf2bc,FlipIconToBitmapColorTable,row,0x00138100
BASE/iconf2bc,FlipIconToBitmapColorTable,color,0x001380cc
BASE/iconf2bc,FlipIconToBitmapColorTable,dim_palette,0x001380dc
BASE/iconf2bc,FlipIconToBitmapColorTable,run,0x00138104
BASE/iconf2bc,FlipIconToBitmapColorTable,loop_count,0x001380e8
BASE/iconf2bc,FlipIconToBitmapColorTable,source,0x001380f0
BASE/iconf2bc,FlipIconToBitmapColorTable,source_skip,0x001380d4
BASE/iconf2bc,FlipIconToBitmapColorTable,destination,0x001380c0
BASE/iconf2bc,FlipIconToBitmapColorTable,dim_destination,0x001380f4
BASE/iconf2bc,FlipIconToBitmapColorTable,clip_right,0x001380c8
BASE/iconf2bc,FlipIconToBitmapColorTable,clip_bottom,0x001380fc
BASE/iconf2bc,FlipIconToBitmapColorTable,left,0x001380f8
BASE/iconf2bc,FlipIconToBitmapColorTable,right,0x001380e4
BASE/iconf2bc,FlipIconToBitmapColorTable,dim_length,0x001380c4
BASE/iconf2bc,FlipIconToBitmapColorTable,y,0x001380d8
BASE/iconf2bc,FlipIconToBitmapColorTable,x,0x001380d0
BASE/iconf2bc,FlipIconToBitmapColorTable,entry,0x001380ec
BASE/iconf2bc,FlipIconToBitmapColorTable,span_count,0x001380e0
BASE/icon2by,IconToBitmapYModify,row,0x00138174
BASE/icon2by,IconToBitmapYModify,pitch,0x0013815c
BASE/icon2by,IconToBitmapYModify,color,0x00138184
BASE/icon2by,IconToBitmapYModify,dim_palette,0x00138170
BASE/icon2by,IconToBitmapYModify,run,0x00138168
BASE/icon2by,IconToBitmapYModify,loop_index,0x00138154
BASE/icon2by,IconToBitmapYModify,source,0x00138178
BASE/icon2by,IconToBitmapYModify,dim_destination,0x00138164
BASE/icon2by,IconToBitmapYModify,clip_right,0x0013818c
BASE/icon2by,IconToBitmapYModify,clip_bottom,0x00138150
BASE/icon2by,IconToBitmapYModify,left,0x0013816c
BASE/icon2by,IconToBitmapYModify,dim_length,0x00138188
BASE/icon2by,IconToBitmapYModify,y,0x00138158
BASE/icon2by,IconToBitmapYModify,x,0x00138160
BASE/icon2by,IconToBitmapYModify,entry,0x00138180
BASE/icon2by,IconToBitmapYModify,span_count,0x0013817c
BASE/iconf2by,FlipIconToBitmapYModify,row,0x00138140
BASE/iconf2by,FlipIconToBitmapYModify,color,0x0013812c
BASE/iconf2by,FlipIconToBitmapYModify,dim_palette,0x0013810c
BASE/iconf2by,FlipIconToBitmapYModify,signed_run,0x00138144
BASE/iconf2by,FlipIconToBitmapYModify,loop_index,0x00138138
BASE/iconf2by,FlipIconToBitmapYModify,source,0x00138128
BASE/iconf2by,FlipIconToBitmapYModify,source_skip,0x00138124
BASE/iconf2by,FlipIconToBitmapYModify,destination,0x0013811c
BASE/iconf2by,FlipIconToBitmapYModify,dim_destination,0x0013814c
BASE/iconf2by,FlipIconToBitmapYModify,clip_right,0x0013813c
BASE/iconf2by,FlipIconToBitmapYModify,clip_bottom,0x00138134
BASE/iconf2by,FlipIconToBitmapYModify,left,0x00138110
BASE/iconf2by,FlipIconToBitmapYModify,right,0x00138108
BASE/iconf2by,FlipIconToBitmapYModify,dim_length,0x00138114
BASE/iconf2by,FlipIconToBitmapYModify,y,0x00138148
BASE/iconf2by,FlipIconToBitmapYModify,x,0x00138120
BASE/iconf2by,FlipIconToBitmapYModify,entry,0x00138118
BASE/iconf2by,FlipIconToBitmapYModify,signed_span_count,0x00138130
BASE/Iconm2b,MonoIconToBitmap,row,0x00134bd0
BASE/Iconm2b,MonoIconToBitmap,run,0x00134be0
BASE/Iconm2b,MonoIconToBitmap,source,0x00134bd8
BASE/Iconm2b,MonoIconToBitmap,clip_right,0x00134bcc
BASE/Iconm2b,MonoIconToBitmap,clip_bottom,0x00134be8
BASE/Iconm2b,MonoIconToBitmap,left,0x00134bdc
BASE/Iconm2b,MonoIconToBitmap,y,0x00134be4
BASE/Iconm2b,MonoIconToBitmap,x,0x00134bec
BASE/Iconm2b,MonoIconToBitmap,entry,0x00134bd4
BASE/Icond2b,DimIconToBitmap,row,0x00134bf0
BASE/Icond2b,DimIconToBitmap,run,0x00134bf8
BASE/Icond2b,DimIconToBitmap,loop_count,0x00134bf4
BASE/Icond2b,DimIconToBitmap,source,0x00134c0c
BASE/Icond2b,DimIconToBitmap,destination,0x00134c10
BASE/Icond2b,DimIconToBitmap,clip_right,0x00134c18
BASE/Icond2b,DimIconToBitmap,clip_bottom,0x00134c08
BASE/Icond2b,DimIconToBitmap,left,0x00134c1c
BASE/Icond2b,DimIconToBitmap,y,0x00134bfc
BASE/Icond2b,DimIconToBitmap,x,0x00134c14
BASE/Icond2b,DimIconToBitmap,entry,0x00134c04
BASE/Icond2b,DimIconToBitmap,span_count,0x00134c00
BASE/Iconmf2b,FlipMonoIconToBitmap,row,0x001381a8
BASE/Iconmf2b,FlipMonoIconToBitmap,run,0x00138190
BASE/Iconmf2b,FlipMonoIconToBitmap,source,0x00138194
BASE/Iconmf2b,FlipMonoIconToBitmap,clip_right,0x001381b0
BASE/Iconmf2b,FlipMonoIconToBitmap,clip_bottom,0x001381a4
BASE/Iconmf2b,FlipMonoIconToBitmap,left,0x001381a0
BASE/Iconmf2b,FlipMonoIconToBitmap,right,0x001381b4
BASE/Iconmf2b,FlipMonoIconToBitmap,y,0x001381ac
BASE/Iconmf2b,FlipMonoIconToBitmap,x,0x0013819c
BASE/Iconmf2b,FlipMonoIconToBitmap,entry,0x00138198
BASE/Icondf2b,FlipDimIconToBitmap,row,0x001381d0
BASE/Icondf2b,FlipDimIconToBitmap,run,0x001381e8
BASE/Icondf2b,FlipDimIconToBitmap,loop_count,0x001381c0
BASE/Icondf2b,FlipDimIconToBitmap,source,0x001381d8
BASE/Icondf2b,FlipDimIconToBitmap,destination,0x001381dc
BASE/Icondf2b,FlipDimIconToBitmap,clip_right,0x001381c8
BASE/Icondf2b,FlipDimIconToBitmap,clip_bottom,0x001381d4
BASE/Icondf2b,FlipDimIconToBitmap,left,0x001381b8
BASE/Icondf2b,FlipDimIconToBitmap,right,0x001381bc
BASE/Icondf2b,FlipDimIconToBitmap,y,0x001381e0
BASE/Icondf2b,FlipDimIconToBitmap,x,0x001381c4
BASE/Icondf2b,FlipDimIconToBitmap,entry,0x001381e4
BASE/Icondf2b,FlipDimIconToBitmap,span_count,0x001381cc
