path	lines	functions	macros	status	sha256	review
include/BASE/BITS.h	10	0	1	read	d5adfd9e9d4f670e35f3e7206b62e8b1ef342ace7592ceb5a28989032981f659	B04: complete graphics owner declarations, layout/constants and call contract; no bodies
include/BASE/Blur.h	17	0	1	read	9f02898f81a837e6803d3ead70f5941fabeba60d3f80b6040fb42243c95e2863	B04: complete graphics owner declarations, layout/constants and call contract; no bodies
include/BASE/Bzip.h	139	0	2	read	2f75ce0d2dcb04fdbb7577694c8f0778d5d2c311021fd3dd126de7aa36602660	B09: complete stream/model/word/API declarations and storage aliases; no bodies; R11
include/BASE/DebugCheck.h	7	1	1	read	4000914f7ed51cb00d309b22dcc7777a5fac9ca16bb89261920a525a592f509c	B07: complete empty DebugCheck inline; no helper extraction needed
include/BASE/EXEC_TYPES.h	43	0	1	read	6dc2b87ee2f064cbe61463780dad2ae31f234c0977f0095de8c126c3c610fa5f	B03: complete manager contracts, flags, state and declarations; no bodies
include/BASE/INPUTMGR.h	10	0	1	read	088cfd450f7e8143e2d3b83644bab30b8ef0b6e079f4d5880e5e8b04ac3c1cc6	B07: complete input/cursor layouts, scan domain and declarations; no bodies
include/BASE/Icon2b.h	23	0	1	read	ce7c737bfd2b9ab81e7de5ebbf8c98534c367f507a334f0fc2ddf5a144ab3a60	B05: complete decoder/encoding/palette contract declarations; no bodies
include/BASE/IconDraw.h	21	0	1	read	33208ff1322cf39240a04e3b6f7f2f23fd18002dc0e9f60f0db55b07c2ac71a7	B04: complete graphics owner declarations, layout/constants and call contract; no bodies
include/BASE/IconEntry.h	22	0	1	read	d097f1c68aab1090c4bc3b0d9aa844cd5d608e2da367efbdc3a2ef00aa68472f	B04: complete graphics owner declarations, layout/constants and call contract; no bodies
include/BASE/IconMonoRle.h	11	0	1	read	ce7ae90eccf355b1634497de9337b3f9443d5196c77f8f6a460f9739be1eb3ae	B05: complete decoder/encoding/palette contract declarations; no bodies
include/BASE/IconRle.h	22	1	1	read	d3d3675349926a628d129f08da025033609a82aa48d2e1409e1d81433f0ff22d	B05: complete command domains and ReadIconRleByte inline; H12
include/BASE/IconShear.h	8	0	1	read	d5e75c40d24efe8ffcc7efd8a8dd6ac2f198923f130b968f3fe5c8685862fa97	B05: complete decoder/encoding/palette contract declarations; no bodies
include/BASE/Icond2b.h	23	0	1	read	559908059c151b4a2a4de3fea6c1787ee7a92acf53fe0499f8f1b5b71b740f10	B05: complete decoder/encoding/palette contract declarations; no bodies
include/BASE/Icondf2b.h	23	0	1	read	b5448cd496bb2cf823d11e9e2f0be855b837f545ced92e110142ada0c606c56f	B05: complete decoder/encoding/palette contract declarations; no bodies
include/BASE/Iconf2b.h	23	0	1	read	d7a65cdbdc7283dcb6c49a5e4f34dfb34c92d58292ec96a33d42ddeff8dd33f3	B05: complete decoder/encoding/palette contract declarations; no bodies
include/BASE/Iconm2b.h	23	0	1	read	6b877a2d5abdb407d0b7d7e35fd434baea30ea130e970203ef667490a899b307	B05: complete decoder/encoding/palette contract declarations; no bodies
include/BASE/Iconmf2b.h	23	0	1	read	46132f9b1de5dd9bc7a790664bff7d8db2b79a54567c914fdeb7d4050b0ed5ef	B05: complete decoder/encoding/palette contract declarations; no bodies
include/BASE/MIDIWrap.h	16	0	1	read	c0cf943f538a4385511ff50b0991a1ccc2070dab0a6153a5544c58ec93d7dd20	B06: complete audio resource/format/sequence/flag declarations; no bodies
include/BASE/Midi.h	16	0	1	read	c306dcba4410ebffcc50bf517bfeb27cb205ade68036bc14e05b79892ca43964	B06: complete audio resource/format/sequence/flag declarations; no bodies
include/BASE/Misc.h	149	1	5	read	a618108289ba29c8ffa978403b886cff3e9831d95bc877070900df025e41ea0e	B08: complete utility/layout/allocator contracts and strict LogInt template body; H05/H06; R10
include/BASE/MiscEnums.h	14	0	1	read	10e7ed0cddf99af74b8555ea9246947443bd33b24d4da28a0ac226d6ec6e456f	B08: complete CD setup result domain; no bodies
include/BASE/MiscGraphicsConstants.h	11	0	1	read	ea4121af939b85b16b40d320ae5738e8df82b25f07585e7b00b583b538bdfd2f	B04: complete graphics owner declarations, layout/constants and call contract; no bodies
include/BASE/MusicFlags.h	18	0	1	read	acc8fe949ff9f44c480b2d69587865bdf2ec1907bd79a61266f36dea0463bbff	B06: complete audio resource/format/sequence/flag declarations; no bodies
