path	audit_sha256	applied_sha256	review
include/BASE/IconRle.h	d3d3675349926a628d129f08da025033609a82aa48d2e1409e1d81433f0ff22d	7b23e2806573880919493c1561cf0d563e1c0827968e1c12033949316d8a7651	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
include/BASE/Misc.h	a618108289ba29c8ffa978403b886cff3e9831d95bc877070900df025e41ea0e	1942debed7b23b43757a42430d484bbf4e3da2f541dcaa49d08e44b8aa02dab8	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
include/BASE/heroWindowManager.h	5e6cfde404b01ee82e9a95dab785ea6277f81ac9a57a4f340b1ae6219c61ed06	07de1a06e39c72fb85b2d339e07a59abb018af063c9ba84399c26cdafcd45375	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
include/BASE/icon.h	b3c7de6c7c58d6448630790fc5f84e783899cd287b0b23ed04702cf59fb65e71	b752b515054cdcd036fc569d6042fb38f41c8d38ae8c7127d44e3986f479b9ab	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
include/BASE/inputManager.h	e764ea765e3cf449d8d3475fd7842b8acc51ead42233a9815eb8612925e0b3bf	2096263fd0ad2718facad6904ac2e9c8e762fd75ec2704845a4c2dfc15d19747	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
include/BASE/message.h	26336389fe4806de61933691de2d73aaeb1dc4684ec1ed6e5996490e59c3e860	fcb7aa24b98857508cbc1ddbd4f745ddaffd0e020a2c578a975588f27f6fdb07	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
include/BASE/widget.h	734055c1622691e5c519195e6359fb9a3922624ae7ddd43ce868ad5b9719acc6	2b14331c3c987272372f44ba2205bf2516d3a901269749da653c99070e818bf1	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
include/EDITOR/mapcell.h	c2aa8f2d2c3dae60671da97867fb09fd971afdd2915f6dedc645f63a282b6e11	6b379dad333560f3e2a433fd5010812fe5e33e7a5bb9fafdefc05d91e53deb74	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
include/SOURCE/ADVMGR.h	7b9777229ae53954e735bd38d318f1392596f3e187b1279251d6f151c13af7c7	09c861c63da6ee377e4b9360ab7bea834494737f7e356b541f0429d8af9a632d	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
include/SOURCE/Campaign.h	8a7319524638d3c37b993b2aa5cba6e0e22bdbd28ce366e7e29db18c5892eabc	ee00428a7c4540ea2fa099f61a3ff166fa805617f04e57729ecda749037e2596	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
include/SOURCE/EVENTS.h	aa48042c559abec23312bf2709282ddcdbb1fcc4113360570182f8e556860cc0	6db0f8a41e3e6393d1ad6ed87ed58d1e4a9a0c385722d65cfde68f213c851e37	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
include/SOURCE/KB.h	21654a35af91dfe2840997047e9afef5ffcf7f1a236bead70d8691006d801462	dcbb114a0340994c10ad631f0c58acaa17502a60054228c59483b431b9da4e9e	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
include/SOURCE/KB_TYPES.h	3bbe6eb9d162180d149d88c8a085aa540a8e0af6b37539a8d82c457d55b06e02	3115b077d43dee7353aaeb477777aebf6d28b3639a4bf281bae64d4c2d0ae9af	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
include/SOURCE/REMOTE.h	9795233ab9900b17af92062ef3f40724d2090b23e460feccc5eab67e85cd6656	a8b98808211aef054d3b505fa178c4757b4683697084ed71a47d34ad08265e3e	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
include/SOURCE/advManager.h	fc8aede10196333113009e10721bb7aca6e9fa27b322f933b718b9ca12d3b147	ea3f1cab41096f090d223fb73766d583e53186b46e26479fc5b5a83688f725e9	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
include/SOURCE/army.h	1835685f63e1be6e7fda6b84f9f21523291070d9a09ddd0cd459072b67f70202	e78e0f6311a0ed4361ab8f9e29543a4cc59e4d79e4296d6194cd0c35d20b5302	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
include/SOURCE/armyGroup.h	b31953182adb7d15b142c85bcff5d06951542f612bcfe4d25f989da543fde1e6	86b969fae6c6422cc2fe49df3a05df03c541aacef7c51bfa51182b3dd2f09d09	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
include/SOURCE/combatManager.h	11172778e68a861a77db959957215f5df6c99f7ac613d6c938f0684326ce4304	23898d8c9f0f47ade757a296715d46d2bcea5be13b023c3362be22597d75c961	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
include/SOURCE/comwin.h	951abf270e85390fc2a14bd37cd690ebc2e4102dbdbd9349962aff251e650512	037b39e0e1fad2eee4a4da6e4d82d34bff31a014833ca6e7aefe3473e10ee3a4	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
include/SOURCE/dpnetwin.h	ed4e337cf85139cf1ea816c6668120be372acf6c045a536d1fed768ede2d87b1	4097b92c5a01b6ce959f79a1df823f0fbc1a361915cc51f14a3b360c66298722	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
include/SOURCE/game.h	fcaa4554262de8c324295e02c4f11a1b2f37453dafcc3710adda23bc68961924	1735a3ef96b5c60b10775caf4bf262f6cd962b9d678d9877d0e12d2fcf8630cd	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
include/SOURCE/hero.h	b18f61633fc21a8d1127f7d074458ea3521c06026c79aa5542922ccce878b986	0ecc3bc2397c7a33945484785387f085b50ab9ddb1e269e304c7b2a69fa8b4d0	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
include/SOURCE/hexcell.h	bfe0987d16b524132036ca432b704d1a953dec37894ca5bba638ec3a247cb4a5	4f5d81dca355f88aaa3d109b587197dfdae9da89cd367c3356782dac2d8a41e3	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
include/SOURCE/philAI.h	3dfe0766ad4abed31d7d16f1059a9aa40a285e92578ab86520c0072d9fbdab6c	275ecd98cd498b72472700caf1a9c19c83b7a1382b3f9d2c08266bb55fbd4cc8	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
include/SOURCE/playerData.h	95fbf9b9517844c3a72b20f0f6fd44ddee9a406e094737359abc43a4ff0c0449	2365a552d7fdb55ecdc849befb8a4fc93a333ceb8038b3ee70d320982ef04cae	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
include/SOURCE/town.h	152a21d536099dc905cd861822fec1a0c9b8bf097993b95a34d50853786f289b	c8fa677ce8dda4ffa10d6652c9b9b09afd8db56f2608bd38a89e5b3864f23990	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/BASE/BORDER.cpp	5c0b83d58e3b4649741f3ecbd1a9148761ce0acdd09d1138e6482fc40068b5f9	6077e83d9852584eea71a9b8e239a7b4f54445b9ec8d55ac9462a78a5c771f5b	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/BASE/BUTTON.cpp	84d1851364959cca552944e87741757cc23c0d18d23ad623f75a59dd56d6b275	908b615f6e03a6ebd2f6e476d4695545311539a46ce3bcdec61979bd0649b7dc	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/BASE/Bzip.cpp	755f9e00d4091c6e472dfc1366cf919a01086d671a0bdb76cae1bafa233fa6d9	f1965435a2dd283bacd13cfcf5f1c5b99b95e773588a537734028bc7d5d6def6	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/BASE/DIMMER.cpp	3c1d3913f68139f13037a4311226dc90930383e28c95c5cb9ee973cd73a4a74a	a16389fdb794a276a7a9adf096c423aef34993a7dcef88fa8cc6c4a69a1fbff2	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/BASE/ICONWDGT.cpp	9c93345e6c70be30c385fc318532ba878fd950666403dbcbc83892e1a8710d28	9984b2b9b508a89a0f72507bb5e0168db68616cbce108505d874ec8367485631	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/BASE/INPUTMGR.cpp	1567deef750c9ba1cfbd2939ec9bb65073836db6bea7e26722b171de17873c8f	0c5296adba911d434eb1bc00c9196f639e75433bc8865309820737093b8ea7d7	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/BASE/Icon2b.cpp	e790e3b76d481df35a558f81206e2d9162ea9f92b2e7e3f4c3ed22c65e35b0c9	2861d648efffc24dcbc5111778bec94588cd8802270660d01f82baee548d647a	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/BASE/Icond2b.cpp	ea9b1b6dca11acc842c7b3588d2dadd11ae309e2e11edbfd4eb26c990ac889be	4fa36db908d299bc157338519da98a4f14c16b7de339660174b4058067397ab0	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/BASE/Icondf2b.cpp	0aabe6cea92283c4848325cb3489d256d6020efe08cd6701f5955acfce188e4c	55c37328e085a218ae4c6700782cc72e97e96e7f26ff059cb129698fc109e1a2	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/BASE/Iconf2b.cpp	e4ee63ea92cd19e6af2258c074cb0a2a3665a4e85cc6c8eab8c90e015c3e7bc7	0d539a8876fa5c1c796dbb12d9eee4e2fcb4effe85248c7c512a93d821e45e38	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/BASE/Iconm2b.cpp	6d89a4722c83f4d7b82e132c26a470ac8e26838da2b393e0039791fe409739b1	5dba4f0771c4891280ebd1c926f6c1c41af2fdb232c8af6e5234e18d08a4301c	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/BASE/Iconmf2b.cpp	6b9f9b8de7153ddcf11baff992682fa8c2827da95becaf39820882649d6c9cca	ee92ca9df7f964bd2dae604dcf3e2723cc9694237fa3be2f2152c32cd4d2ee25	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
src/BASE/MOUSEMGR.cpp	3b03cba5b77e6affdc8190aec59e6c3920780a990ed0c80436ebebb963385168	b8eec73fed1aee9b16bbdd2d71d4f00bf6dc7a763bab1be0fa6174e4dfd9a3e0	implementation.md (changed callers, contracts and compiler controls; not a new whole-file read)
