path	line	end	name	status	body_sha256	review
include/BASE/BITS.h	2	2	HOMM2_BITS_H	read	afb9fab55cc5bf725d89a6e6570d9bc0e793caa4bc98a7fb1c2ffb6e1e450a27	B04: complete graphics owner declarations, layout/constants and call contract; no bodies
include/BASE/Blur.h	2	2	HOMM2_BLUR_H	read	b430b3a17dc75c409bac93e1bd4d6bdd2191e10c42d0455f2a40bf0bf5d6eaa4	B04: complete graphics owner declarations, layout/constants and call contract; no bodies
include/BASE/Bzip.h	2	2	HOMM2_BASE_BZIP_H	read	a1c4517d9edf57ac21c9816410bb696bf81a2ee9e3ae30a0b5e5b6d5bd867f37	B09: complete stream/model/word/API declarations and storage aliases; no bodies; R11
include/BASE/Bzip.h	16	16	MAX_SYMBOLS	read	ee59278788f28f0ee9b448b2b04086891dd50615d07235641bd3b313dadaee9c	B09: complete stream/model/word/API declarations and storage aliases; no bodies; R11
include/BASE/DebugCheck.h	2	2	HOMM2_DEBUGCHECK_H	read	4a87ec766f5edc3ffd4125426e3423cfc18b01ce00d0a6b7feaac6e92d3b7c74	B07: complete empty DebugCheck inline; no helper extraction needed
include/BASE/EXEC_TYPES.h	2	2	HOMM2_BASE_EXEC_TYPES_H	read	39b5e135d3b9e2eac80262410f36f1430c4db1f282b577f8307f320100957d7c	B03: complete manager contracts, flags, state and declarations; no bodies
include/BASE/INPUTMGR.h	2	2	HOMM2_INPUTMGR_H	read	a7cfc2edb71398c54ee18e410033eca895a844e078fb69e766ba29b06c6206ac	B07: complete input/cursor layouts, scan domain and declarations; no bodies
include/BASE/Icon2b.h	2	2	HOMM2_ICON2B_H	read	4e8b5732e53edcd820f9fed15cfadd245ce94f50367e8d9497db916d68f4df1a	B05: complete decoder/encoding/palette contract declarations; no bodies
include/BASE/IconDraw.h	2	2	HOMM2_BASE_ICONDRAW_H	read	7c2afcd3ddbac66f7a39192d1c53d267c8b0dfb319133fae62de3a79631b12f3	B04: complete graphics owner declarations, layout/constants and call contract; no bodies
include/BASE/IconEntry.h	2	2	HOMM2_BASE_ICONENTRY_H	read	5a805de2a1b53ac832226fc27519388ff116dd1309d4a8b652e3f900c64458fc	B04: complete graphics owner declarations, layout/constants and call contract; no bodies
