owner	old_aggregate_offset	retail_va	size
_s_hasTarget	0x0	0x00533da0	4
_s_hasAdjacentMonster	0x4	0x00533da4	4
_s_possibleDirections	0x8	0x00533da8	8
_s_neighborX	0x10	0x00533db0	4
_s_remainingMobility	0x14	0x00533db4	4
_s_targetWater	0x1c	0x00533dbc	4
_s_adjacentCost	0x20	0x00533dc0	4
_s_currentWater	0x24	0x00533dc4	4
_s_adjacentX	0x28	0x00533dc8	4
_s_currentNode	0x30	0x00533dd0	9
_s_mapY	0x3c	0x00533ddc	4
_s_directionBlocked	0x40	0x00533de0	4
_s_neighborY	0x44	0x00533de4	4
_s_targetCell	0x48	0x00533de8	4
_s_directionCosts	0x4c	0x00533dec	8
_s_currentCost	0x54	0x00533df4	4
_s_neighborCell	0x58	0x00533df8	4
_s_candidateY	0x5c	0x00533dfc	4
_s_mapX	0x60	0x00533e00	4
_s_triggerType	0x64	0x00533e04	4
_s_adjacentMonsterX	0x68	0x00533e08	4
_s_targetStepCost	0x6c	0x00533e0c	4
_s_direction	0x70	0x00533e10	4
_s_processedPointCount	0x74	0x00533e14	4
_s_neighborNode	0x78	0x00533e18	4
_s_bestTargetCost	0x7c	0x00533e1c	4
_s_adjacentY	0x80	0x00533e20	4
_s_terrain	0x84	0x00533e24	4
_s_currentHero	0x88	0x00533e28	4
