id	va	native_graph	general_retail_full	supplement	retail_summary
src/SOURCE/ADVMGR.cpp:advManager::DoAdvCommand(void)#1	0x004020d7	PASS	True		?DoAdvCommand@advManager@@QAEPAVmapCell@@XZ bytes True size 1437 1437 DIR32 sites True ordered target errors []
src/SOURCE/ADVMGR.cpp:advManager::ShowRoute(i32 redraw,i32,i32 updateButton)#1	0x00411f49	PASS	True		?ShowRoute@advManager@@QAEXHHH@Z bytes True size 1102 1102 DIR32 sites True ordered target errors []
src/SOURCE/AI.cpp:combatManager::WalkTowardArmyFront(class army * currentArmy,CombatSide side,i32 mask)#1	0x004181fe	PASS	True		?WalkTowardArmyFront@combatManager@@QAEHPAVarmy@@HH@Z bytes True size 519 519 DIR32 sites True ordered target errors []
src/SOURCE/AI.cpp:combatManager::WalkTowardArmy(class army * currentArmy,CombatSide side,i32 mask)#1	0x00418405	PASS	True		?WalkTowardArmy@combatManager@@QAEHPAVarmy@@HH@Z bytes True size 516 516 DIR32 sites True ordered target errors []
src/SOURCE/ARMY.cpp:army::WalkTo(i32 destination)#1	0x0041d245	PASS	True		?WalkTo@army@@QAEHH@Z bytes True size 682 682 DIR32 sites True ordered target errors []
src/SOURCE/ARMY.cpp:army::AttackTo(i32 destination)#1	0x0041d509	PASS	True		?AttackTo@army@@QAEHH@Z bytes True size 456 456 DIR32 sites True ordered target errors []
src/SOURCE/FINDPATH.cpp:searchArray::PushPoint(i32 x,i32 y,MapDirection direction,i32 cost,i32 mobility,i32 unknownFlag,i32 rvFlag1,i32 valueX,i32 valueY,i32 rvFlag2,i32 previousX,i32 previousY)#1	0x00449e3c	PASS	True		?PushPoint@searchArray@@QAEXHHHHHHHHHHHH@Z bytes True size 762 762 DIR32 sites True ordered target errors []
src/SOURCE/FINDPATH.cpp:searchArray::FindCombatPath(i32 sourceHex,i32 targetHex,class army * unit,ArmyPathTarget attackPath,i32 ignoreTargetMoat)#1	0x0044a906	PASS	True		?FindCombatPath@searchArray@@QAEHHHPAVarmy@@HH@Z bytes True size 1315 1315 DIR32 sites True ordered target errors []
src/SOURCE/FINDPATH.cpp:searchArray::PushCombatPoint(i32 hex,CombatHexDirection direction,i32 distance,i32 speed)#1	0x0044ae29	PASS	True		?PushCombatPoint@searchArray@@QAEXHHHH@Z bytes True size 406 406 DIR32 sites True ordered target errors []
src/SOURCE/PHILAI.cpp:philAI::DoDimensionDoor(hero * pHero)#1	0x0047fadd	PASS	True		?DoDimensionDoor@philAI@@QAEHPAVhero@@@Z bytes True size 327 327 DIR32 sites True ordered target errors []
src/SOURCE/PHILAI.cpp:philAI::DoAI(i32 player)#1	0x0047fd23	PASS	False	four fixed doubles PASS	?DoAI@philAI@@QAEXH@Z bytes True size 2879 2879 DIR32 sites True ordered target errors [('0x3b6', '__real@8@3ffbccccccccccccd000', '0x0', '0xea4c0', None), ('0x3bc', '__real@8@3fffd999999999999800', '0x0', '0xea680', None), ('0x3eb', '__real@8@3ffaf5c28f5c28f5c000', '0x0', '0xea4a0', None), ('0x3f1', '__real@8@3ffeccccccccccccd000', '0x0', '0xea610', None)]
src/SOURCE/SEARCH.cpp:searchArray::BuildPath(i32 startX,i32 startY,i32 destinationX,i32 destinationY,i32 maximumCost)#1	0x004916c0	PASS	True		?BuildPath@searchArray@@QAEHHHHHH@Z bytes True size 278 278 DIR32 sites True ordered target errors []
src/SOURCE/SEARCH.cpp:searchArray::SeedPosition(i32 seedX,i32 seedY,MapDirection seedDirection,i32 maximumCost,i32 waterMode,i32 findAdjacentMonster,i32 mobility,i32 pathfindingSkill,i32 targetX,i32 targetY,i32 continueSeed,i32 scanMap)#1	0x004917d6	PASS	True		?SeedPosition@searchArray@@QAEXHHHHHHHHHHHH@Z bytes True size 3266 3266 DIR32 sites True ordered target errors []
