id	va	changed_accesses	native_graph	retail_full	retail_summary
src/SOURCE/AI.cpp:combatManager::AICheckRetreat(void)#1	0x00415a60	1	PASS	False	?AICheckRetreat@combatManager@@QAEHXZ bytes True size 2091 2091 DIR32 sites True ordered target errors [('0x3a8', '__real@8@3fff9999999999999800', '0x0', '0xea4b0', None), ('0x43c', '__real@8@3fff8cccccccccccd000', '0x0', '0xea4a8', None), ('0x518', '__real@8@3fff8cccccccccccd000', '0x0', '0xea4a8', None), ('0x5b2', '__real@8@3ffaf5c28f5c28f5c000', '0x0', '0xea4a0', None), ('0x5d2', '__real@8@3ffaccccccccccccd000', '0x0', '0xea498', None), ('0x5ef', '__real@8@3ffaa3d70a3d70a3d800', '0x0', '0xea490', None), ('0x66b', '__real@8@3ffba3d70a3d70a3d800', '0x0', '0xea488', None), ('0x69b', '__real@8@3ffaf5c28f5c28f5c000', '0x0', '0xea4a0', None), ('0x6c8', '__real@8@3ffaa3d70a3d70a3d800', '0x0', '0xea490', None), ('0x6f5', '__real@8@3ff9a3d70a3d70a3d800', '0x0', '0xea480', None), ('0x727', '__real@8@3ff8f5c28f5c28f5c000', '0x0', '0xea478', None), ('0x771', '__real@8@3ff9f5c28f5c28f5c000', '0x0', '0xea470', None), ('0x7af', '__real@8@3ffaf5c28f5c28f5c000', '0x0', '0xea4a0', None), ('0x7c1', '__real@8@3ffca3d70a3d70a3d800', '0x0', '0xea468', None)]
src/SOURCE/AI.cpp:combatManager::DoCompAI(CombatSide)#1	0x0041628b	2	PASS	False	?DoCompAI@combatManager@@QAEXH@Z bytes True size 4000 4000 DIR32 sites True ordered target errors [('0x41f', '__real@8@3ffbccccccccccccd000', '0x0', '0xea4c0', None), ('0x425', '__real@8@3fff8000000000000000', '0x0', '0xea4b8', None)]
src/SOURCE/AI.cpp:combatManager::GetModLichDamage(class army * target,float damage)#1	0x0041722b	2	PASS	False	?GetModLichDamage@combatManager@@QAEMPAVarmy@@M@Z bytes True size 171 171 DIR32 sites True ordered target errors [('0x61', '__real@8@3fffa666666666666800', '0x0', '0xea4d0', None), ('0x7d', '__real@8@3fffa666666666666800', '0x0', '0xea4d0', None), ('0x9e', '__real@4@4005c800000000000000', '0x0', '0xea4c8', None)]
src/SOURCE/AI.cpp:combatManager::DoLichShot(class army * lich)#1	0x004172d6	1	PASS	True	?DoLichShot@combatManager@@QAEXPAVarmy@@@Z bytes True size 659 659 DIR32 sites True ordered target errors []
src/SOURCE/AI.cpp:combatManager::GetShooterMask(CombatSide side)#1	0x00417569	2	PASS	True	?GetShooterMask@combatManager@@QAEHH@Z bytes True size 265 265 DIR32 sites True ordered target errors []
src/SOURCE/AI.cpp:combatManager::GetMirrorImageMask(CombatSide side)#1	0x00417672	2	PASS	True	?GetMirrorImageMask@combatManager@@QAEHH@Z bytes True size 168 168 DIR32 sites True ordered target errors []
src/SOURCE/AI.cpp:combatManager::GetFlyerMask(CombatSide side)#1	0x0041771a	2	PASS	True	?GetFlyerMask@combatManager@@QAEHH@Z bytes True size 247 247 DIR32 sites True ordered target errors []
src/SOURCE/AI.cpp:combatManager::GetAllMask(CombatSide side)#1	0x00417811	1	PASS	True	?GetAllMask@combatManager@@QAEHH@Z bytes True size 161 161 DIR32 sites True ordered target errors []
src/SOURCE/AI.cpp:combatManager::GetWalkerMask(CombatSide side)#1	0x004178b2	3	PASS	True	?GetWalkerMask@combatManager@@QAEHH@Z bytes True size 285 285 DIR32 sites True ordered target errors []
src/SOURCE/AI.cpp:combatManager::GetOutOfItMask(CombatSide side)#1	0x004179cf	1	PASS	True	?GetOutOfItMask@combatManager@@QAEHH@Z bytes True size 197 197 DIR32 sites True ordered target errors []
src/SOURCE/AI.cpp:combatManager::GetTraitorMask(CombatSide side)#1	0x00417a94	1	PASS	True	?GetTraitorMask@combatManager@@QAEHH@Z bytes True size 182 182 DIR32 sites True ordered target errors []
src/SOURCE/AI.cpp:combatManager::GetStrength(CombatSide side,i32 mask)#1	0x00417e9c	1	PASS	True	?GetStrength@combatManager@@QAEKHH@Z bytes True size 166 166 DIR32 sites True ordered target errors []
src/SOURCE/AI.cpp:combatManager::AttemptAttack(class army * currentArmy,CombatSide side,i32 mask)#1	0x00417f42	1	PASS	True	?AttemptAttack@combatManager@@QAEHPAVarmy@@HH@Z bytes True size 376 376 DIR32 sites True ordered target errors []
src/SOURCE/AI.cpp:combatManager::WalkTowardArmyFront(class army * currentArmy,CombatSide side,i32 mask)#1	0x004181fe	1	PASS	True	?WalkTowardArmyFront@combatManager@@QAEHPAVarmy@@HH@Z bytes True size 519 519 DIR32 sites True ordered target errors []
src/SOURCE/AI.cpp:combatManager::WalkTowardArmy(class army * currentArmy,CombatSide side,i32 mask)#1	0x00418405	1	PASS	True	?WalkTowardArmy@combatManager@@QAEHPAVarmy@@HH@Z bytes True size 516 516 DIR32 sites True ordered target errors []
src/SOURCE/ARMY.cpp:army::Init(CreatureType monsterType,i32 quantity,CombatSide side,i32 index,i32 hex,i32 unknown)#1	0x004187f1	2	PASS	True	?Init@army@@QAEXHHHHHH@Z bytes True size 908 908 DIR32 sites True ordered target errors []
src/SOURCE/ARMY.cpp:army::LoadResources(void)#1	0x00418b7d	2	PASS	True	?LoadResources@army@@QAEXXZ bytes True size 1101 1101 DIR32 sites True ordered target errors []
src/SOURCE/ARMY.cpp:army::DrawToBuffer(i32 x,i32 y,i32 effectsOnly)#1	0x00419095	7	PASS	True	?DrawToBuffer@army@@QAEXHHH@Z bytes True size 1787 1787 DIR32 sites True ordered target errors []
src/SOURCE/ARMY.cpp:army::Walk(CombatHexDirection direction,i32 finishStanding,i32 skipDrawing)#1	0x004197b2	8	PASS	True	?Walk@army@@QAEXHHH@Z bytes True size 2599 2599 DIR32 sites True ordered target errors []
