id	path	va	casts	address	outside	reviewed_body_sha256	evidence	baseline_body_sha256
include/EDITOR/fullMap.h:fullMap::Cell(mapCell * & cell,i32 x,i32 y)#1	include/EDITOR/fullMap.h				pending			7e2015e93cadc463046169cb27bc35c8a16459ba729db75240c326e05ac36688
include/EDITOR/fullMap.h:fullMap::Column(i32 x)#1	include/EDITOR/fullMap.h				pending			60a45cd78b262cedf30f29b4d38ac76cedbc4c9d0af64133c8296dd445f39516
include/EDITOR/fullMap.h:fullMap::Extra(i32 i)#1	include/EDITOR/fullMap.h				pending			05e5053b5e91af49d9e24d84bf41a149e1342ec0137c3968046ddf143ac11952
include/EDITOR/fullMap.h:fullMap::GetCell(i32 x,i32 y)#1	include/EDITOR/fullMap.h				pending			06a03f26252f1f0ae5d446d3635db7e3cb7a67d08fc945783188c7d7d8369c4e
include/EDITOR/fullMap.h:fullMap::Row(i32 y)#1	include/EDITOR/fullMap.h				pending			3231871e1127acd5a3963569a4942f796eb63a67cc56ef41eb7bf2264442b188
src/BASE/BITS.asm:BitClear#1	src/BASE/BITS.asm				pending			44e9f68553676bafa582a486ec350b5cac668886b849f42010285566cd363688
src/BASE/BITS.asm:BitSet#1	src/BASE/BITS.asm				pending			26178166c24abf96439e5b21c58f33bff94d5f22a90e139598df559f58178b5e
src/BASE/BITS.asm:BitTest#1	src/BASE/BITS.asm				pending			0167e29540f04f0f50638c57ed56fe5a06ce9880456ce780facce8300fd612bf
src/BASE/Bzip.cpp:DecodeData(char * dst,char * src,u32l srcLen)#1	src/BASE/Bzip.cpp	0x004cabe0	pending					0d72f61d81c07b34986085e780b8640ba2eb5e378b45783e582fe1e2035dbaf7
src/BASE/Bzip.cpp:EncodeData(char * dst,char * src,u32l srcLen)#1	src/BASE/Bzip.cpp	0x004ca980	pending					6365c38cc0b0b493a67bee1ca5cb364d3b1c57982937a9e4dc37ab3d68f02ea7
src/BASE/Bzip.cpp:SETFIRST16(Int32 a,UInt32 w)#1	src/BASE/Bzip.cpp	0x004c81f0	pending					da21667b6b8ac2ed8f29b66d1911dd7d0b628f46c893168ad32fe436f206343b
src/BASE/Bzip.cpp:SETFOURTH(Int32 a,UChar c)#1	src/BASE/Bzip.cpp	0x004c8330	pending					8e7b84af8325a461cae5f317cd7844ae6fb015032132c4458c67119d708c107d
src/BASE/Bzip.cpp:SETREST(Int32 a,UInt32 w)#1	src/BASE/Bzip.cpp	0x004c8230	pending					2295183775f4069ba2816358f1c848a05f264cc1197385554c7517d4d2baf77b
src/BASE/Bzip.cpp:SETREST16(Int32 a,UInt32 w)#1	src/BASE/Bzip.cpp	0x004c81b0	pending					7c3f2c4cb8e2c323546ed71ec5993c41c4c7ad9b2e7004e82d1f50b7d58e6ffe
src/BASE/Bzip.cpp:allocateCompressStructures(void)#1	src/BASE/Bzip.cpp	0x004c7f80	pending					7524d73e8a6184dee5c8ecf8bcaf9fa594a7fb3cb024c90f6fb0c19abb09f224
src/BASE/Bzip.cpp:arithCodeSymbol(BitStream * bs,Model * m,Int32 symbol)#1	src/BASE/Bzip.cpp	0x004c7450	pending					2489d2678fab0ae8209b7f9eb8f1f7f74640287a47825c3a9f36e90c3f176cfc
src/BASE/Bzip.cpp:bsClose(BitStream * bs)#1	src/BASE/Bzip.cpp	0x004c7170	pending					7d1c129cc17ac541c4e0ae1054011a84c2425f5a716cafa959cad8dc6d38ba41
src/BASE/Bzip.cpp:bsOpenReadStream(FILE * f)#1	src/BASE/Bzip.cpp	0x004c6ef0	pending					373f8ea02f6ccfd911fce9d9c9cd20a6468d6af58bae44836684997f2c983d11
src/BASE/Bzip.cpp:bsOpenWriteStream(FILE * f)#1	src/BASE/Bzip.cpp	0x004c6f50	pending					6b6f33712f3b26be5e759d7e7647b34cd1fa4ccb06ccdcc634f2c93418c365a8
src/BASE/Bzip.cpp:doReversibleTransformation(void)#1	src/BASE/Bzip.cpp	0x004c9750	pending					d66482e7add670796887e7f54cacfe7a8deea6900694579166cd5b0aa9d163a7
src/BASE/Bzip.cpp:getAndMoveToFrontDecode(BitStream * inStream)#1	src/BASE/Bzip.cpp	0x004c86c0	pending					1c50d2773fba55d718f886566f86e5b885734f936bbf101639303bbc5a40b577
src/BASE/Bzip.cpp:getInt32(BitStream * bs)#1	src/BASE/Bzip.cpp	0x004c7970	pending					ae4e3c138d2ffb5409091494ecbee3fe8d8c4ea4e1517d466bce1994389f5fca
src/BASE/Bzip.cpp:getUInt32(BitStream * bs)#1	src/BASE/Bzip.cpp	0x004c79f0	pending					41673bd13c610268387d40cd81b7385931aea6d0749b04032dbce872390c52a7
src/BASE/Bzip.cpp:initBogusModel(void)#1	src/BASE/Bzip.cpp	0x004c7840	pending					f512c2fe09f47176970d3e1da1b75509e589d4b23ed929e495dcf0c3339a62fa
src/BASE/Bzip.cpp:initModels(void)#1	src/BASE/Bzip.cpp	0x004c7a70	pending					332255a90f3905da0703090b6d3df9800799d32737c71a5eeba675139eb6e7d5
src/BASE/Bzip.cpp:putUChar(BitStream * bs,UChar c)#1	src/BASE/Bzip.cpp	0x004c7860	pending					03d44666d2429d78da07e2713bfe311c2cfea3b323f5a3cc9491eece44a26fba
src/BASE/Bzip.cpp:sendMTFVal(BitStream * bs,Int32 n)#1	src/BASE/Bzip.cpp	0x004c7cd0	pending					d983b7b1e81863ba87796ab8fcac84622ac19f9d8a045342626bbef739ac770b
src/BASE/Bzip.cpp:setDecompressStructureSizes(Int32 newSize100k)#1	src/BASE/Bzip.cpp	0x004c80c0	pending					d00437e46b01d1cb9c76481932752a94dd6a16e506f3d563f4bffc650f9fa0dd
src/BASE/Bzip.cpp:sortIt(void)#1	src/BASE/Bzip.cpp	0x004c9320	pending					f6f5dd72e235cae34f8dc63ba45644e820aa44397116f9c06fd7d0a2c1d41805
src/BASE/Bzip.cpp:spotBlock(Bool weAreCompressing)#1	src/BASE/Bzip.cpp	0x004c99a0	pending					2d53073183b4a4a1e8ecef64e99a144d4a89b2c52c99e423c2fabb381e01f903
src/BASE/Bzip.cpp:uncompressStream(FILE * zStream,FILE * stream)#1	src/BASE/Bzip.cpp	0x004ca250	pending					2c6a2a2266232fd6e053589537a0cfcc130e02b546bd9154ff0020f861dc22a8
src/BASE/FONT.cpp:font::ExtractLine(char * text,char * line,i32 * position,i32 maxWidth,i32 * lineWidth,u8 lastLine)#1	src/BASE/FONT.cpp	0x004c3b20			pending			5688213c071fa8d05c57a14b426587a1be50ade187d1ca43e50377420252502b
