id	path	line	end	name	signature	kind	va	body_sha256	status	casts	unions	gotos	address	owner	outside	varargs	reuse	stack	bounds	note
include/BASE/DebugCheck.h:DebugCheck(void)#1	include/BASE/DebugCheck.h	4	5	DebugCheck	(void)	cpp		cd5b841d7b9af8efc92237431a8e8d396681b7a9ef5e6cca1693aa9e71d1674a	reviewed	absent	absent	absent	absent	absent	absent	absent	absent	absent	absent	Empty inline hook; no instances of the ten debt patterns.
include/BASE/IconRle.h:ReadIconRleByte(u8 * & cursor)#1	include/BASE/IconRle.h	22	25	ReadIconRleByte	(u8 * & cursor)	cpp		eb109e9ac50234ee9739bd4606cc1fafd32a3203d280e9f678c497822a4f2d47	reviewed	absent	absent	absent	absent	absent	retain	absent	absent	absent	open	Increment then cursor[-1] reads the previous valid byte; no before-object pointer when caller starts at a valid stream byte. B28 stream-end contract must be established in decoder callers, not by guessing padding.
include/BASE/Misc.h:LogInt(char * text,Enum value,i32 b=LOG_UNUSED_VALUE,i32 c=LOG_UNUSED_VALUE,i32 d=LOG_UNUSED_VALUE,i32 e=LOG_UNUSED_VALUE,i32 f=LOG_UNUSED_VALUE,i32 g=LOG_UNUSED_VALUE)#1	include/BASE/Misc.h	136	147	LogInt	(char * text,Enum value,i32 b=LOG_UNUSED_VALUE,i32 c=LOG_UNUSED_VALUE,i32 d=LOG_UNUSED_VALUE,i32 e=LOG_UNUSED_VALUE,i32 f=LOG_UNUSED_VALUE,i32 g=LOG_UNUSED_VALUE)	cpp		d8b96e0f71cf3be1fee998782204e27ef132468394d4c89f266c5c1b332c25a9	pending	pending	pending	pending	pending	pending	pending	pending	pending	pending	pending	STALE: Strict-enum overload explicitly converts enum to the logger's numeric i32 ABI; all seven arguments remain explicit, with no manual varargs or scratch storage. PR59 base merge: signature spelling/default arguments changed; this is the preserved pre-merge review, not a new-body certification. See pr59-base-merge.md.
include/BASE/baseManager.h:baseManager::Activate(bool on=true)#1	include/BASE/baseManager.h	44	46	baseManager::Activate	(bool on=true)	cpp		54bdbf00f5e16cdd300aaebe6d24f7c45d3d4184e706ac944bd7e25d5789a157	reviewed	absent	absent	absent	absent	absent	absent	absent	absent	absent	absent	Activate stores a bool into the real 32-bit active field; no pointer, alternate view, control-flow or scratch-storage debt.
include/BASE/soundBackends.h:AudiereSampleNode::AudiereSampleNode(class sample * resource,AudiereSampleNode * nextNode)#1	include/BASE/soundBackends.h	27	31	AudiereSampleNode::AudiereSampleNode	(class sample * resource,AudiereSampleNode * nextNode)	cpp		364cf46249cb9b83de959f823046b3225dec872c7cfd50f0b7cf207e8bd41b94	reviewed	absent	absent	absent	absent	absent	absent	absent	absent	absent	absent	Real linked sample node initializes refcounted stream, resource pointer and next; no alternate storage.
include/BASE/soundManager.h:IsAudiereBackend(const soundManager * manager)#1	include/BASE/soundManager.h	101	103	IsAudiereBackend	(const soundManager * manager)	cpp		3a2ef89ca37930f41f19ea793fd72fac62ff5a4c8ed5848233c6ca32e902444b	reviewed	absent	absent	absent	absent	absent	absent	absent	absent	absent	absent	Checks backend tag and real Audiere device owner.
include/BASE/soundManager.h:IsMilesBackend(const soundManager * manager)#1	include/BASE/soundManager.h	105	107	IsMilesBackend	(const soundManager * manager)	cpp		0a8abe8bd4266ff7e4963aec8bbd467eb8ad873f0691bb2b1327ab7d9002a3bc	reviewed	absent	absent	absent	absent	absent	absent	absent	absent	absent	absent	Checks backend tag and real Miles driver owner.
include/BASE/soundManager.h:IsSoundBackendActive(const soundManager * manager)#1	include/BASE/soundManager.h	109	111	IsSoundBackendActive	(const soundManager * manager)	cpp		945aec15535142199dfa199678ce06b38ceda6f5ffcfaed1fa58dc41609e4794	reviewed	absent	absent	absent	absent	absent	absent	absent	absent	absent	absent	Combines typed backend predicates; no casts or payload union.
include/BASE/soundManager.h:soundManager::SaveBackend(void)#1	include/BASE/soundManager.h	116	118	soundManager::SaveBackend	(void)	cpp		6e06f0287dd1f62f09c3581e06592634993e6f4284fb690035136249f6532093	reviewed	absent	absent	absent	absent	absent	absent	absent	absent	absent	absent	Saves real backend enum for restoration.
include/BASE/soundManager.h:soundManager::RestoreBackend(void)#1	include/BASE/soundManager.h	120	129	soundManager::RestoreBackend	(void)	cpp		315cc94892aee336d7e7a8d572a6a552244bb208f2b6a69b6749bc0fa34c3aca	reviewed	absent	absent	absent	absent	absent	absent	absent	absent	absent	absent	Restores saved backend with explicit shutdown/startup branches; no unrelated variable reuse.
