path	line	end	name	body_sha256
include/BASE/BITS.h	2	2	HOMM2_BITS_H	afb9fab55cc5bf725d89a6e6570d9bc0e793caa4bc98a7fb1c2ffb6e1e450a27
include/BASE/Blur.h	2	2	HOMM2_BLUR_H	b430b3a17dc75c409bac93e1bd4d6bdd2191e10c42d0455f2a40bf0bf5d6eaa4
include/BASE/Bzip.h	2	2	HOMM2_BASE_BZIP_H	a1c4517d9edf57ac21c9816410bb696bf81a2ee9e3ae30a0b5e5b6d5bd867f37
include/BASE/Bzip.h	16	16	MAX_SYMBOLS	ee59278788f28f0ee9b448b2b04086891dd50615d07235641bd3b313dadaee9c
include/BASE/DebugCheck.h	2	2	HOMM2_DEBUGCHECK_H	4a87ec766f5edc3ffd4125426e3423cfc18b01ce00d0a6b7feaac6e92d3b7c74
include/BASE/EXEC_TYPES.h	2	2	HOMM2_BASE_EXEC_TYPES_H	39b5e135d3b9e2eac80262410f36f1430c4db1f282b577f8307f320100957d7c
include/BASE/INPUTMGR.h	2	2	HOMM2_INPUTMGR_H	a7cfc2edb71398c54ee18e410033eca895a844e078fb69e766ba29b06c6206ac
include/BASE/Icon2b.h	2	2	HOMM2_ICON2B_H	4e8b5732e53edcd820f9fed15cfadd245ce94f50367e8d9497db916d68f4df1a
include/BASE/IconDraw.h	2	2	HOMM2_BASE_ICONDRAW_H	7c2afcd3ddbac66f7a39192d1c53d267c8b0dfb319133fae62de3a79631b12f3
include/BASE/IconEntry.h	2	2	HOMM2_BASE_ICONENTRY_H	5a805de2a1b53ac832226fc27519388ff116dd1309d4a8b652e3f900c64458fc
include/BASE/IconMonoRle.h	2	2	HOMM2_BASE_ICONMONORLE_H	1860b80b54e966447a844ce6a4a4b8c2154e031aef4a7e18de6abea07d6b86f4
include/BASE/IconRle.h	2	2	HOMM2_BASE_ICONRLE_H	6ca3501322382d5aba11b82c8450bf212b62079cc626fe5f355c8e2849719423
include/BASE/IconShear.h	2	2	HOMM2_BASE_ICONSHEAR_H	baa4e8d49c3702e4ad58be41e81cbd176366c08aa2e0c9deb54c18603cb9c78b
include/BASE/Icond2b.h	2	2	HOMM2_ICOND2B_H	39ac656a2bfdb9d427fb89aaa2075b8e00ded92e411ac342dd20b4e1e8d0a192
include/BASE/Icondf2b.h	2	2	HOMM2_ICONDF2B_H	11eb4559b65049be273de0e7aee7cc0fca0d35fe0e7e4fd8aa7c19c2785aefb0
include/BASE/Iconf2b.h	2	2	HOMM2_ICONF2B_H	1d3e1f1c1b3228959d99a5ba98288e646d183ed9dc500787287f05b3d38f8aa5
include/BASE/Iconm2b.h	2	2	HOMM2_ICONM2B_H	63c172b8a37f8ccfff8374ea30a3dafa116f16774563564cf9d224a8223de48c
include/BASE/Iconmf2b.h	2	2	HOMM2_ICONMF2B_H	0b4b923aa6ea96e553208e1e8c2f86c69c0b1a8e45bc4819aabc4cfa24db763e
include/BASE/MIDIWrap.h	2	2	HOMM2_BASE_MIDIWRAP_H	7292feb10412ba9399bab685efece0096e474dba55d9b64deb2e907a93c55e6b
include/BASE/Midi.h	2	2	HOMM2_BASE_MIDI_H	baf55c7015ad76e5573af0924d3db597e81a6bd2ce17f1a1ffa2ac98415f2835
include/BASE/Misc.h	2	2	HOMM2_MISC_H	482518d4ab0a10c69eb4959e8e1684d910373ad4bfe401a1fee5092317b5e913
include/BASE/Misc.h	51	51	HOMM2_BASE_ICONENTRY_NO_SIZE	65650d10e7333d43a78c5090935b6b2668df70794cca8f15bbc53dc26575c303
include/BASE/Misc.h	82	82	H2_ALLOC	4eebded6306a9d59611b5a623c64c7c4174214beb9cf975e0fec2f27af476429
include/BASE/Misc.h	83	83	H2_FREE	8153c6b7ad591c33ba99675aae231e166b320ac4aa4b34b265961a0740f1cd00
include/BASE/Misc.h	84	85	H2_ASSERT	e366186a24f5f161f6f8cba4195b5adec4c778a3fd528575ccdb35491079cfde
include/BASE/MiscEnums.h	2	2	HOMM2_MISC_ENUMS_H	7e1db33c33726ac3f207393ebcd1c3e3d6fb4377f2e8e334c74bef8441d60bdf
include/BASE/MiscGraphicsConstants.h	2	2	HOMM2_BASE_MISC_GRAPHICS_CONSTANTS_H	0e388cd58ace005f5cb76bb45f60378269392c476a925a119258416c5b2aa087
include/BASE/MusicFlags.h	2	2	HOMM2_BASE_MUSICFLAGS_H	f5447db12870e1030695dd0706fe83b2d8e8310142d864537dce906f9ded5da4
include/BASE/Ripple.h	2	2	HOMM2_RIPPLE_H	78d43eb9107e1f6adcf67e2b4dbcb7389eeec782ce8a5cc90fb38e48c517a9e5
include/BASE/TILE.h	2	2	HOMM2_TILE_H	d895e09064aea8f85cee4507bd7f1dd8997476f534a620e09591a8576d1038cc
include/BASE/WINMGR.h	2	2	HOMM2_WINMGR_H	6a3aece4e93c8b12803b38c6ab4b1f11f8ed9efb6e94a974febfbbc127721f9f
include/BASE/baseManager.h	2	2	HOMM2_BASE_BASEMANAGER_H	1c40d4a820b44ced6ad672a65c2d21efb0441d028fcf900f9229b8f6ef164e42
include/BASE/bitmap.h	2	2	HOMM2_BASE_BITMAP_H	8e55da07d8b76739c533f7b890af005bb3c5c85daabf4f1821bbd714bb5dbfcc
include/BASE/bmap2.h	2	2	HOMM2_BMAP2_H	c01b0e05a2450d10e9061fcca3a381cde77b87cff995765887d552fa33b08b27
include/BASE/border.h	2	2	HOMM2_BASE_BORDER_H	63851865aadcaaf65f376faa426e6cb5a507a65fe0012a5f637d8231b42be235
include/BASE/button.h	2	2	HOMM2_BASE_BUTTON_H	6f6150727e71eb611cb4040b7f7f1c4d850315a1370ad59f7ec066070487c9dd
include/BASE/dimmerWidget.h	2	2	HOMM2_BASE_DIMMERWIDGET_H	56a1c3b11be0511ab2359b85394bf9d65528125e6c92a6bb4fba457fcb04c7da
include/BASE/dropListWidget.h	2	2	HOMM2_BASE_DROPLISTWIDGET_H	5fbd356fad8b6fc0a858b88cc5803f7e65789d3c27fe185cd4e96aacfa9fbcb6
include/BASE/executive.h	2	2	HOMM2_BASE_EXECUTIVE_H	47274605e8ffa4cf36d8ec6a7766c534480fbf0bcdb820900995bc13e9081168
include/BASE/font.h	2	2	HOMM2_BASE_FONT_H	8a84986b82789298a4bb1ec5cd5430768c18067907fad0539293141fc1424801
include/BASE/heroWindow.h	2	2	HOMM2_BASE_HEROWINDOW_H	5c65e1e3bef2397646455ee6e2f4958312ddd5d7328617fd865f01e0fca88a1f
include/BASE/heroWindowManager.h	2	2	HOMM2_BASE_HEROWINDOWMANAGER_H	d02e8e3ac08212a3791f0dc5f5e525526daa02aae927e65ae2c4e9dd92c29b14
include/BASE/icon.h	2	2	HOMM2_BASE_ICON_H	bf135f534ce1ab949662a870844f888455a2eba00d45b6a4e02e20057114a5fd
include/BASE/icon2bc.h	2	2	HOMM2_ICON2BC_H	c5ca6914a07966ce8497aa9aee0ba95075c43306d8f62f8c763f529701bc7500
include/BASE/icon2bs.h	2	2	HOMM2_ICON2BS_H	e1a94043b14927d6686a8e5c0aa8b7a65482eb41308972ab0876c4e2d7c658f2
include/BASE/icon2by.h	2	2	HOMM2_ICON2BY_H	ebb1bef98a1c6a50aae69efc195ccf9d291f9720da71086f80564c57ae1d2903
include/BASE/iconWidget.h	2	2	HOMM2_BASE_ICONWIDGET_H	eed3b1656650dbb7bbb7bc86cfc109da44f61b3d871e7c4be1ca5c1c13db0964
include/BASE/iconf2bc.h	2	2	HOMM2_ICONF2BC_H	89239c5a8233b7c807d45032cf353bd045eb8a1f9a1cfea77d0d71976e6534f0
include/BASE/iconf2by.h	2	2	HOMM2_ICONF2BY_H	269c46cb6fe4463eda01c65b0c72589d82e08661787bb1c4bf090192717fc74b
include/BASE/inputManager.h	2	2	HOMM2_BASE_INPUTMANAGER_H	e32f0d1dfccdf7bfe6627b8828cf364d41debf558eeaba963e5c82b44e3063de
include/BASE/listBoxWidget.h	2	2	HOMM2_BASE_LISTBOXWIDGET_H	b86aae0b39461534461f2c9343c31990a0f5aba27c2a56aa3e443b5f971296ce
include/BASE/message.h	2	2	HOMM2_BASE_MESSAGE_H	4301aad8f47d9d9969410759cfa841e94e2bda23eba2f84cf1be77206dd52969
include/BASE/miscwin.h	2	2	HOMM2_MISCWIN_H	43018e8b3a21588db3e2608677823bbdd9eec62e1f88defc3f84bc9b47c120f3
include/BASE/mouseManager.h	2	2	HOMM2_BASE_MOUSEMANAGER_H	5dfd189955c70d5c487afed334630de899c2cc41d1f08901cac6885337d36062
include/BASE/palette.h	2	2	HOMM2_BASE_PALETTE_H	2aa81f5979af92c9d0bedfc7d73b1ede99342b85951b070085c31ef04fa5a54b
include/BASE/resource.h	2	2	HOMM2_BASE_RESOURCE_H	8e440a2f26fe85a8f2969cfbceba7c7415f4463fccbd2a7d7bcf6d0a56f85be9
include/BASE/resourceManager.h	2	2	HOMM2_BASE_RESOURCEMANAGER_H	e78b83d64f20474324fcebc42185bfde9871b89ec010c2b9462c3b9b1d8eb0f9
include/BASE/sample.h	2	2	HOMM2_BASE_SAMPLE_H	454b82c68db458be6783ab1082e2d72b2c5a5be1214a644c8db2e1c8150d04ed
include/BASE/sampleData.h	2	2	HOMM2_BASE_SAMPLEDATA_H	93fdd84d70c4c57ca5e0f6596f96bc04e9e3aa4b24706690be800b5da20a364d
include/BASE/soundBackends.h	2	2	HOMM2_BASE_SOUNDBACKENDS_H	96715784d419fcf1479a452791d926fcb97b709545570413ec688f5f5213cb6a
include/BASE/soundManager.h	2	2	HOMM2_BASE_SOUNDMANAGER_H	84e1abf512cf6f932f7fba85e00fa42540489014d5afb0f7aefd26a0efd1f9b5
include/BASE/textEntryWidget.h	2	2	HOMM2_BASE_TEXTENTRYWIDGET_H	6bef1c47e2c930c1527a65a44783c4fb25146ae49285905006237684db824fff
include/BASE/textWidget.h	2	2	HOMM2_BASE_TEXTWIDGET_H	0f6880e5473fd6443558e268f62fef3061f66578d3f327f13d4e9e1c61519d05
include/BASE/tileset.h	2	2	HOMM2_BASE_TILESET_H	16984211cdba4d5f870f0b01c595754a2d9f4dbca2e1089a2d5ff685eb222d51
include/BASE/widget.h	2	2	HOMM2_BASE_WIDGET_H	af1de48736575a95c7bc1e62d828931dc8dbdc59462c35bea7bb373249a063e2
include/BASE/widgetKind.h	2	2	HOMM2_BASE_WIDGET_KIND_H	dba4c4f57187ea160116561d44b1fc93a03bac069b7f5359b2251059eda83cb4
include/EDITOR/fullMap.h	2	2	HOMM2_EDITOR_FULLMAP_H	498588c1cf0b2087926d7d1fa7e3d8837f9c2fcbf8aa3c31233ab9dbdb2075b3
include/EDITOR/mapcell.h	2	2	HOMM2_EDITOR_MAPCELL_H	30645a29c30c492f858bb553cf8239320770baa3afeec2edfac48b689a828ff7
include/Ints.h	2	2	HOMM2_INTS_H	289844971d4a830da01d796de396f043e16d69d4ec951db4d68ed5472c67e22a
include/Ints.h	7	7	H2_STRICT_ENUMS	aa3585a4b4c7f4d67b0038dcd4d1e146ffa476b14dec4033ea3b21770152b04e
include/Ints.h	8	8	H2_FINAL	bccebc0025ac1c1e12cbfe56690a50aaf3e760a317bd4cfa3be9b04f40801561
include/Ints.h	9	9	H2_CONST	de783843fb870e338a298cb169f1ba95cb03e43a947a0b3f4041e61cfaef88b5
include/Ints.h	10	10	H2_UNUSED	8b907ee23a52be31ffcfb5a144e180d427eeea3ec4a896684676ac4224affb00
include/Ints.h	11	11	H2_RETAIL_INLINE	88ebf762af763ceea7fab858a16bd69ca286b8ccec85679d7dcbc27ff1f62520
include/Ints.h	12	12	H2_ZERO_INIT	5692088604af361f82cca00f3c477dde5652c70a8805f198324902db4ddfb9f2
include/Ints.h	14	14	H2_STRICT_ENUMS	5362c7776edf6e48f6aad8f4b8ec1dc9044567d6cdf8bb46732b41016c2da7f2
include/Ints.h	15	15	H2_FINAL	6f46c5be007711cd097aca75f2123b0009821d2687d43ac560a890319175e59f
include/Ints.h	16	16	H2_CONST	0d6b806c93eba102b79e5c425e841f264ab48c4cae6f37b472baf0754599c1aa
include/Ints.h	17	17	H2_UNUSED	acda9366b426827e1d839f640a632e2f507d139f5b84cca74cd8f18275c06370
include/Ints.h	18	18	H2_RETAIL_INLINE	6f71cf696589e7a8fa5fdeb116eb3849ec375fb1f12f078bcfb47d749954dd08
include/Ints.h	19	19	H2_ZERO_INIT	dff4b0dae585affaf5e74fd2fe3dd742daa0afd7afaec41caa379a42b606a539
include/Ints.h	34	34	NULL	e9c4c7ecf2529875eba5693306dc97e7abe3461a11c5308807dcfa02d100064d
include/Ints.h	49	49	H2_ENUM_BEGIN	d0ce65a2023ef81e59065f61bff126ac35a955dac75bde1375b1e800606c842d
include/Ints.h	50	52	H2_ENUM_END	1d5ed9e269bd0a4149bf772e6da1ac8e6d8803b0826225e10ce2f830f3014032
include/Ints.h	53	53	H2_ENUM_CLASS_BEGIN	fa508e970d8000c8ba03a300a5f73728d21d176da0aa7c9d0b7b0ec81085abd6
include/Ints.h	54	54	H2_ENUM_CLASS_FORWARD	250fafc1ce38126812b3801ec343743b9255b28cf8d89cf07d74854a1bc7a832
include/Ints.h	55	55	H2_ENUM_CLASS_FORWARD_SPLIT	81240b5a6feb963b4cfef5d0c95d7ea00749b8eef6e850cde718abf4d338d2c2
include/Ints.h	56	59	H2_ENUM_CLASS_END	1b37606437a6d1ca5d7791f4823ae29197c1d8dc6a8cc4c2d8491c8f66dca08b
include/Ints.h	60	60	H2_ENUM_CLASS_BEGIN_T	a2be0bfa98e77fe80d9826267f746a1a8ca659437a0edbfabfe66c54b80b5588
include/Ints.h	61	64	H2_ENUM_CLASS_END_T	07d8adca6cc3d45e5cc6244948f4ff8ea41fdb57477a3cfc2e5f085d62a77b2a
include/Ints.h	66	66	H2_ENUM_CLASS_BEGIN_SPLIT	ea6e9745d67f9b27b37b8b7c737a489da616f4b6524207159a419091aeec38e9
include/Ints.h	67	70	H2_ENUM_CLASS_END_SPLIT	9d7783a8d990bc1b560266844e92f898710966e1c2a3f1c94369a440b04c5af5
include/Ints.h	332	332	H2_ENUM_STORAGE	63d13f1e4be1c9d2336bd64e762211811dd82e984ad30667c86e68cf76894de6
include/Ints.h	333	333	H2_ENUM_STORAGE_STEPPED	e7bcc5a54da483bc8a6ddc3e11436012982958f034188a894c0f31ce6dc9a2ec
include/Ints.h	334	334	H2_OPEN_CODE_STORAGE	5f5a61cc00cc257a63efce9c373764e0c5d8cf4848c50603f4f000a1010759a3
include/Ints.h	335	335	H2_ENUM_BITFIELD	11930db9a5b535b896c12a75a5782cbf694c9d3d1e11d62203e2a7244f55694b
include/Ints.h	336	336	H2_ENUM_PARAM	1bd61f8940fc74d696242c0edfe1c6b543e8361969505898fa95804afcb7c138
include/Ints.h	337	337	H2_ENUM_RETURN	0161123e90888f1d336de5a4de701cadde14ca6d072e432935990d544f04d5b1
include/Ints.h	338	338	H2_OPEN_CODE_PARAM	46f0cf579c3fad2e04cb3419d58e37dd3a0de77071f31c464d06001077b625f6
include/Ints.h	339	369	H2_ENUM_FLAGS	820e6bf449e2e1a37f0b2321bb08a18ff86e50daa25250bf24cde7633e6150d0
include/Ints.h	371	371	H2_ENUM_BEGIN	2eb68347424e403a27220db52bd3e6edf0e425ecad64c705f2a7118820990f08
include/Ints.h	372	375	H2_ENUM_END	648e9a302b12e078fe4ff4a2a92bf3123b1d8eeb0ed6a7d0114637685b393411
include/Ints.h	376	376	H2_ENUM_CLASS_BEGIN	06f2dba529dce577888435af4a7e0170d1feac36995a652a4fb1dd91ccdef0d8
include/Ints.h	377	377	H2_ENUM_CLASS_FORWARD	b37d68c7d833207247a1d0e4381be2c2336855678644392e3a31c54383099301
include/Ints.h	378	378	H2_ENUM_CLASS_FORWARD_SPLIT	ba5adf9e3eb748772c733d00a80bc2dc7957fdfdf3726b64822315aae8a2be8d
include/Ints.h	379	382	H2_ENUM_CLASS_END	f0612bc54fceb469250fbcb61ae33eb67aa7ac057ee4d03cfbd5414ca925804c
include/Ints.h	383	383	H2_ENUM_CLASS_BEGIN_T	35f904caab8bf8c5b2a9d86492523dd366c18ffcfccd3cb9631533b60c207d49
include/Ints.h	384	387	H2_ENUM_CLASS_END_T	354040b2259a95cc9536da3dfeb01d82c65aebef4dbebd65284537ad92dc9453
include/Ints.h	389	389	H2_ENUM_CLASS_BEGIN_SPLIT	f3c0a3549376439c2dc4f506e4cede175d91be8cbdecd024721f2e3624dc2124
include/Ints.h	390	393	H2_ENUM_CLASS_END_SPLIT	c8b2d32ff0e909c0188bae3146452662626d896b9a87de828f07448245885846
include/Ints.h	394	394	H2_ENUM_STORAGE	7280720d5e6b4c779169f9e035bb0606045186ab3ce6534b41ff6973c6b5ab0f
include/Ints.h	395	395	H2_ENUM_STORAGE_STEPPED	48c1931021f52a61f97dca2996740f1a8f2b87d3e736921bd23bf9272bdd8144
include/Ints.h	396	396	H2_OPEN_CODE_STORAGE	c1bf2d953839a41ff198e0a53ac48168af7bd67279788544a0569ba63f409ad5
include/Ints.h	397	397	H2_ENUM_BITFIELD	0ba92a07c9dd7bd773f7fc050bd1075ae1c020bb6dd8288956c39bb3b99e9fa0
include/Ints.h	398	398	H2_ENUM_PARAM	0a4476ac2d98339c95aa6a3ef49351141e6fb50b1131e07b982856b613cf2215
include/Ints.h	399	399	H2_ENUM_RETURN	239a8cc662ca234e150a7fad9b4b2124ed7aca95722c113acd3661d269e5b03e
include/Ints.h	400	400	H2_OPEN_CODE_PARAM	f09d7d8e6c0b8f8d35765793f725b2d15236d1447518cc6b2054d1676c87576f
include/Ints.h	401	401	H2_ENUM_FLAGS	d0df62ae87ea2fb82bf1b043abfe0da0c905da25f413a4275380449e7b57e640
include/Ints.h	408	415	H2_ENUM_ASSIGN_CHAIN_5	9623eee66abb97810726b9150d27e2f6261b50e61fc9a85f75e71e6035a14721
include/Ints.h	417	417	H2_ENUM_ASSIGN_CHAIN_5	5001fa5719df0b10cb23285ebff397ab70d5c0c25787c3a7927d70d9e113e025
include/Ints.h	423	426	H2_ENUM_DECODE_MASKED	bc4dfb83be972b4e39f78a3d7d519bdc3b3dedc878981ee505bb88ea873ee48b
include/Ints.h	428	432	H2_ENUM_DECODE_MASKED	ba63dab6c893e6c9f3171c3698b9664c9a23332eb5d5e3fb5746e316571be09c
include/Ints.h	438	438	H2_ENUM_RAW	ff1505cdddae36d668995329d981504c33f546291b75a8cff7284f7ce9c4173d
include/Ints.h	440	440	H2_ENUM_RAW	f351a4f6061f9c7f0985897915560f77aa651aca9678692ed0f81bcb1d5ce4d6
include/Ints.h	446	446	IDX	00d487a7cb7aa68ca228f2a714b5ffcf116297588f6cac690c8d758442120cf6
include/Ints.h	448	448	IDX	789e668e7c07fd8785dbd51fe06c4d198ca847a1004d7742a214d38445cae382
include/Ints.h	455	455	HAS	76c82f8e7f10f50c1861e6da63ba19146e0e1e0b0721a1dd46cb25b6ff687ccf
include/Ints.h	457	457	HAS	0f00aaa8561614bd263c976675acb143c34a0ee9be9067b7350b80dc06124654
include/Ints.h	464	464	H2_ENUM_CLEAR_FLAG	63713d8db7ee2ac3daa5628735178f517b658d1ecdbc7916c0f290d83481eb72
include/Ints.h	466	466	H2_ENUM_CLEAR_FLAG	ba00986e35d7cf60031fe0144615b4772b9e0a1e1038123108b93a6833092a24
include/Ints.h	472	472	BIT	11a3b2c17114f369f0be653f8b22a20427ff6356c176493e414a80d4e371b497
include/Ints.h	474	474	BIT	4a484777c04552471960415c76636c127cb8afe04933f7d46f75879aacab2447
include/Ints.h	480	523	H2_ENUM_STEPPED	036ddd1077170dde0803bc42a5cd33134b1838429fda54a61e61aa35c95d7d27
include/Ints.h	525	525	H2_ENUM_STEPPED	a7036fec450633dc3a52d8e68b90d2553c311d6770c62447a1214a83f8014ff2
include/Ints.h	531	534	H2_ENUM_INDEX_OFFSET	99515e88fb74c3ff0b0002e74d6edbca9781905ca58e9f163a4b18b9b7b4a407
include/Ints.h	536	536	H2_ENUM_INDEX_OFFSET	7a8e93f1741377da4095a4a2d8f5c749adaa4b69c4237c6dc5b49a1af9551362
include/SOURCE/ADVMGR.h	2	2	HOMM2_ADVMGR_H	c8bcf6dd92435680a2795a200457aa4cc120b4496d345a155159536e7c27918f
