# Generated by `homm2 audit version-delta`; do not hand-edit.
# /home/sheep/Projects/homm2/homm2-buka/build/orig/HMM2PL.exe vs /home/sheep/Projects/homm2/homm2-decomp/build/orig/HEROES2W.EXE
# CANDIDATES, not findings: VC 4.2 and VC6 disagree about inlining
# and constant chunking, so read both bodies before writing a row
# into docs/version-changes.md.
# added/removed are from Buka's side: 'added' is in 2.1 only.
channels	unit	symbol	lead	transition	buka_size	pol_size	size_delta	calls_added	calls_removed	convention	strings_buka	strings_pol	constants_added	constants_removed
calls,convention,strings,constants	BASE/Misc	?FadeOut@@YIXH@Z	parity-gap	o2-od	0x1b2	0xe6	204	memcpy		?UpdatePalette@@YIXPAC@Z->?UpdatePalette@@YAXPAC@Z	¸@ÒN		0x0x9 0x1x2 0x4 0xc 0x1c 0x30 +2	0x8x2 0x3 0xc0
calls,convention,strings,constants	BASE/WINMGR	?FizzleForward@heroWindowManager@@QAEXHHHHHPAC0@Z	open-both	o2-od	0x46d	0x402	107	memcpy		?UpdatePalette@@YIXPAC@Z->?UpdatePalette@@YAXPAC@Z		I:\Projects\Heroes\Prog\BASE\WINMGR.CPPx4	0x0x15 0x1x9 0x4x5 0xc 0x64 0x300 +1	0x2cx2 0x4ex2 0xffff00ffx2 0x7 0xc0 0x328 +3
calls,convention,strings,constants	SOURCE/SMACKMGR	?SmackManagerMain@@YIXXZ	open-both	od-od	0x1149	0x118c	-67	?PlayAmbientMusic@soundManager@@?XH@Zx5 ?StartupMilesBackend@soundManager@@?_NXZx2 ?CDStartup@soundManager@@?_NXZ ?ShutdownSoundBackends@soundManager@@?XXZ	?PlayAmbientMusic@soundManager@@?XHJH@Zx5 strcpyx2 ?ConvertSmackerPalette@@?XPAE@Z ?UpdatePalette@@?XPAC@Z memcpy	?UpdatePalette@@YIXPAC@Z->?UpdatePalette@@YAXPAC@Z	H2XINTROx3 %s%s \ANIM2\ +1	H2INTROx6 %s%s.SMK Error reading the Heroes 2 Expansion CD.  Retry? +5	0x2dx19 0x1x6 0xffx6 0x4ax2 0x0 0x27 +1	0x4x10 0x8x2 0x9x2 0x3 0xc 0xf +8
calls,strings,constants	BASE/BITMAP	??_Gbitmap@@UAEPAXI@Z	forward	o2-od	0x2e	0x41	-19	??1bitmap@@UAE@XZ	??1resource@@UAE@XZ			I:\Projects\Heroes\Prog\BASE\BITMAP.CPP ðÿL		0x0 0x33
calls,strings,constants	BASE/Blur	?DoBlur@@YIXPAVbitmap@@0HHHH@Z	open-both	o2-od	0xa22	0x6a4	894	memcpyx4			¸PÔN	I:\Projects\Heroes\Prog\BASE\Blur.cppx6	0x3x15 0x1x7 0x0x6 0x4x5 0xcx4 0x280x4 +7	0x2x16 0x20x2 0xc5cx2 0x7 0x19 0x8b +8
calls,strings,constants	BASE/Bzip	?DecodeData@@YIJPAD0K@Z	parity-gap	od-od	0x266	0x2f3	-141	strlenx5 strcatx2 strcpy			.nw H2C		0x4x5 0x8x3 0x1dc	0xffffffffx8 0x2 0x3 0x1f4
calls,strings,constants	BASE/Bzip	?EncodeData@@YIJPAD0K@Z	parity-gap	od-od	0x259	0x2d5	-124	strlenx4 strcatx2 strcpy			.nw H2C		0x4x4 0x8x3 0x1dc	0xffffffffx7 0x2 0x3 0x1f0
calls,strings,constants	BASE/Bzip	?compress@@YIXPAD@Z	both-exact	od-od	0xa4	0xe2	-62	strcpyx2 strcat			.nw		0x8x3 0x10	0xffffffffx3 0x2x2 0x3x2 0x14
calls,strings,constants	BASE/EXEC	?DoDialog@executive@@QAEHPAVbaseManager@@@Z	open-both	o2-od	0x170	0xfb	117	??0executive@@?@XZ			Íå ìîãó äîáàâèòü ìåíåäæåðà!x4	Can't add manager!x4	0x0x3 0x1x2 0x110	0x4x2 0x100x2
calls,strings,constants	BASE/ICON	??_Gicon@@UAEPAXI@Z	forward	o2-od	0x2e	0x36	-8	??1icon@@UAE@XZ	??1resource@@UAE@XZ			I:\Projects\Heroes\Prog\BASE\ICON.CPP		0x1a
calls,strings,constants	BASE/MOUSEMGR	?SetPointer@mouseManager@@QAEXH@Z	parity-gap	o2-od	0x560	0x405	347	sprintfx2 memset			e:\Users\igorl\VSS\HMM\HMM2\Source\Base\MOUSEMGR.CPPx3	I:\Projects\Heroes\Prog\BASE\MOUSEMGR.CPPx5	0x0x12 0x18x9 0x1x7 0x14x6 0xcx3 0x3x2 +9	0x2x8 0x40 0x1ca 0x1e0 0x1e1 0x202 +2
calls,strings,constants	BASE/MOUSEMGR	?SetPointer@mouseManager@@QAEXPADHH@Z	parity-gap	o2-od	0x1a2	0x135	109	sprintfx2			e:\Users\igorl\VSS\HMM\HMM2\Source\Base\MOUSEMGR.CPP	I:\Projects\Heroes\Prog\BASE\MOUSEMGR.CPP	0x0x5 0x1x2 0x8x2 0x1c 0x18e	0x10x2 0x19a
calls,strings,constants	BASE/Midi	?MIDIPlay@soundManager@@QAEXH@Z	parity-gap	o2-od	0x17b	0x3ab	-560	?MIDIStop@soundManager@@?XXZx2 ?GetMusicFlagA@@?EXZ ?MIDISetVolume@soundManager@@?XXZ	(indirect)x7 ?Dispose@resourceManager@@?XPAVresource@@@Zx2 ?ConvertVolume@soundManager@@?HHH@Z			MP1a	0x18 0xff	0x1x5 0x4x3 0x10x3 0x2x2 0x7x2 0xbx2 +5
calls,strings,constants	BASE/Midi	?MIDIShutdown@soundManager@@QAEXXZ	parity-gap	o2-od	0xf0	0x1a9	-185	?GetMusicFlagA@@?EXZ	(indirect) ?Dispose@resourceManager@@?XPAVresource@@@Z			MS1 MS2 MS4	0x0x2 0x3cx2 0xff	0x4x2 0x2 0xffffffff
calls,strings,constants	BASE/Midi	?MIDIStartup@soundManager@@QAEXXZ	parity-gap	o2-od	0x51	0xb8	-103	?MIDIShutdown@soundManager@@?XXZ ?MusicFlagsActive@@?EXZ	?LogInt@@?XPADHHHHHHH@Z			MS1 MS2 MS6b +1	0x1 0xff	0xfffffc19x6 0x3cx2 0x0
calls,strings,constants	BASE/Misc	?BaseAlloc@@YIPAXIPADH@Z	open-both	o2-od	0x113	0x20f	-252	?InitMemEntry@@?XXZ strcpy	(indirect) ?LogInt@@?XPADHHHHHHH@Z fclose fopen fputs malloc +1			IME KB.LOG KBAlloc    Size %d   Ptr %d   File %s  Line %d +1	0x4ax5 0x0x2 0x1x2 0x10	0xfffffc19x6 0x4x4 0x2x3 0xffffffffx3 0x3x2 0x2bcx2 +3
calls,strings,constants	BASE/Misc	?BaseFree@@YIXPAXPADH@Z	open-both	o2-od	0x154	0x386	-562	?InitMemEntry@@?XXZ	(indirect)x3 fclosex3 fopenx3 fputsx3 ?LogInt@@?XPADHHHHHHH@Z malloc +1			KB.LOGx3 at+x3 IME +1	0x0x4 0x1x2 0x4ax2 0xc	0x4x8 0x2x6 0x8x6 0xfffffc19x6 0xffffffffx6 0x3x3 +3
calls,strings,constants	BASE/Misc	?CreatePCXFile@@YIXPADPAEHH1@Z	open-both	o2-od	0x2a9	0x1ee	187	memset				I:\Projects\Heroes\Prog\BASE\Misc.cppx4	0x1x10 0x0x5 0x4x4 0xc0x2 0xffx2 0xc +2	0x40x2 0x8cx2 0x20 0x5c8 0x5f0 0x5f6 +1
calls,strings,constants	BASE/Misc	?GetDataEntry@@YIXPAD0H0HH@Z	open-both	o2-od	0x464	0x386	222	strcpyx4			¸hÒN		0x0x11 0x8x4 0x1 0x6 0xa 0x19 +4	0x2x3 0x3x3 0x9cx2 0xf 0x5f 0xffffffff
calls,strings,constants	BASE/Misc	?LogInt@@YIXPADHHHHHHH@Z	forward	o2-od	0x1b6	0x224	-110		(indirect) fclose fopen fputs			KB.LOG at+	0xd0	0x2x2 0x4x2 0x8x2 0x2bcx2 0xffffffffx2 0x3
calls,strings,constants	BASE/Misc	?PrintMemoryLeaks@@YIXXZ	forward	o2-od	0xe7	0x134	-77		(indirect) fclose fopen fputs			KB.LOG at+	0x4ax4 0x0 0x1 0x7d0	0x2x2 0x4x2 0x8x2 0x1f4x2 0xffffffffx2 0x3 +2
calls,strings,constants	BASE/Misc	?ReadPrefsFromFile@@YIXXZ	parity-gap	o2-od	0xcb	0x13f	-116	?WritePrefs@@?XXZx2 strcpyx2 ?SetGameDefaults@@?XXZ ?SetInstallDefaults@@?XXZ _access	?UpdateSystemOptionsMenu@@?XXZ ?WritePrefsToRegistry@@?XXZ access			AUTOx2	0x8x3 0x0	0x2x4 0x3x4 0xffffffffx4 0x1 0x67
calls,strings,constants	BASE/Misc	?ReadPrefsFromRegistry@@YIXXZ	parity-gap	o2-od	0x89f	0x7ab	244	strcpyx3 ?SetInstallDefaults@@?XXZ ?WritePrefs@@?XXZ memset	?UpdateSystemOptionsMenu@@?XXZ ?WritePrefsToRegistry@@?XXZ		HMM2POL MusicVolumex2 HMM2POL AutoCombat HMM2POL AutoCombatSpells +44	AUTOx2 Music Volumex2 AppPath +45	0x1cx12 0x0x6 0x8x3 0xc8x2 0xc 0xd8 +1	0x2x7 0x3x6 0xffffffffx6 0xd4x3 0x67x2 0x1
calls,strings,constants	BASE/Misc	?SetGameDefaults@@YIXXZ	open-both	o2-od	0x29d	0x1b5	232	?Random@@?HHH@Zx4 memset strcpy	randx4		ABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789 Íåèçâåñòíûé ãåðîé	The Unknown Hero	0x0x18 0x1x10 0x1cx8 0x3 0x4 0x8 +7	0x7d01 0xffffffff
