dll	symbol	ordinal_or_hint	noname	lookup_name
KERNEL32.dll	_LeaveCriticalSection@4	375	0	LeaveCriticalSection
KERNEL32.dll	_WriteFile@20	591	0	WriteFile
KERNEL32.dll	_FindClose@4	117	0	FindClose
KERNEL32.dll	_FindNextFileA@8	124	0	FindNextFileA
KERNEL32.dll	_FindFirstFileA@8	121	0	FindFirstFileA
KERNEL32.dll	_InitializeCriticalSection@4	356	0	InitializeCriticalSection
KERNEL32.dll	_SetCommBreak@4	461	0	SetCommBreak
KERNEL32.dll	_GetCommModemStatus@8	155	0	GetCommModemStatus
KERNEL32.dll	_ClearCommBreak@4	19	0	ClearCommBreak
KERNEL32.dll	_Sleep@4	536	0	Sleep
KERNEL32.dll	_ResetEvent@4	451	0	ResetEvent
KERNEL32.dll	_WaitForSingleObject@8	574	0	WaitForSingleObject
KERNEL32.dll	_WaitForMultipleObjects@16	572	0	WaitForMultipleObjects
KERNEL32.dll	_ClearCommError@12	20	0	ClearCommError
KERNEL32.dll	_FreeLibrary@4	141	0	FreeLibrary
KERNEL32.dll	_LoadLibraryA@4	376	0	LoadLibraryA
KERNEL32.dll	_GetProcAddress@8	259	0	GetProcAddress
KERNEL32.dll	_GetTickCount@0	304	0	GetTickCount
KERNEL32.dll	_CreateEventA@16	41	0	CreateEventA
KERNEL32.dll	_ReadFile@20	440	0	ReadFile
KERNEL32.dll	_CloseHandle@4	22	0	CloseHandle
KERNEL32.dll	_CreateFileA@28	43	0	CreateFileA
KERNEL32.dll	_GetCommState@8	157	0	GetCommState
KERNEL32.dll	_GetCommTimeouts@8	158	0	GetCommTimeouts
KERNEL32.dll	_SetupComm@12	533	0	SetupComm
KERNEL32.dll	_SetCommState@8	464	0	SetCommState
KERNEL32.dll	_SetCommTimeouts@8	465	0	SetCommTimeouts
KERNEL32.dll	_EnterCriticalSection@4	79	0	EnterCriticalSection
KERNEL32.dll	_SetEvent@4	499	0	SetEvent
KERNEL32.dll	_DeleteCriticalSection@4	68	0	DeleteCriticalSection
KERNEL32.dll	_SetConsoleCtrlHandler@8	471	0	SetConsoleCtrlHandler
KERNEL32.dll	_RtlUnwind@16	455	0	RtlUnwind
KERNEL32.dll	_GetFileAttributesA@4	215	0	GetFileAttributesA
KERNEL32.dll	_OutputDebugStringA@4	416	0	OutputDebugStringA
KERNEL32.dll	_FatalAppExitA@8	106	0	FatalAppExitA
KERNEL32.dll	_RaiseException@16	430	0	RaiseException
KERNEL32.dll	_GetDriveTypeA@4	206	0	GetDriveTypeA
KERNEL32.dll	_lstrlenA@4	629	0	lstrlenA
KERNEL32.dll	_GetLogicalDrives@0	231	0	GetLogicalDrives
KERNEL32.dll	_ExitProcess@4	98	0	ExitProcess
KERNEL32.dll	_HeapFree@12	345	0	HeapFree
KERNEL32.dll	_GetModuleHandleA@4	235	0	GetModuleHandleA
KERNEL32.dll	_GetStartupInfoA@4	276	0	GetStartupInfoA
KERNEL32.dll	_GetCommandLineA@0	159	0	GetCommandLineA
KERNEL32.dll	_GetVersion@0	311	0	GetVersion
KERNEL32.dll	_GetFileType@4	220	0	GetFileType
KERNEL32.dll	_HeapAlloc@12	339	0	HeapAlloc
KERNEL32.dll	_SetFilePointer@16	504	0	SetFilePointer
KERNEL32.dll	_SetEnvironmentVariableA@8	496	0	SetEnvironmentVariableA
KERNEL32.dll	_GetCurrentDirectoryA@8	194	0	GetCurrentDirectoryA
KERNEL32.dll	_SetCurrentDirectoryA@4	491	0	SetCurrentDirectoryA
KERNEL32.dll	_DeleteFileA@4	69	0	DeleteFileA
KERNEL32.dll	_GetCurrentThreadId@0	199	0	GetCurrentThreadId
KERNEL32.dll	_GetStringTypeW@16	282	0	GetStringTypeW
KERNEL32.dll	_TlsSetValue@8	546	0	TlsSetValue
KERNEL32.dll	_TlsAlloc@0	543	0	TlsAlloc
KERNEL32.dll	_TlsFree@4	544	0	TlsFree
KERNEL32.dll	_SetLastError@4	509	0	SetLastError
KERNEL32.dll	_TlsGetValue@4	545	0	TlsGetValue
KERNEL32.dll	_GetCurrentThread@0	198	0	GetCurrentThread
KERNEL32.dll	_GetLastError@0	225	0	GetLastError
KERNEL32.dll	_MultiByteToWideChar@24	403	0	MultiByteToWideChar
KERNEL32.dll	_LCMapStringA@24	373	0	LCMapStringA
KERNEL32.dll	_WideCharToMultiByte@32	578	0	WideCharToMultiByte
KERNEL32.dll	_LCMapStringW@24	374	0	LCMapStringW
KERNEL32.dll	_HeapReAlloc@16	348	0	HeapReAlloc
KERNEL32.dll	_HeapSize@12	349	0	HeapSize
